dimension,label,episode_count,episode_share,event_family_presence_count,event_family_presence_share,event_family_homogeneous_count,event_family_homogeneous_share,presence_minus_episode_share,episode_amplification_ratio
intrinsic_subtype,MAJOR_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,1,0.00819672131147541,1,0.07142857142857142,0,0.0,0.06323185011709602,1.0
intrinsic_subtype,MAJOR_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,9,0.07377049180327869,3,0.21428571428571427,0,0.0,0.1405152224824356,3.0
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,2,0.01639344262295082,1,0.07142857142857142,0,0.0,0.0550351288056206,2.0
intrinsic_subtype,MODERATE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,1,0.00819672131147541,1,0.07142857142857142,0,0.0,0.06323185011709602,1.0
intrinsic_subtype,MODERATE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_EXPANSION,1,0.00819672131147541,1,0.07142857142857142,0,0.0,0.06323185011709602,1.0
intrinsic_subtype,MODERATE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,14,0.11475409836065574,9,0.6428571428571429,3,0.21428571428571427,0.5281030444964872,1.5555555555555556
intrinsic_subtype,SEVERE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,4,0.03278688524590164,1,0.07142857142857142,0,0.0,0.038641686182669784,4.0
intrinsic_subtype,SEVERE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_EXPANSION,1,0.00819672131147541,1,0.07142857142857142,0,0.0,0.06323185011709602,1.0
intrinsic_subtype,SEVERE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,2,0.01639344262295082,2,0.14285714285714285,0,0.0,0.12646370023419204,1.0
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,87,0.7131147540983607,9,0.6428571428571429,5,0.35714285714285715,-0.07025761124121777,9.666666666666666
recovery_outcome,DELAYED_RECOVERY,45,0.36885245901639346,6,0.42857142857142855,1,0.07142857142857142,0.059718969555035084,7.5
recovery_outcome,PERSISTENT_COLLAPSE,48,0.39344262295081966,4,0.2857142857142857,2,0.14285714285714285,-0.10772833723653397,12.0
recovery_outcome,RAPID_RECOVERY,29,0.23770491803278687,10,0.7142857142857143,6,0.42857142857142855,0.47658079625292743,2.9
