descriptor,candidate_value,horizon_hours,episode_support,unavailable_episode_count,family_support,mixed_family_count,unavailable_homogeneous_family_count,supported_fold_count,episode_mean_forward_return,episode_median_forward_return,family_mean_forward_return,family_median_forward_return,episode_positive_return_rate,family_positive_return_rate,family_mean_maximum_favorable_excursion,family_mean_maximum_adverse_excursion,family_mean_realized_volatility,training_test_direction_agreement_count,aggregate_direction_agreement_count,episode_family_median_sign_agreement,episode_family_median_absolute_divergence,evidence_state
volatility_state,VOLATILITY_NEUTRAL,24,114,0,12,2,0,3,0.0045418506248387468,0.0048491766597753561,0.0089297019586554727,0.0066249687140802482,0.57017543859649122,0.91666666666666663,0.015620996557864622,-0.0075299748971282649,0.003732915298402445,3,3,True,0.0017757920543048922,SUPPORTED_ASSOCIATION
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,24,111,0,11,3,0,3,0.0041301605564971616,0.004398782664601697,0.0092519286059833689,0.0077079319364166121,0.56756756756756754,0.90909090909090906,0.015512230853498531,-0.0056669616714276512,0.003480379478690902,3,3,True,0.0033091492718149151,SUPPORTED_ASSOCIATION
collapse_severity,SEVERE_COLLAPSE,24,94,0,5,5,0,2,0.0013852196416142229,0.0023895278669217035,0.013488893453333395,0.014016792322254279,0.52127659574468088,1,0.019595501886807164,-0.0034855189348687032,0.0038530858101032571,2,2,True,0.011627264455332575,SUPPORTED_ASSOCIATION
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,24,87,0,5,6,0,2,0.0012993533359392788,0.0029359553235508429,0.013488893453333395,0.014016792322254279,0.52873563218390807,1,0.019595501886807164,-0.0034855189348687032,0.0038530858101032571,2,2,True,0.011080836998703436,SUPPORTED_ASSOCIATION
collapse_severity,SEVERE_COLLAPSE,72,94,0,5,5,0,2,0.0018011696937240435,0.008020352563369304,0.012917283319992579,0.0084705449109092612,0.52127659574468088,0.80000000000000004,0.046213060588328012,-0.02228660702999008,0.0050040395632438449,2,2,True,0.00045019234753995718,SUPPORTED_ASSOCIATION
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,72,87,0,5,6,0,2,-0.00043302633265617066,0.007941373912827121,0.012917283319992579,0.0084705449109092612,0.50574712643678166,0.80000000000000004,0.046213060588328012,-0.02228660702999008,0.0050040395632438449,2,2,True,0.00052917099808214019,SUPPORTED_ASSOCIATION
volatility_state,VOLATILITY_NEUTRAL,72,114,0,12,2,0,3,0.0022284995973584423,0.0054070651787779811,0.0017899631122248276,0.010375755085162863,0.51754385964912286,0.66666666666666663,0.032665525728787947,-0.026172559502668447,0.0045515685007365267,2,2,True,0.0049686899063848822,UNSTABLE_OOS
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,72,111,0,11,3,0,3,0.0020992889594257627,0.007941373912827121,0.0092271528103714737,0.012280965259416465,0.51351351351351349,0.72727272727272729,0.034106262676323974,-0.019356979130210283,0.0041787326716581051,2,2,True,0.0043395913465893443,UNSTABLE_OOS
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,6,111,0,11,3,0,3,0.00392737756006883,0.0024587195658207772,0.0011958766285504741,0.0023392985525618748,0.60360360360360366,0.72727272727272729,0.0043660852066047728,-0.0028583820229615142,0.0028160355327343334,2,2,True,0.00011942101325890242,UNSTABLE_OOS
volatility_state,VOLATILITY_NEUTRAL,168,114,0,12,2,0,3,0.004031745131007747,-0.0047237370879378293,-0.00103846296329362,-0.004368341037308765,0.45614035087719296,0.5,0.046668383157716209,-0.0438100588657988,0.0043440521553499466,1,2,True,0.00035539605062906432,UNSTABLE_OOS
