bar_index,timestamp,regime_label,confidence,reason,atr_pct,atr_accel,ema_roc,ema_spread,is_warmup,source_row_digest
0,2018-01-01T00:00:00,UNKNOWN,0.0,warmup,,,,,True,28ea9b1b27a657b86bf45370b15fb606b055618418739eea7bf80f7ff0f3b9de
1,2018-01-01T01:00:00,UNKNOWN,0.0,warmup,,,,,True,8a0ca1eacf743ef4e9f8a37db1839b33ce0e05102867ac11f068dba2c9fd48a8
2,2018-01-01T02:00:00,UNKNOWN,0.0,warmup,,,,,True,2fbbe75759c6c76b0b94b8ca9fe3320e4b1a684fb0b57eea8d46a0f937002632
3,2018-01-01T03:00:00,UNKNOWN,0.0,warmup,,,,,True,a92f7ee8636af93bb0616b374f3e85994a8c228e034cc107c178810f3eff00c1
4,2018-01-01T04:00:00,UNKNOWN,0.0,warmup,,,,,True,a7627eaa4d5dcfb33b1c2a0472557c4c94dae25fd347789e4a6d7b11b899a966
5,2018-01-01T05:00:00,UNKNOWN,0.0,warmup,,,,,True,323b7d1e75996975d2598a11329ad8a310caa881ca192728f6bff189cf4d13c1
6,2018-01-01T06:00:00,UNKNOWN,0.0,warmup,,,,,True,ef524b11d4f629be2dcca97ac2df21807c61441ca179dd14ca0eab60e1f42de4
7,2018-01-01T07:00:00,UNKNOWN,0.0,warmup,,,,,True,77eb588bbc441f75e43711fe10a012a167ace0496b0ce1a14dd4cb1551313d12
8,2018-01-01T08:00:00,UNKNOWN,0.0,warmup,,,,,True,dfee2bbf1a83e095c8d64a2773d626b7d4eb2d663e5f18a41b62f7356db9aa39
9,2018-01-01T09:00:00,UNKNOWN,0.0,warmup,,,,,True,86fc16438a4e70956f0c96902b68a4ae2667a28c216c4bbee29c531674a7c180
10,2018-01-01T10:00:00,UNKNOWN,0.0,warmup,,,,,True,b025badb1be7ecee19a1c6449db1418e137d189916d36bf3c2056d362c5f9917
11,2018-01-01T11:00:00,UNKNOWN,0.0,warmup,,,,,True,c0dc2cd86cce64836d52ed9d9b283e7a8059670af196fbbf12d167e7edd8f2c2
12,2018-01-01T12:00:00,UNKNOWN,0.0,warmup,,,,,True,00dc7ef9f29f9d1b3e75e318055248443ddd4d0adcfad06b60701b5e9498bdf4
