anchor_ordinal,timestamp,bar_index,current_regime,trailing_log_return_24h,trailing_log_return_72h,trailing_log_return_168h,realized_volatility_24h,realized_volatility_168h,distance_from_close_mean_168h,log1p_current_state_age_hours,log1p_previous_state_duration_hours,log1p_hours_since_previous_transition,transition_count_trailing_24h,transition_count_trailing_72h,transition_count_trailing_168h,outcome_R_24h,outcome_R_72h,outcome_R_168h,outcome_M_24h,outcome_M_72h,outcome_M_168h,outcome_V_24h,outcome_V_72h,outcome_V_168h,outcome_S_24h,outcome_S_72h,outcome_S_168h,partition
0,2018-01-08 00:00:00,168,RANGE,-0.061870394526220347,0.059165276601460814,0.16164623991221885,0.04866014636085976,0.14389276521558372,0.66453792288427416,2.0794415416798357,0.69314718055994529,2.0794415416798357,5,7,10,-0.045520170609518816,-0.085699377675185776,-0.15117132137774064,0.045520170609518816,0.085699377675185776,0.15117132137774064,0.07355496095915863,0.1290963348026567,0.18303203937195389,0,0,0,1
1,2018-01-15 00:00:00,336,TREND_DOWN,-0.038061713575013562,0.044683531465174856,-0.15117132137774064,0.048759087968398708,0.18303203937195389,-0.76248333024353221,2.8332133440562162,1.3862943611198906,2.8332133440562162,3,8,15,-0.035585667347648446,-0.19478049406158474,-0.16009010905396923,0.035585667347648446,0.19478049406158474,0.16009010905396923,0.051732051212361387,0.24308368054641347,0.29238159840061617,0,0,0,1
2,2018-01-22 00:00:00,504,TREND_DOWN,-0.05497234130363423,0.013455502601525737,-0.16009010905396923,0.075951722727650633,0.29238159840061617,-0.28026412179688004,2.1972245773362196,2.1972245773362196,2.1972245773362196,2,7,18,-0.080873331455867142,-0.036973520352146752,-0.016275150374167512,0.080873331455867142,0.036973520352146752,0.016275150374167512,0.091778630457450994,0.14687458773105111,0.1846816974238408,0,0,0,1
3,2018-01-29 00:00:00,672,VOL_COMPRESSION,0.01642429751072368,0.016258270518592341,-0.016275150374167512,0.039864561173611562,0.1846816974238408,1.1388666994101666,2.1972245773362196,1.9459101490553132,2.1972245773362196,5,12,24,-0.033757100273366411,-0.13107667357228039,,0.033757100273366411,0.13107667357228039,,0.034974988355672781,0.096514506860826368,,1,0,,1
4,2018-02-12 00:00:00,1005,TREND_DOWN,-0.026807436328142076,0.034332906335416663,-0.0016406614593677644,0.071388379969935176,0.30071178099752305,0.3830313782904109,1.791759469228055,1.6094379124341003,1.791759469228055,3,9,13,0.083708493222486885,0.13358582993223744,0.24118296945851098,0.083708493222486885,0.13358582993223744,0.24118296945851098,0.062538997007830846,0.092179734878766184,0.15385450632741496,0,0,0,1
5,2018-02-19 00:00:00,1173,TREND_UP,-0.066094430579491978,0.020540934037665059,0.24118296945851098,0.083445302590125225,0.15385450632741496,0.91153832398087442,2.6390573296152584,1.0986122886681098,2.6390573296152584,3,6,18,0.088364801488993949,0.005340774214676932,-0.083951695548793795,0.088364801488993949,0.005340774214676932,0.083951695548793795,0.055608772422338699,0.091789840444138529,0.14144049103813544,0,0,0,1
6,2018-02-26 00:00:00,1341,TREND_DOWN,-0.0045772287001253848,-0.0082862246935784794,-0.083951695548793795,0.038414948102874491,0.14144049103813544,-1.237542119999377,3.713572066704308,1.9459101490553132,3.713572066704308,0,2,12,0.076339252643899166,0.079520395667511526,0.17685824278619658,0.076339252643899166,0.079520395667511526,0.17685824278619658,0.049093324107190618,0.083220073773566827,0.10734212983983914,0,0,0,1
7,2018-03-05 00:00:00,1509,VOL_COMPRESSION,0.0083411804924117244,0.03925418423631246,0.17685824278619658,0.029949903969485627,0.10734212983983914,1.4150500276146971,4.0604430105464191,0.69314718055994529,4.0604430105464191,0,7,22,-0.013089182903712211,-0.14011837262518342,-0.17709490166438088,0.013089182903712211,0.14011837262518342,0.17709490166438088,0.025270158335002554,0.096587393366076774,0.18216431134114641,1,0,0,1
8,2018-03-12 00:00:00,1677,TREND_UP,0.11721233479680383,0.022218310038142359,-0.17709490166438088,0.07293071050320496,0.18216431134114641,-0.38823100985163972,1.6094379124341003,1.791759469228055,1.6094379124341003,2,4,15,-0.036822314545491987,-0.1704773471306073,-0.14454390179653145,0.036822314545491987,0.1704773471306073,0.14454390179653145,0.077557457829605811,0.12773743926310163,0.19256056539815555,0,0,0,1
9,2018-03-19 00:00:00,1845,VOL_EXPANSION,0.072994595064456533,0.028592929169228391,-0.14454390179653145,0.095102175411060363,0.19256056539815555,-0.31571065312297003,1.3862943611198906,3.5263605246161616,1.3862943611198906,1,9,23,0.023508306020553399,0.083746507090476957,0.008400779340289169,0.023508306020553399,0.083746507090476957,0.008400779340289169,0.054062898549005999,0.082129560104986565,0.12126604812022868,0,0,0,1
10,2018-03-26 00:00:00,2013,TREND_DOWN,-0.021030584365464046,-0.031996352830853933,0.008400779340289169,0.036238535052252052,0.12126604812022868,-1.1958637683378559,1.0986122886681098,2.9444389791664403,1.0986122886681098,3,15,28,-0.020522169258541195,-0.05337053052301155,-0.18088889179245884,0.020522169258541195,0.05337053052301155,0.18088889179245884,0.048141823067971982,0.082275804356595122,0.16553003671287908,0,0,0,1
11,2018-04-02 00:00:00,2181,TREND_DOWN,-0.00098591325510960872,0.02463746021007502,-0.18088889179245884,0.070813958863999937,0.16553003671287908,-0.86773398053056161,2.4849066497880004,0.69314718055994529,2.4849066497880004,4,7,16,0.0064217131136485054,-0.042090395833363131,0.0099871842531818068,0.0064217131136485054,0.042090395833363131,0.0099871842531818068,0.039327317572295621,0.077810155455164731,0.11246292870492125,0,0,0,1
12,2018-04-09 00:00:00,2349,VOL_COMPRESSION,0.012946461963785877,0.035066414161665151,0.0099871842531818068,0.023554297937190924,0.11246292870492125,0.42947849988246861,3.8501476017100584,0.69314718055994529,3.8501476017100584,0,5,17,-0.041697275235818738,-0.01818100570197299,0.1720957375318847,0.041697275235818738,0.01818100570197299,0.1720957375318847,0.049641811237926631,0.056216003912854341,0.14362542495430278,0,0,0,1
