candidate_id,predictor,outcome_family,horizon_hours,outcome_column
log1p_current_state_age_hours__R__24h,log1p_current_state_age_hours,R,24,outcome_R_24h
log1p_current_state_age_hours__R__72h,log1p_current_state_age_hours,R,72,outcome_R_72h
log1p_current_state_age_hours__R__168h,log1p_current_state_age_hours,R,168,outcome_R_168h
log1p_current_state_age_hours__M__24h,log1p_current_state_age_hours,M,24,outcome_M_24h
log1p_current_state_age_hours__M__72h,log1p_current_state_age_hours,M,72,outcome_M_72h
log1p_current_state_age_hours__M__168h,log1p_current_state_age_hours,M,168,outcome_M_168h
log1p_current_state_age_hours__V__24h,log1p_current_state_age_hours,V,24,outcome_V_24h
log1p_current_state_age_hours__V__72h,log1p_current_state_age_hours,V,72,outcome_V_72h
log1p_current_state_age_hours__V__168h,log1p_current_state_age_hours,V,168,outcome_V_168h
log1p_current_state_age_hours__S__24h,log1p_current_state_age_hours,S,24,outcome_S_24h
log1p_current_state_age_hours__S__72h,log1p_current_state_age_hours,S,72,outcome_S_72h
log1p_current_state_age_hours__S__168h,log1p_current_state_age_hours,S,168,outcome_S_168h
log1p_previous_state_duration_hours__R__24h,log1p_previous_state_duration_hours,R,24,outcome_R_24h
log1p_previous_state_duration_hours__R__72h,log1p_previous_state_duration_hours,R,72,outcome_R_72h
log1p_previous_state_duration_hours__R__168h,log1p_previous_state_duration_hours,R,168,outcome_R_168h
log1p_previous_state_duration_hours__M__24h,log1p_previous_state_duration_hours,M,24,outcome_M_24h
log1p_previous_state_duration_hours__M__72h,log1p_previous_state_duration_hours,M,72,outcome_M_72h
log1p_previous_state_duration_hours__M__168h,log1p_previous_state_duration_hours,M,168,outcome_M_168h
log1p_previous_state_duration_hours__V__24h,log1p_previous_state_duration_hours,V,24,outcome_V_24h
log1p_previous_state_duration_hours__V__72h,log1p_previous_state_duration_hours,V,72,outcome_V_72h
log1p_previous_state_duration_hours__V__168h,log1p_previous_state_duration_hours,V,168,outcome_V_168h
log1p_previous_state_duration_hours__S__24h,log1p_previous_state_duration_hours,S,24,outcome_S_24h
log1p_previous_state_duration_hours__S__72h,log1p_previous_state_duration_hours,S,72,outcome_S_72h
log1p_previous_state_duration_hours__S__168h,log1p_previous_state_duration_hours,S,168,outcome_S_168h
log1p_hours_since_previous_transition__R__24h,log1p_hours_since_previous_transition,R,24,outcome_R_24h
log1p_hours_since_previous_transition__R__72h,log1p_hours_since_previous_transition,R,72,outcome_R_72h
log1p_hours_since_previous_transition__R__168h,log1p_hours_since_previous_transition,R,168,outcome_R_168h
log1p_hours_since_previous_transition__M__24h,log1p_hours_since_previous_transition,M,24,outcome_M_24h
log1p_hours_since_previous_transition__M__72h,log1p_hours_since_previous_transition,M,72,outcome_M_72h
log1p_hours_since_previous_transition__M__168h,log1p_hours_since_previous_transition,M,168,outcome_M_168h
log1p_hours_since_previous_transition__V__24h,log1p_hours_since_previous_transition,V,24,outcome_V_24h
log1p_hours_since_previous_transition__V__72h,log1p_hours_since_previous_transition,V,72,outcome_V_72h
log1p_hours_since_previous_transition__V__168h,log1p_hours_since_previous_transition,V,168,outcome_V_168h
log1p_hours_since_previous_transition__S__24h,log1p_hours_since_previous_transition,S,24,outcome_S_24h
log1p_hours_since_previous_transition__S__72h,log1p_hours_since_previous_transition,S,72,outcome_S_72h
log1p_hours_since_previous_transition__S__168h,log1p_hours_since_previous_transition,S,168,outcome_S_168h
transition_count_trailing_24h__R__24h,transition_count_trailing_24h,R,24,outcome_R_24h
transition_count_trailing_24h__R__72h,transition_count_trailing_24h,R,72,outcome_R_72h
transition_count_trailing_24h__R__168h,transition_count_trailing_24h,R,168,outcome_R_168h
transition_count_trailing_24h__M__24h,transition_count_trailing_24h,M,24,outcome_M_24h
transition_count_trailing_24h__M__72h,transition_count_trailing_24h,M,72,outcome_M_72h
transition_count_trailing_24h__M__168h,transition_count_trailing_24h,M,168,outcome_M_168h
transition_count_trailing_24h__V__24h,transition_count_trailing_24h,V,24,outcome_V_24h
transition_count_trailing_24h__V__72h,transition_count_trailing_24h,V,72,outcome_V_72h
transition_count_trailing_24h__V__168h,transition_count_trailing_24h,V,168,outcome_V_168h
transition_count_trailing_24h__S__24h,transition_count_trailing_24h,S,24,outcome_S_24h
transition_count_trailing_24h__S__72h,transition_count_trailing_24h,S,72,outcome_S_72h
transition_count_trailing_24h__S__168h,transition_count_trailing_24h,S,168,outcome_S_168h
transition_count_trailing_72h__R__24h,transition_count_trailing_72h,R,24,outcome_R_24h
transition_count_trailing_72h__R__72h,transition_count_trailing_72h,R,72,outcome_R_72h
transition_count_trailing_72h__R__168h,transition_count_trailing_72h,R,168,outcome_R_168h
transition_count_trailing_72h__M__24h,transition_count_trailing_72h,M,24,outcome_M_24h
transition_count_trailing_72h__M__72h,transition_count_trailing_72h,M,72,outcome_M_72h
transition_count_trailing_72h__M__168h,transition_count_trailing_72h,M,168,outcome_M_168h
transition_count_trailing_72h__V__24h,transition_count_trailing_72h,V,24,outcome_V_24h
transition_count_trailing_72h__V__72h,transition_count_trailing_72h,V,72,outcome_V_72h
transition_count_trailing_72h__V__168h,transition_count_trailing_72h,V,168,outcome_V_168h
transition_count_trailing_72h__S__24h,transition_count_trailing_72h,S,24,outcome_S_24h
transition_count_trailing_72h__S__72h,transition_count_trailing_72h,S,72,outcome_S_72h
transition_count_trailing_72h__S__168h,transition_count_trailing_72h,S,168,outcome_S_168h
transition_count_trailing_168h__R__24h,transition_count_trailing_168h,R,24,outcome_R_24h
transition_count_trailing_168h__R__72h,transition_count_trailing_168h,R,72,outcome_R_72h
transition_count_trailing_168h__R__168h,transition_count_trailing_168h,R,168,outcome_R_168h
transition_count_trailing_168h__M__24h,transition_count_trailing_168h,M,24,outcome_M_24h
transition_count_trailing_168h__M__72h,transition_count_trailing_168h,M,72,outcome_M_72h
transition_count_trailing_168h__M__168h,transition_count_trailing_168h,M,168,outcome_M_168h
transition_count_trailing_168h__V__24h,transition_count_trailing_168h,V,24,outcome_V_24h
transition_count_trailing_168h__V__72h,transition_count_trailing_168h,V,72,outcome_V_72h
transition_count_trailing_168h__V__168h,transition_count_trailing_168h,V,168,outcome_V_168h
transition_count_trailing_168h__S__24h,transition_count_trailing_168h,S,24,outcome_S_24h
transition_count_trailing_168h__S__72h,transition_count_trailing_168h,S,72,outcome_S_72h
transition_count_trailing_168h__S__168h,transition_count_trailing_168h,S,168,outcome_S_168h
