bh_adjusted_q_value,candidate_id,complete_partition_counts,complete_pooled_anchors,directional_consistency,horizon_hours,outcome_column,outcome_family,predictor,rankable,status,supported_association
,log1p_current_state_age_hours__R__24h,"[135,134,134]",403,false,24,outcome_R_24h,R,log1p_current_state_age_hours,false,RANK_DEFICIENT_DESIGN,false
,log1p_current_state_age_hours__R__72h,"[132,134,133]",399,false,72,outcome_R_72h,R,log1p_current_state_age_hours,false,RANK_DEFICIENT_DESIGN,false
,log1p_current_state_age_hours__R__168h,"[124,133,132]",389,false,168,outcome_R_168h,R,log1p_current_state_age_hours,false,RANK_DEFICIENT_DESIGN,false
,log1p_current_state_age_hours__M__24h,"[135,134,134]",403,false,24,outcome_M_24h,M,log1p_current_state_age_hours,false,RANK_DEFICIENT_DESIGN,false
,log1p_current_state_age_hours__M__72h,"[132,134,133]",399,false,72,outcome_M_72h,M,log1p_current_state_age_hours,false,RANK_DEFICIENT_DESIGN,false
,log1p_current_state_age_hours__M__168h,"[124,133,132]",389,false,168,outcome_M_168h,M,log1p_current_state_age_hours,false,RANK_DEFICIENT_DESIGN,false
,log1p_current_state_age_hours__V__24h,"[135,134,134]",403,false,24,outcome_V_24h,V,log1p_current_state_age_hours,false,RANK_DEFICIENT_DESIGN,false
,log1p_current_state_age_hours__V__72h,"[132,134,133]",399,false,72,outcome_V_72h,V,log1p_current_state_age_hours,false,RANK_DEFICIENT_DESIGN,false
,log1p_current_state_age_hours__V__168h,"[124,133,132]",389,false,168,outcome_V_168h,V,log1p_current_state_age_hours,false,RANK_DEFICIENT_DESIGN,false
,log1p_current_state_age_hours__S__24h,"[135,134,134]",403,false,24,outcome_S_24h,S,log1p_current_state_age_hours,false,RANK_DEFICIENT_DESIGN,false
,log1p_current_state_age_hours__S__72h,"[132,134,133]",399,false,72,outcome_S_72h,S,log1p_current_state_age_hours,false,RANK_DEFICIENT_DESIGN,false
,log1p_current_state_age_hours__S__168h,"[124,133,132]",389,false,168,outcome_S_168h,S,log1p_current_state_age_hours,false,RANK_DEFICIENT_DESIGN,false
,log1p_previous_state_duration_hours__R__24h,"[135,134,134]",403,false,24,outcome_R_24h,R,log1p_previous_state_duration_hours,false,ESTIMATOR_FAILURE,false
,log1p_previous_state_duration_hours__R__72h,"[132,134,133]",399,false,72,outcome_R_72h,R,log1p_previous_state_duration_hours,false,RANK_DEFICIENT_DESIGN,false
,log1p_previous_state_duration_hours__R__168h,"[124,133,132]",389,false,168,outcome_R_168h,R,log1p_previous_state_duration_hours,false,ESTIMATOR_FAILURE,false
,log1p_previous_state_duration_hours__M__24h,"[135,134,134]",403,false,24,outcome_M_24h,M,log1p_previous_state_duration_hours,false,ESTIMATOR_FAILURE,false
,log1p_previous_state_duration_hours__M__72h,"[132,134,133]",399,false,72,outcome_M_72h,M,log1p_previous_state_duration_hours,false,RANK_DEFICIENT_DESIGN,false
