candidate_ordinal,candidate_id,predictor,outcome_family,horizon_hours,outcome_column
0,return_trailing_24h__R__24h,return_trailing_24h,R,24,outcome_R_24h
1,return_trailing_24h__R__72h,return_trailing_24h,R,72,outcome_R_72h
2,return_trailing_24h__R__168h,return_trailing_24h,R,168,outcome_R_168h
3,return_trailing_24h__M__24h,return_trailing_24h,M,24,outcome_M_24h
4,return_trailing_24h__M__72h,return_trailing_24h,M,72,outcome_M_72h
5,return_trailing_24h__M__168h,return_trailing_24h,M,168,outcome_M_168h
6,return_trailing_24h__V__24h,return_trailing_24h,V,24,outcome_V_24h
7,return_trailing_24h__V__72h,return_trailing_24h,V,72,outcome_V_72h
8,return_trailing_24h__V__168h,return_trailing_24h,V,168,outcome_V_168h
9,return_trailing_72h__R__24h,return_trailing_72h,R,24,outcome_R_24h
10,return_trailing_72h__R__72h,return_trailing_72h,R,72,outcome_R_72h
11,return_trailing_72h__R__168h,return_trailing_72h,R,168,outcome_R_168h
12,return_trailing_72h__M__24h,return_trailing_72h,M,24,outcome_M_24h
13,return_trailing_72h__M__72h,return_trailing_72h,M,72,outcome_M_72h
14,return_trailing_72h__M__168h,return_trailing_72h,M,168,outcome_M_168h
15,return_trailing_72h__V__24h,return_trailing_72h,V,24,outcome_V_24h
16,return_trailing_72h__V__72h,return_trailing_72h,V,72,outcome_V_72h
17,return_trailing_72h__V__168h,return_trailing_72h,V,168,outcome_V_168h
18,return_trailing_168h__R__24h,return_trailing_168h,R,24,outcome_R_24h
19,return_trailing_168h__R__72h,return_trailing_168h,R,72,outcome_R_72h
20,return_trailing_168h__R__168h,return_trailing_168h,R,168,outcome_R_168h
21,return_trailing_168h__M__24h,return_trailing_168h,M,24,outcome_M_24h
22,return_trailing_168h__M__72h,return_trailing_168h,M,72,outcome_M_72h
23,return_trailing_168h__M__168h,return_trailing_168h,M,168,outcome_M_168h
24,return_trailing_168h__V__24h,return_trailing_168h,V,24,outcome_V_24h
25,return_trailing_168h__V__72h,return_trailing_168h,V,72,outcome_V_72h
26,return_trailing_168h__V__168h,return_trailing_168h,V,168,outcome_V_168h
27,realized_volatility_trailing_24h__R__24h,realized_volatility_trailing_24h,R,24,outcome_R_24h
28,realized_volatility_trailing_24h__R__72h,realized_volatility_trailing_24h,R,72,outcome_R_72h
29,realized_volatility_trailing_24h__R__168h,realized_volatility_trailing_24h,R,168,outcome_R_168h
30,realized_volatility_trailing_24h__M__24h,realized_volatility_trailing_24h,M,24,outcome_M_24h
31,realized_volatility_trailing_24h__M__72h,realized_volatility_trailing_24h,M,72,outcome_M_72h
32,realized_volatility_trailing_24h__M__168h,realized_volatility_trailing_24h,M,168,outcome_M_168h
33,realized_volatility_trailing_24h__V__24h,realized_volatility_trailing_24h,V,24,outcome_V_24h
34,realized_volatility_trailing_24h__V__72h,realized_volatility_trailing_24h,V,72,outcome_V_72h
35,realized_volatility_trailing_24h__V__168h,realized_volatility_trailing_24h,V,168,outcome_V_168h
36,realized_volatility_trailing_168h__R__24h,realized_volatility_trailing_168h,R,24,outcome_R_24h
37,realized_volatility_trailing_168h__R__72h,realized_volatility_trailing_168h,R,72,outcome_R_72h
38,realized_volatility_trailing_168h__R__168h,realized_volatility_trailing_168h,R,168,outcome_R_168h
39,realized_volatility_trailing_168h__M__24h,realized_volatility_trailing_168h,M,24,outcome_M_24h
40,realized_volatility_trailing_168h__M__72h,realized_volatility_trailing_168h,M,72,outcome_M_72h
41,realized_volatility_trailing_168h__M__168h,realized_volatility_trailing_168h,M,168,outcome_M_168h
42,realized_volatility_trailing_168h__V__24h,realized_volatility_trailing_168h,V,24,outcome_V_24h
43,realized_volatility_trailing_168h__V__72h,realized_volatility_trailing_168h,V,72,outcome_V_72h
44,realized_volatility_trailing_168h__V__168h,realized_volatility_trailing_168h,V,168,outcome_V_168h
45,distance_from_mean_trailing_168h__R__24h,distance_from_mean_trailing_168h,R,24,outcome_R_24h
46,distance_from_mean_trailing_168h__R__72h,distance_from_mean_trailing_168h,R,72,outcome_R_72h
47,distance_from_mean_trailing_168h__R__168h,distance_from_mean_trailing_168h,R,168,outcome_R_168h
48,distance_from_mean_trailing_168h__M__24h,distance_from_mean_trailing_168h,M,24,outcome_M_24h
49,distance_from_mean_trailing_168h__M__72h,distance_from_mean_trailing_168h,M,72,outcome_M_72h
50,distance_from_mean_trailing_168h__M__168h,distance_from_mean_trailing_168h,M,168,outcome_M_168h
51,distance_from_mean_trailing_168h__V__24h,distance_from_mean_trailing_168h,V,24,outcome_V_24h
52,distance_from_mean_trailing_168h__V__72h,distance_from_mean_trailing_168h,V,72,outcome_V_72h
53,distance_from_mean_trailing_168h__V__168h,distance_from_mean_trailing_168h,V,168,outcome_V_168h
54,range_position_trailing_168h__R__24h,range_position_trailing_168h,R,24,outcome_R_24h
55,range_position_trailing_168h__R__72h,range_position_trailing_168h,R,72,outcome_R_72h
56,range_position_trailing_168h__R__168h,range_position_trailing_168h,R,168,outcome_R_168h
57,range_position_trailing_168h__M__24h,range_position_trailing_168h,M,24,outcome_M_24h
58,range_position_trailing_168h__M__72h,range_position_trailing_168h,M,72,outcome_M_72h
59,range_position_trailing_168h__M__168h,range_position_trailing_168h,M,168,outcome_M_168h
60,range_position_trailing_168h__V__24h,range_position_trailing_168h,V,24,outcome_V_24h
61,range_position_trailing_168h__V__72h,range_position_trailing_168h,V,72,outcome_V_72h
62,range_position_trailing_168h__V__168h,range_position_trailing_168h,V,168,outcome_V_168h
63,drawdown_from_high_trailing_168h__R__24h,drawdown_from_high_trailing_168h,R,24,outcome_R_24h
64,drawdown_from_high_trailing_168h__R__72h,drawdown_from_high_trailing_168h,R,72,outcome_R_72h
65,drawdown_from_high_trailing_168h__R__168h,drawdown_from_high_trailing_168h,R,168,outcome_R_168h
66,drawdown_from_high_trailing_168h__M__24h,drawdown_from_high_trailing_168h,M,24,outcome_M_24h
67,drawdown_from_high_trailing_168h__M__72h,drawdown_from_high_trailing_168h,M,72,outcome_M_72h
68,drawdown_from_high_trailing_168h__M__168h,drawdown_from_high_trailing_168h,M,168,outcome_M_168h
69,drawdown_from_high_trailing_168h__V__24h,drawdown_from_high_trailing_168h,V,24,outcome_V_24h
70,drawdown_from_high_trailing_168h__V__72h,drawdown_from_high_trailing_168h,V,72,outcome_V_72h
71,drawdown_from_high_trailing_168h__V__168h,drawdown_from_high_trailing_168h,V,168,outcome_V_168h
