candidate_ordinal,candidate_id,predictor,outcome_family,horizon_hours,status,rankable,directionally_consistent,pooled_n_obs,partition_1_complete_n,partition_2_complete_n,partition_3_complete_n,pooled_development_mean,pooled_development_population_std,pooled_coefficient,pooled_standard_error_hc3,pooled_p_value,pooled_confidence_interval_low,pooled_confidence_interval_high,partition_2_development_mean,partition_2_development_population_std,partition_2_coefficient,partition_2_standard_error_hc3,partition_2_p_value,partition_2_confidence_interval_low,partition_2_confidence_interval_high,partition_3_development_mean,partition_3_development_population_std,partition_3_coefficient,partition_3_standard_error_hc3,partition_3_p_value,partition_3_confidence_interval_low,partition_3_confidence_interval_high,family_bh_rank,family_bh_adjusted_q_value,failure_reason
0,return_trailing_24h__R__24h,return_trailing_24h,R,24,MULTIPLICITY_NOT_MET,true,false,403,135,134,134,0.00081334170503960328,0.028606545280473267,-0.0017729227170039438,0.0028472938867702509,0.53350180884471321,-0.007353516188474702,0.0038076707544668145,0.00077122966958377906,0.034015037865439079,0.0072375435884542878,0.0071105586503990743,0.30874513756002864,-0.0066988952762876315,0.021173982453196207,0.0010232467047216151,0.031479681459522228,-0.00079927753309707336,0.0054327589220397659,0.88303584520148992,-0.011447289356983661,0.0098487342907895153,13,0.9620085770959278,
1,return_trailing_24h__R__72h,return_trailing_24h,R,72,MULTIPLICITY_NOT_MET,true,false,399,132,134,133,0.00063504601661220174,0.028645059028761438,-0.0044446484834329411,0.0035972136143441686,0.21661438298497437,-0.011495057612244668,0.0026057606453787846,0.00026324813963790183,0.034133788917123133,0.0060125824308345215,0.0078047547491974815,0.44107789732586011,-0.0092844557857604849,0.021309620647429528,0.00077400794213724545,0.031516754195199587,-0.0086785144164769779,0.005234136618108419,0.097305284949792001,-0.018937233678131757,0.0015802048451778027,4,0.9620085770959278,
2,return_trailing_24h__R__168h,return_trailing_24h,R,168,MULTIPLICITY_NOT_MET,true,false,389,124,133,132,0.0001202345009850901,0.028538860768645185,0.00044553889481155508,0.0061253399724483073,0.94201539941702406,-0.011559906844250694,0.012450984633873804,-0.0011636646154820601,0.033996174632490619,0.015385121405654772,0.012172845461820425,0.2062699906101203,-0.008473217288885105,0.039243460100194652,3.9058643232814666e-05,0.031423501087699618,-0.019248465108063606,0.0081991100042590487,0.018893350018081095,-0.035318425421693389,-0.0031785047944338229,23,0.96867488297600135,
3,return_trailing_24h__M__24h,return_trailing_24h,M,24,MULTIPLICITY_NOT_MET,true,false,403,135,134,134,0.00081334170503960328,0.028606545280473267,-0.0042477941371929229,0.001940946211151256,0.028631950907118009,-0.00805197880697886,-0.00044360946740698614,0.00077122966958377906,0.034015037865439079,-0.011207838574502346,0.0050929946966867751,0.027761648526587149,-0.021189924753461924,-0.0012257523955427705,0.0010232467047216151,0.031479681459522228,0.0033663622320214037,0.0037016127617334827,0.36312254522089926,-0.0038886654656900663,0.010621389929732874,9,0.076351869085648019,
4,return_trailing_24h__M__72h,return_trailing_24h,M,72,MULTIPLICITY_NOT_MET,true,false,399,132,134,133,0.00063504601661220174,0.028645059028761438,-0.0010109190376877326,0.0024513607570397083,0.68005288153204879,-0.005815497834600402,0.0037936597592249373,0.00026324813963790183,0.034133788917123133,-0.010988035261047023,0.0052986026538225772,0.038101517709202101,-0.021373105630927626,-0.00060296489116641941,0.00077400794213724545,0.031516754195199587,0.0039499077239024604,0.0030136717730798426,0.18997168511129359,-0.0019567804125589974,0.0098565958603639182,17,0.89387601960310337,
5,return_trailing_24h__M__168h,return_trailing_24h,M,168,MULTIPLICITY_NOT_MET,true,false,389,124,133,132,0.0001202345009850901,0.028538860768645185,0.00067152746280222178,0.0044193442194018582,0.87922492465877122,-0.0079902280425106983,0.0093332829681151419,-0.0011636646154820601,0.033996174632490619,-0.0011891152979981727,0.0089597944456730576,0.89441735146458912,-0.018749989720399384,0.01637175912440304,3.9058643232814666e-05,0.031423501087699618,0.010035893608111402,0.0056530155031695641,0.075845586711300039,-0.0010438131821475152,0.021115600398370321,21,0.98971026250988026,
6,return_trailing_24h__V__24h,return_trailing_24h,V,24,MULTIPLICITY_NOT_MET,true,true,403,135,134,134,0.00081334170503960328,0.028606545280473267,-0.003634216807044914,0.0016216431914609323,0.025021505154572764,-0.0068125790580829326,-0.00045585455600689537,0.00077122966958377906,0.034015037865439079,-0.005301481343534648,0.0037535426331513633,0.15783396257577242,-0.012658289718946961,0.0020553270318776646,0.0010232467047216151,0.031479681459522228,-0.0065877777067027592,0.0041602456712782811,0.11330597629570756,-0.014741709389246852,0.0015661539758413329,10,0.06005161237097463,
7,return_trailing_24h__V__72h,return_trailing_24h,V,72,MULTIPLICITY_NOT_MET,true,true,399,132,134,133,0.00063504601661220174,0.028645059028761438,-0.0051106118914808901,0.0023256631261381606,0.027985763505379405,-0.009668827858884517,-0.00055239592407726242,0.00026324813963790183,0.034133788917123133,-0.0081418600613412957,0.004955990318632684,0.10041767341363374,-0.017855422593590541,0.001571702470907951,0.00077400794213724545,0.031516754195199587,-0.0045966026985330422,0.0044297734514464554,0.2994279552456024,-0.013278799123039784,0.0040855937259736998,11,0.061059847648100525,
8,return_trailing_24h__V__168h,return_trailing_24h,V,168,MULTIPLICITY_NOT_MET,true,true,389,124,133,132,0.0001202345009850901,0.028538860768645185,-0.007928056687283587,0.0041140246499856373,0.053969598263782011,-0.015991396832765438,0.00013528345819826398,-0.0011636646154820601,0.033996174632490619,-0.010334664582882951,0.0056070887739728403,0.065308182482251856,-0.021324356637988567,0.00065502747222266448,3.9058643232814666e-05,0.031423501087699618,-0.0026231694658083084,0.0051028916352191412,0.60721319456138967,-0.012624653287848528,0.0073783143562319107,15,0.077775466209580077,
9,return_trailing_72h__R__24h,return_trailing_72h,R,24,MULTIPLICITY_NOT_MET,true,true,403,135,134,134,0.0046657025171893095,0.048051202577120658,0.0010350595237679089,0.0028113789125718057,0.71274802980527807,-0.0044751418917682115,0.0065452609393040293,0.0083175798991933104,0.05040987698682757,0.0045015617108380389,0.0050548231338737462,0.37317180442887099,-0.0054057095797743916,0.014408833001450469,0.0060912457271169616,0.053258469536026302,0.0041434685068674707,0.0050900448729128264,0.41562559520034859,-0.0058328361237344247,0.014119773137469366,16,0.96867488297600135,
