signal_date,status,entry_date,expiration,entry_credit_dollars,exit_date,exit_debit_dollars,gross_dollars,midpoint_pnl_dollars,net_dollars,put_net_dollars,call_net_dollars,zero_size_long_exits,max_wing_dollars,missing_daily_marks
2008-01-02,NO_GEOMETRY,,,,,,,,,,,,,
2008-02-01,NO_GEOMETRY,,,,,,,,,,,,,
2008-03-03,NO_GEOMETRY,,,,,,,,,,,,,
2008-04-01,NO_GEOMETRY,,,,,,,,,,,,,
2008-05-01,NO_GEOMETRY,,,,,,,,,,,,,
2008-06-02,NO_GEOMETRY,,,,,,,,,,,,,
2008-07-01,NO_GEOMETRY,,,,,,,,,,,,,
2008-08-01,NO_GEOMETRY,,,,,,,,,,,,,
2008-09-02,NO_GEOMETRY,,,,,,,,,,,,,
2008-10-01,NO_GEOMETRY,,,,,,,,,,,,,
2008-11-03,NO_GEOMETRY,,,,,,,,,,,,,
2008-12-01,NO_GEOMETRY,,,,,,,,,,,,,
2009-01-02,NO_GEOMETRY,,,,,,,,,,,,,
2009-02-02,NO_GEOMETRY,,,,,,,,,,,,,
2009-03-02,NO_GEOMETRY,,,,,,,,,,,,,
2009-04-01,NO_GEOMETRY,,,,,,,,,,,,,
2009-05-01,NO_GEOMETRY,,,,,,,,,,,,,
2009-06-01,NO_GEOMETRY,,,,,,,,,,,,,
2009-07-01,NO_GEOMETRY,,,,,,,,,,,,,
2009-08-03,NO_GEOMETRY,,,,,,,,,,,,,
2009-09-01,NO_GEOMETRY,,,,,,,,,,,,,
2009-10-01,NO_GEOMETRY,,,,,,,,,,,,,
2009-11-02,NO_GEOMETRY,,,,,,,,,,,,,
2009-12-01,NO_GEOMETRY,,,,,,,,,,,,,
2010-01-04,NO_GEOMETRY,,,,,,,,,,,,,
2010-02-01,NO_GEOMETRY,,,,,,,,,,,,,
2010-03-01,NO_GEOMETRY,,,,,,,,,,,,,
2010-04-01,NO_GEOMETRY,,,,,,,,,,,,,
2010-05-03,NO_GEOMETRY,,,,,,,,,,,,,
2010-06-01,NO_GEOMETRY,,,,,,,,,,,,,
2010-07-01,NO_GEOMETRY,,,,,,,,,,,,,
2010-08-02,NO_GEOMETRY,,,,,,,,,,,,,
2010-09-01,CLOSED,2010-09-02,2010-10-16,44.99999999999999,2010-10-11,102.0,-57.00000000000001,-49.50000000000002,-62.20000000000001,15.399999999999993,-77.60000000000001,1.0,200.0,0.0
2010-10-01,NO_GEOMETRY,,,,,,,,,,,,,
2010-11-01,NO_GEOMETRY,,,,,,,,,,,,,
2010-12-01,CLOSED,2010-12-02,2010-12-31,51.0,2010-12-27,56.00000000000001,-5.000000000000004,7.499999999999996,-10.200000000000005,3.400000000000001,-13.6,1.0,300.0,0.0
2011-01-03,NO_GEOMETRY,,,,,,,,,,,,,
2011-02-01,NO_GEOMETRY,,,,,,,,,,,,,
2011-03-01,CLOSED,2011-03-02,2011-03-31,50.99999999999999,2011-03-24,5.0,45.99999999999999,52.99999999999999,40.79999999999999,10.399999999999993,30.4,1.0,300.0,0.0
2011-04-01,NO_GEOMETRY,,,,,,,,,,,,,
2011-05-02,NO_GEOMETRY,,,,,,,,,,,,,
2011-06-01,CLOSED,2011-06-02,2011-07-16,43.99999999999999,2011-07-11,6.0,37.99999999999999,42.49999999999999,32.79999999999999,13.399999999999995,19.4,1.0,300.0,0.0
2011-07-01,NO_GEOMETRY,,,,,,,,,,,,,
2011-08-01,NO_GEOMETRY,,,,,,,,,,,,,
2011-09-01,NO_GEOMETRY,,,,,,,,,,,,,
2011-10-03,NO_GEOMETRY,,,,,,,,,,,,,
2011-11-01,NO_GEOMETRY,,,,,,,,,,,,,
2011-12-01,NO_GEOMETRY,,,,,,,,,,,,,
2012-01-03,NO_GEOMETRY,,,,,,,,,,,,,
2012-02-01,CLOSED,2012-02-02,2012-03-17,46.0,2012-03-12,18.0,28.000000000000004,35.0,22.800000000000004,13.400000000000007,9.399999999999999,0.0,300.0,0.0
2012-03-01,NO_GEOMETRY,,,,,,,,,,,,,
2012-04-02,NO_GEOMETRY,,,,,,,,,,,,,
2012-05-01,NO_GEOMETRY,,,,,,,,,,,,,
2012-06-01,NO_GEOMETRY,,,,,,,,,,,,,
2012-07-02,NO_GEOMETRY,,,,,,,,,,,,,
2012-08-01,NO_GEOMETRY,,,,,,,,,,,,,
2012-09-04,NO_GEOMETRY,,,,,,,,,,,,,
2012-10-01,NO_GEOMETRY,,,,,,,,,,,,,
2012-11-01,NO_GEOMETRY,,,,,,,,,,,,,
2012-12-03,NO_GEOMETRY,,,,,,,,,,,,,
2013-01-02,CLOSED,2013-01-03,2013-02-01,36.0,2013-01-25,40.0,-4.0000000000000036,6.0,-9.200000000000003,13.4,-22.6,0.0,300.0,0.0
2013-02-01,CLOSED,2013-02-04,2013-03-16,49.0,2013-03-11,56.99999999999999,-7.9999999999999964,-1.5000000000000013,-13.199999999999996,27.39999999999999,-40.59999999999999,0.0,300.0,0.0
