signal_date,trades,net_dollars,gross_dollars,mean_net,worst_trade
2010,2,-72.40000000000002,-62.000000000000014,-36.20000000000001,-62.20000000000001
2011,2,73.59999999999998,83.99999999999999,36.79999999999999,32.79999999999999
2012,1,22.800000000000004,28.000000000000004,22.800000000000004,22.800000000000004
2013,12,-449.4,-387.0,-37.449999999999996,-156.19999999999996
2014,9,30.19999999999999,77.0,3.3555555555555543,-102.2
2015,12,-40.39999999999999,22.000000000000007,-3.366666666666666,-178.19999999999993
2016,10,235.99999999999994,287.99999999999994,23.599999999999994,-131.20000000000002
2017,7,-260.4,-224.0,-37.199999999999996,-344.2
2018,10,-1045.0,-993.0,-104.5,-506.20000000000016
2019,12,-669.4,-607.0,-55.78333333333333,-342.19999999999993
2020,12,-972.3999999999999,-909.9999999999999,-81.03333333333332,-318.1999999999998
2021,12,-93.40000000000003,-31.000000000000114,-7.783333333333336,-466.20000000000005
2022,12,-140.3999999999998,-77.99999999999982,-11.699999999999983,-318.1999999999999
2023,12,-1100.3999999999996,-1037.9999999999998,-91.69999999999997,-583.1999999999999
2024,12,-851.4,-789.0,-70.95,-366.2
