date,status,expiration,valid_quotes,midpoint_credit,bid_ask_credit,immediate_liquidation_debit,spread_roundtrip,all_sides_positive_size,all_short_bids_positive,short_put,short_put_strike,long_put,long_put_strike,short_call,short_call_strike,long_call,long_call_strike,max_wing_width,next_date,next_all_contracts_present,next_valid_quotes,next_midpoint_credit,next_bid_ask_credit,next_immediate_liquidation_debit,next_spread_roundtrip,next_all_sides_positive_size,next_all_short_bids_positive
2017-11-01,NO_GEOMETRY,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-02,NO_GEOMETRY,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-03,SELECTED,2017-12-08,True,0.56,0.5299999999999999,0.5899999999999999,0.05999999999999994,True,True,SPY171208P00250000,250.0,SPY171208P00245000,245.0,SPY171208C00264000,264.0,SPY171208C00269000,269.0,5.0,2017-11-06,True,True,0.545,0.51,0.5800000000000001,0.07000000000000006,True,True
2017-11-06,SELECTED,2017-12-08,True,0.5900000000000001,0.5500000000000002,0.6299999999999999,0.07999999999999974,True,True,SPY171208P00251000,251.0,SPY171208P00246000,246.0,SPY171208C00264000,264.0,SPY171208C00269000,269.0,5.0,2017-11-07,True,True,0.615,0.5899999999999999,0.6399999999999999,0.050000000000000044,True,True
2017-11-07,SELECTED,2017-12-13,True,0.75,0.69,0.81,0.1200000000000001,True,True,SPY171213P00250000,250.0,SPY171213P00245000,245.0,SPY171213C00264000,264.0,SPY171213C00269000,269.0,5.0,2017-11-08,True,True,0.76,0.7,0.8200000000000001,0.1200000000000001,True,True
2017-11-08,SELECTED,2017-12-13,True,0.5900000000000001,0.53,0.65,0.12,True,True,SPY171213P00250000,250.0,SPY171213P00245000,245.0,SPY171213C00265000,265.0,SPY171213C00270000,270.0,5.0,2017-11-09,True,True,0.58,0.5200000000000001,0.6399999999999999,0.11999999999999977,True,True
2017-11-09,SELECTED,2017-12-13,True,0.67,0.61,0.7300000000000001,0.1200000000000001,True,True,SPY171213P00249000,249.0,SPY171213P00244000,244.0,SPY171213C00264000,264.0,SPY171213C00269000,269.0,5.0,2017-11-10,True,True,0.6599999999999999,0.62,0.7,0.07999999999999996,True,True
2017-11-10,SELECTED,2017-12-15,True,0.7,0.67,0.7300000000000001,0.06000000000000005,True,True,SPY171215P00247000,247.0,SPY171215P00242000,242.0,SPY171215C00264000,264.0,SPY171215C00269000,269.0,5.0,2017-11-13,True,True,0.6600000000000001,0.63,0.6900000000000001,0.06000000000000005,True,True
2017-11-13,SELECTED,2017-12-15,True,0.7,0.67,0.7300000000000001,0.06000000000000005,True,True,SPY171215P00248000,248.0,SPY171215P00243000,243.0,SPY171215C00264000,264.0,SPY171215C00269000,269.0,5.0,2017-11-14,True,True,0.6100000000000001,0.59,0.6299999999999999,0.039999999999999925,True,True
2017-11-14,NO_GEOMETRY,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-15,NO_GEOMETRY,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,SELECTED,2018-03-07,True,1.005,0.95,1.0599999999999998,0.10999999999999988,True,True,SPY180307P00270000,270.0,SPY180307P00265000,265.0,SPY180307C00290000,290.0,SPY180307C00295000,295.0,5.0,2018-02-02,True,True,1.0250000000000004,0.92,1.1300000000000001,0.21000000000000008,True,True
2018-02-02,SELECTED,2018-03-09,True,1.02,0.9099999999999999,1.1300000000000001,0.2200000000000002,True,True,SPY180309P00260000,260.0,SPY180309P00255000,255.0,SPY180309C00285500,285.5,SPY180309C00291000,291.0,5.5,2018-02-05,True,True,1.2150000000000014,-3.6799999999999997,6.11,9.79,True,True
2018-02-05,NO_GEOMETRY,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-06,NO_GEOMETRY,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-07,SELECTED,2018-03-14,True,0.8700000000000001,0.6399999999999997,1.1,0.4600000000000004,True,True,SPY180314P00247000,247.0,SPY180314P00242000,242.0,SPY180314C00280000,280.0,SPY180314C00285000,285.0,5.0,2018-02-08,True,True,1.0699999999999998,0.6999999999999997,1.44,0.7400000000000002,True,True
2018-02-08,SELECTED,2018-03-14,True,1.0349999999999997,0.71,1.3599999999999999,0.6499999999999999,True,True,SPY180314P00230000,230.0,SPY180314P00225000,225.0,SPY180314C00275000,275.0,SPY180314C00280000,280.0,5.0,2018-02-09,True,True,0.97,0.64,1.3,0.66,True,True
2018-02-09,SELECTED,2018-03-16,True,1.145,0.9800000000000002,1.31,0.32999999999999985,True,True,SPY180316P00239000,239.0,SPY180316P00234000,234.0,SPY180316C00276000,276.0,SPY180316C00282000,282.0,6.0,2018-02-12,True,True,1.0150000000000001,0.9100000000000001,1.1199999999999999,0.20999999999999974,True,True
2018-02-12,SELECTED,2018-03-16,True,1.0350000000000001,0.93,1.1400000000000001,0.21000000000000008,True,True,SPY180316P00246000,246.0,SPY180316P00241000,241.0,SPY180316C00277000,277.0,SPY180316C00283000,283.0,6.0,2018-02-13,True,True,1.03,0.9800000000000001,1.08,0.09999999999999998,True,True
2018-02-13,SELECTED,2018-03-21,True,0.9100000000000001,0.6099999999999999,1.21,0.6000000000000001,True,True,SPY180321P00246000,246.0,SPY180321P00241000,241.0,SPY180321C00279000,279.0,SPY180321C00285000,285.0,6.0,2018-02-14,True,True,0.9599999999999997,0.8600000000000001,1.06,0.19999999999999996,True,True
2018-02-14,SELECTED,2018-03-21,True,0.9000000000000001,0.79,1.0100000000000002,0.2200000000000002,True,True,SPY180321P00253000,253.0,SPY180321P00248000,248.0,SPY180321C00281000,281.0,SPY180321C00287000,287.0,6.0,2018-02-15,True,True,1.17,1.0699999999999998,1.27,0.20000000000000018,True,True
2018-02-15,SELECTED,2018-03-21,True,0.9500000000000002,0.86,1.0399999999999998,0.17999999999999983,True,True,SPY180321P00257000,257.0,SPY180321P00252000,252.0,SPY180321C00284000,284.0,SPY180321C00290000,290.0,6.0,,,,,,,,,
2020-03-02,SELECTED,2020-04-06,True,1.525,1.2100000000000002,1.8399999999999999,0.6299999999999997,True,True,SPY200406P00275000,275.0,SPY200406P00270000,270.0,SPY200406C00325000,325.0,SPY200406C00330000,330.0,5.0,2020-03-03,True,True,1.1900000000000008,0.8300000000000007,1.5500000000000003,0.7199999999999995,True,True
2020-03-03,SELECTED,2020-04-06,True,1.6,1.19,2.0100000000000002,0.8200000000000003,True,True,SPY200406P00265000,265.0,SPY200406P00260000,260.0,SPY200406C00320000,320.0,SPY200406C00325000,325.0,5.0,2020-03-04,True,True,2.2700000000000005,2.02,2.5200000000000005,0.5000000000000004,True,True
2020-03-04,NO_GEOMETRY,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,SELECTED,2020-04-09,True,1.5700000000000003,1.4100000000000006,1.7300000000000002,0.3199999999999996,True,True,SPY200409P00265000,265.0,SPY200409P00260000,260.0,SPY200409C00325000,325.0,SPY200409C00331000,331.0,6.0,2020-03-06,True,True,1.335,1.1099999999999997,1.5600000000000007,0.45000000000000107,True,True
2020-03-06,SELECTED,2020-04-09,True,1.6649999999999996,1.4299999999999997,1.9,0.4700000000000002,True,True,SPY200409P00260000,260.0,SPY200409P00255000,255.0,SPY200409C00320000,320.0,SPY200409C00326000,326.0,6.0,2020-03-09,True,True,1.7449999999999997,0.9399999999999986,2.5500000000000003,1.6100000000000017,True,True
2020-03-09,SELECTED,2020-04-13,True,1.6150000000000007,0.40000000000000013,2.83,2.4299999999999997,True,True,SPY200413P00230000,230.0,SPY200413P00225000,225.0,SPY200413C00305000,305.0,SPY200413C00310000,310.0,5.0,2020-03-10,True,True,2.160000000000001,1.9500000000000002,2.3700000000000006,0.4200000000000004,True,True
2020-03-10,SELECTED,2020-04-13,True,1.5699999999999998,1.3599999999999999,1.7799999999999998,0.41999999999999993,True,True,SPY200413P00250000,250.0,SPY200413P00245000,245.0,SPY200413C00315000,315.0,SPY200413C00320000,320.0,5.0,2020-03-11,True,True,1.5100000000000002,1.29,1.7299999999999998,0.4399999999999997,True,True
2020-03-11,SELECTED,2020-04-15,True,1.6600000000000008,1.42,1.9000000000000004,0.4800000000000004,True,True,SPY200415P00230000,230.0,SPY200415P00225000,225.0,SPY200415C00305000,305.0,SPY200415C00310000,310.0,5.0,2020-03-12,True,True,1.79,1.53,2.05,0.5199999999999998,True,True
2020-03-12,SELECTED,2020-04-15,True,2.1100000000000003,1.8400000000000005,2.38,0.5399999999999994,True,True,SPY200415P00200000,200.0,SPY200415P00195000,195.0,SPY200415C00289000,289.0,SPY200415C00295000,295.0,6.0,2020-03-13,True,True,2.789999999999999,2.369999999999999,3.21,0.8400000000000007,True,True
2020-03-13,SELECTED,2020-04-17,True,1.4849999999999999,0.8099999999999996,2.16,1.3500000000000005,True,True,SPY200417P00224000,224.0,SPY200417P00220000,220.0,SPY200417C00300000,300.0,SPY200417C00306000,306.0,6.0,2020-03-16,True,True,1.6999999999999986,1.3699999999999988,2.0299999999999985,0.6599999999999997,True,True
2020-03-16,SELECTED,2020-04-20,True,2.0549999999999993,0.4599999999999995,3.6500000000000004,3.190000000000001,True,True,SPY200420P00190000,190.0,SPY200420P00185000,185.0,SPY200420C00285000,285.0,SPY200420C00290000,290.0,5.0,,,,,,,,,
2022-06-01,SELECTED,2022-07-06,True,2.4499999999999997,2.34,2.5600000000000005,0.22000000000000064,True,True,SPY220706P00375000,375.0,SPY220706P00365000,365.0,SPY220706C00434000,434.0,SPY220706C00445000,445.0,11.0,2022-06-02,True,True,2.93,2.83,3.0299999999999994,0.1999999999999993,True,True
2022-06-02,SELECTED,2022-07-06,True,2.4,2.3,2.5,0.20000000000000018,True,True,SPY220706P00385000,385.0,SPY220706P00375000,375.0,SPY220706C00440000,440.0,SPY220706C00450000,450.0,10.0,2022-06-03,True,True,2.145,2.06,2.2299999999999995,0.16999999999999948,True,True
2022-06-03,SELECTED,2022-07-08,True,2.1100000000000008,2.0700000000000003,2.1500000000000004,0.08000000000000007,True,True,SPY220708P00378000,378.0,SPY220708P00370000,370.0,SPY220708C00435000,435.0,SPY220708C00444000,444.0,9.0,2022-06-06,True,True,2.0250000000000004,1.98,2.07,0.08999999999999986,True,True
2022-06-06,SELECTED,2022-07-11,True,2.4850000000000003,2.42,2.5500000000000007,0.13000000000000078,True,True,SPY220711P00380000,380.0,SPY220711P00370000,370.0,SPY220711C00435000,435.0,SPY220711C00445000,445.0,10.0,2022-06-07,True,True,2.54,2.4699999999999998,2.61,0.14000000000000012,True,True
2022-06-07,SELECTED,2022-07-11,True,2.2399999999999998,2.17,2.3100000000000005,0.14000000000000057,True,True,SPY220711P00385000,385.0,SPY220711P00375000,375.0,SPY220711C00438000,438.0,SPY220711C00446000,446.0,10.0,2022-06-08,True,True,2.0649999999999995,2.0,2.1299999999999994,0.12999999999999945,True,True
2022-06-08,SELECTED,2022-07-13,True,2.5549999999999997,2.46,2.65,0.18999999999999995,True,True,SPY220713P00380000,380.0,SPY220713P00370000,370.0,SPY220713C00434000,434.0,SPY220713C00445000,445.0,11.0,2022-06-09,True,True,2.525,2.4000000000000004,2.65,0.24999999999999956,True,True
