case_id,input_ticker,input_calendar_date,lookup_start,lookup_end,rank_hash,identity_note
1,CAG,2024-01-04,2023-12-05,2024-01-11,0024d72f83bce73c56c0844a183c2e8efcf5cf39ae9090d97a474ae9477e05e7,
2,ECHO,2019-05-08,2019-04-08,2019-05-15,0029a4e710e9278a15d33636eb70884f36301a2df8584f55cb87f250b103a5aa,Resolve issuer; do not substitute EchoStar for Echo Global Logistics.
3,IEX,2020-10-27,2020-09-27,2020-11-03,0038913a0389e59fe986423d919b6438a166447e3235e98fdfee5c4962b5ca6f,
4,CRWD,2023-03-07,2023-02-05,2023-03-14,0040f083a9a2b5ef1472e947fb8d9dd2e5986a549c1b0e2150b8f6add70a4dad,
5,SEDG,2021-11-02,2021-10-03,2021-11-09,007dcfe57366f059a5a1122a90a8047a3cd31c463f8b266b1db96704613663f1,
6,INVH,2022-07-27,2022-06-27,2022-08-03,008b30252bb919f2a68ded72d7843e7eec04a4ca95d81e0afb0694e10021d4d5,
7,ILMN,2023-04-25,2023-03-26,2023-05-02,00de09b9ced750591f4acbae9efb9413ce5b1506ca37f4b47d8840ca3cf09a96,
8,BIO,2022-02-10,2022-01-11,2022-02-17,00e0778279b71b7465f6224e6967f67c96112419a4d45169acf6b1770c4b96f3,
9,POOL,2024-04-25,2024-03-26,2024-05-02,00edba584a7575980ed2f1d5aa09e66dc5bfb5dc6e954ca444fd08c32bbc9a8e,
10,WDAY,2024-02-26,2024-01-27,2024-03-04,0105dd68a1afb9caf0960f1e4efe2e68b571da27110b42113b14a0d3e2860965,
11,LW,2024-12-19,2024-11-19,2024-12-26,0115fed7f397388092e00234857c90355a9d508307de7c01c031494fd58cabac,
12,CPB,2024-06-05,2024-05-06,2024-06-12,011892821358c3b7d3446befad06f90db995c65b4ae97e9990c17681853fa735,
13,NOW,2024-04-24,2024-03-25,2024-05-01,011eec284e35f6acd24de2d62a6559b821100d815e4141464ed5c48601f8d641,
14,FIX,2023-07-26,2023-06-26,2023-08-02,0122d349359491913403a7bc59f64169b505a47b188bfdf6d6cadd2f4e835b27,
15,BBT,2023-07-20,2023-06-20,2023-07-27,0129b2d0120484b89f9505c7de1560702d58e5b33b7689ed0250adc259a8603c,Resolve historical issuer/security; do not automatically map to TFC.
16,DD,2019-05-02,2019-04-02,2019-05-09,012addbaff07b1f87a86844e19ed5da28d262942cd9551b67760703a08c54207,Resolve DowDuPont/spin-off security basis.
17,TRIP,2020-11-05,2020-10-06,2020-11-12,012f7056a4469fc84f5417d67dfd476673c068c5e55fc6246befe65c95f3bfbe,
18,CPB,2020-12-09,2020-11-09,2020-12-16,013fba6e48db2f1a5eb431bfb5a8059bfc77ff77e2b26ba2ea95af7443de949c,
19,LKQ,2019-04-25,2019-03-26,2019-05-02,01597f78dfb4543dbc81df3bb9e7ff5c7f71f3d3a2bfc8ecb9dbf493f9b9e404,
20,JBL,2023-12-14,2023-11-14,2023-12-21,017965d560ba8b7d66d7db9e1a1cb22edcb00c759752d981cb11efc0073aeff2,
21,AAP,2022-02-14,2022-01-15,2022-02-21,017f16e4f13e5e6296c6d1c98691865e737be3c46e4ceb91c60f744f8e482f99,
22,WAB,2020-07-28,2020-06-28,2020-08-04,01aad205663c49172aae473d1b7137b2686ce2d699a967183da87b3053102af7,
23,META,2021-01-27,2020-12-28,2021-02-03,01c6483120a90a06280465a17f9debeec52b1dc5799178bcb056f884b8e1e399,Historical release names Facebook / FB; verify mapping.
24,MAC,2021-11-03,2021-10-04,2021-11-10,01c8ca93a20734d535fb714b487ffb9efa5d57468ba82e11902355884761e29a,
25,WTW,2022-07-28,2022-06-28,2022-08-04,01c993b45475ccc5cdc3c25bce9b1b103dd29c5d1f7b321bdd4334678ccdc318,
26,SMCI,2023-05-02,2023-04-02,2023-05-09,01eda7db7474cef1168d61eda2b4294c2403318fe82a19c546f389d841bcd70d,
27,UBER,2021-11-04,2021-10-05,2021-11-11,01fa4aa46e8d1e9b1d601915371d61bcf917e17a761e57b59c2c34a2129a1253,
28,STLD,2022-04-20,2022-03-21,2022-04-27,0207b96403018869f3484d43c915312ca738d3880dd47949b8f534684368ded9,
29,WDAY,2020-11-19,2020-10-20,2020-11-26,02180469f3ddafe5787126b5630a32d9c7e5c2d0da8b701f6c345acb263567dd,
30,IEX,2024-02-07,2024-01-08,2024-02-14,0218b2972dce66d409d381ea723403663bab7426f5071e8822beb3ef0bebe560,
