policy,scenario,year,observations,total_return
trend_ensemble_vol20,frictionless,2018,363,-0.20242953057933954
trend_ensemble_vol20,frictionless,2019,365,0.15368653168551227
trend_ensemble_vol20,frictionless,2020,366,0.76415188483255903
trend_ensemble_vol20,frictionless,2021,365,0.39556446935433587
trend_ensemble_vol20,frictionless,2022,365,-0.13807436484385882
trend_ensemble_vol20,frictionless,2023,365,0.34657917290185836
trend_ensemble_vol20,frictionless,2024,366,0.34018463537017163
trend_ensemble_vol40,frictionless,2018,363,-0.27375249856197925
trend_ensemble_vol40,frictionless,2019,365,0.17687073414942134
trend_ensemble_vol40,frictionless,2020,366,1.5263264358147723
trend_ensemble_vol40,frictionless,2021,365,0.8577519638411375
trend_ensemble_vol40,frictionless,2022,365,-0.22585120295426442
trend_ensemble_vol40,frictionless,2023,365,0.4215984245697264
trend_ensemble_vol40,frictionless,2024,366,0.61446285652961885
trend_ensemble_uncapped,frictionless,2018,363,-0.48059168816973696
trend_ensemble_uncapped,frictionless,2019,365,0.18237837451371641
trend_ensemble_uncapped,frictionless,2020,366,1.8469613454846923
trend_ensemble_uncapped,frictionless,2021,365,1.6585618832305147
trend_ensemble_uncapped,frictionless,2022,365,-0.24246612988527272
trend_ensemble_uncapped,frictionless,2023,365,0.43458269797605054
trend_ensemble_uncapped,frictionless,2024,366,0.6873851479242119
breakout_vol20,frictionless,2018,363,-0.097123485274330346
breakout_vol20,frictionless,2019,365,0.023280794382138037
breakout_vol20,frictionless,2020,366,0.33161371801297168
breakout_vol20,frictionless,2021,365,0.37658086874472052
breakout_vol20,frictionless,2022,365,-0.032229106136066887
breakout_vol20,frictionless,2023,365,0.12402905515302742
breakout_vol20,frictionless,2024,366,0.19286760771974043
breakout_vol40,frictionless,2018,363,-0.19101082759349752
breakout_vol40,frictionless,2019,365,0.061846738760049647
breakout_vol40,frictionless,2020,366,0.68618706827033593
breakout_vol40,frictionless,2021,365,0.80623186748684139
breakout_vol40,frictionless,2022,365,-0.059957879116633528
breakout_vol40,frictionless,2023,365,0.2141901221289424
breakout_vol40,frictionless,2024,366,0.36586259734610604
breakout_uncapped,frictionless,2018,363,-0.41623098892813259
breakout_uncapped,frictionless,2019,365,0.032002557956026356
breakout_uncapped,frictionless,2020,366,1.108875869134148
breakout_uncapped,frictionless,2021,365,1.6332701947005037
breakout_uncapped,frictionless,2022,365,-0.085404902899517077
breakout_uncapped,frictionless,2023,365,0.23494338043066265
breakout_uncapped,frictionless,2024,366,0.32848798845723026
rotation_vol20,frictionless,2018,363,-0.078795465150191979
rotation_vol20,frictionless,2019,365,-0.0048377832377876073
rotation_vol20,frictionless,2020,366,0.43024532724479903
rotation_vol20,frictionless,2021,365,0.3849117098922521
rotation_vol20,frictionless,2022,365,-0.092882815014035724
rotation_vol20,frictionless,2023,365,0.26305709223237317
rotation_vol20,frictionless,2024,366,0.34076687928495031
rotation_vol40,frictionless,2018,363,-0.16362778716597781
rotation_vol40,frictionless,2019,365,-0.033296790933354914
rotation_vol40,frictionless,2020,366,0.95162479873189665
rotation_vol40,frictionless,2021,365,0.83951190635882855
rotation_vol40,frictionless,2022,365,-0.18205517571445617
rotation_vol40,frictionless,2023,365,0.51481173087613574
rotation_vol40,frictionless,2024,366,0.71504973915003389
rotation_uncapped,frictionless,2018,363,-0.57998786087940768
rotation_uncapped,frictionless,2019,365,-0.088557553391856336
rotation_uncapped,frictionless,2020,366,1.3842275123053649
rotation_uncapped,frictionless,2021,365,2.2283695171071294
rotation_uncapped,frictionless,2022,365,-0.32574925532027632
rotation_uncapped,frictionless,2023,365,0.64156454201667423
rotation_uncapped,frictionless,2024,366,0.6587423910732082
equal_weight_vol20,frictionless,2018,363,-0.29901377348982083
equal_weight_vol20,frictionless,2019,365,0.19311589477525315
equal_weight_vol20,frictionless,2020,366,0.791078664067149
equal_weight_vol20,frictionless,2021,365,0.40281567653593342
equal_weight_vol20,frictionless,2022,365,-0.2536828390792466
equal_weight_vol20,frictionless,2023,365,0.49898729821422316
equal_weight_vol20,frictionless,2024,366,0.33748177378116018
equal_weight_vol40,frictionless,2018,363,-0.53174139991777647
equal_weight_vol40,frictionless,2019,365,0.36602673013966491
equal_weight_vol40,frictionless,2020,366,2.0133799530400132
equal_weight_vol40,frictionless,2021,365,0.87675381353877202
equal_weight_vol40,frictionless,2022,365,-0.46873956692836738
equal_weight_vol40,frictionless,2023,365,1.0396266862681531
equal_weight_vol40,frictionless,2024,366,0.70518033529237334
equal_weight_uncapped,frictionless,2018,363,-0.79607372675491261
equal_weight_uncapped,frictionless,2019,365,0.42041196441412265
equal_weight_uncapped,frictionless,2020,366,3.9867329864354151
equal_weight_uncapped,frictionless,2021,365,1.9882600669919626
equal_weight_uncapped,frictionless,2022,365,-0.65165485280689062
equal_weight_uncapped,frictionless,2023,365,1.2287735195987488
equal_weight_uncapped,frictionless,2024,366,0.82885255340297515
btc_buy_hold,frictionless,2018,363,-0.7502381351850036
btc_buy_hold,frictionless,2019,365,0.94095117366308756
btc_buy_hold,frictionless,2020,366,3.045661845564628
btc_buy_hold,frictionless,2021,365,0.59403630483254211
btc_buy_hold,frictionless,2022,365,-0.6422872444020078
btc_buy_hold,frictionless,2023,365,1.5582071764965475
btc_buy_hold,frictionless,2024,366,1.1902328931617978
eth_buy_hold,frictionless,2018,363,-0.84909826589594195
eth_buy_hold,frictionless,2019,365,-0.015245537424344868
eth_buy_hold,frictionless,2020,366,4.7388361599497539
eth_buy_hold,frictionless,2021,365,3.9829869724944134
eth_buy_hold,frictionless,2022,365,-0.67483268948255937
eth_buy_hold,frictionless,2023,365,0.90844593181341771
eth_buy_hold,frictionless,2024,366,0.47099387568114448
mix_buy_hold,frictionless,2018,363,-0.7996682005404725
mix_buy_hold,frictionless,2019,365,0.58081927688739943
mix_buy_hold,frictionless,2020,366,3.4429098724802447
mix_buy_hold,frictionless,2021,365,1.6210627982462911
mix_buy_hold,frictionless,2022,365,-0.66103800722683759
mix_buy_hold,frictionless,2023,365,1.1990881590687863
mix_buy_hold,frictionless,2024,366,0.84525198629316356
usd_cash,frictionless,2018,363,0
usd_cash,frictionless,2019,365,0
usd_cash,frictionless,2020,366,0
usd_cash,frictionless,2021,365,0
usd_cash,frictionless,2022,365,0
usd_cash,frictionless,2023,365,0
usd_cash,frictionless,2024,366,0
trend_ensemble_vol20,base,2018,363,-0.21785497487137995
trend_ensemble_vol20,base,2019,365,0.13112327827199621
trend_ensemble_vol20,base,2020,366,0.71735024268410785
trend_ensemble_vol20,base,2021,365,0.37708552679147389
trend_ensemble_vol20,base,2022,365,-0.15421895888242054
trend_ensemble_vol20,base,2023,365,0.29254164154883844
trend_ensemble_vol20,base,2024,366,0.31174620106263506
trend_ensemble_vol40,base,2018,363,-0.29256048579821559
trend_ensemble_vol40,base,2019,365,0.15121243773885285
trend_ensemble_vol40,base,2020,366,1.4183038874849929
trend_ensemble_vol40,base,2021,365,0.81470946714939885
trend_ensemble_vol40,base,2022,365,-0.24549347411052735
trend_ensemble_vol40,base,2023,365,0.35145789713802822
trend_ensemble_vol40,base,2024,366,0.55779712196344478
trend_ensemble_uncapped,base,2018,363,-0.49710467316262674
trend_ensemble_uncapped,base,2019,365,0.15728543769168146
trend_ensemble_uncapped,base,2020,366,1.7000121515274369
trend_ensemble_uncapped,base,2021,365,1.582045197055939
trend_ensemble_uncapped,base,2022,365,-0.26176734551393444
trend_ensemble_uncapped,base,2023,365,0.36499500416368291
trend_ensemble_uncapped,base,2024,366,0.62921396377688832
breakout_vol20,base,2018,363,-0.099857536362571109
breakout_vol20,base,2019,365,0.016566526644657076
breakout_vol20,base,2020,366,0.32003040008531358
breakout_vol20,base,2021,365,0.36300141555302856
breakout_vol20,base,2022,365,-0.034180966992278128
breakout_vol20,base,2023,365,0.11021268736444023
breakout_vol20,base,2024,366,0.17814943217509938
breakout_vol40,base,2018,363,-0.19551813714353905
breakout_vol40,base,2019,365,0.051357692041662961
breakout_vol40,base,2020,366,0.66220624601994027
breakout_vol40,base,2021,365,0.77664546639276288
breakout_vol40,base,2022,365,-0.062893798099188936
breakout_vol40,base,2023,365,0.19741921610348645
breakout_vol40,base,2024,366,0.34454228250857
breakout_uncapped,base,2018,363,-0.42159537433167837
breakout_uncapped,base,2019,365,0.022394061780153685
breakout_uncapped,base,2020,366,1.0820361035301249
breakout_uncapped,base,2021,365,1.5904518146083282
breakout_uncapped,base,2022,365,-0.088282525276062396
breakout_uncapped,base,2023,365,0.22020001577851689
breakout_uncapped,base,2024,366,0.30966861119615641
rotation_vol20,base,2018,363,-0.088759630182822291
rotation_vol20,base,2019,365,-0.013956375518347053
rotation_vol20,base,2020,366,0.40793400524894641
rotation_vol20,base,2021,365,0.35466402461321
rotation_vol20,base,2022,365,-0.10739232615991523
rotation_vol20,base,2023,365,0.2200913329098193
rotation_vol20,base,2024,366,0.28637376613396892
