policy,scenario,expected,reported,residual
btc_buy_hold,frictionless,6.2659794121308225,6.2659794121307479,-7.460698725481052e-14
eth_buy_hold,frictionless,3.8791213872832371,3.8791213872831962,-4.0856207306205761e-14
mix_buy_hold,frictionless,5.0725503997070298,5.0725503997069721,-5.773159728050814e-14
btc_buy_hold,base,6.2284959859366209,6.2284959859365951,-2.5757174171303632e-14
eth_buy_hold,base,3.855916274298492,3.8559162742984787,-1.3322676295501878e-14
mix_buy_hold,base,5.0422061301175569,5.0422061301175365,-2.042810365310288e-14
btc_buy_hold,cost_stress,6.1726893960693214,6.1726893960693054,-1.5987211554602254e-14
eth_buy_hold,cost_stress,3.8213677189862163,3.8213677189862074,-8.8817841970012523e-15
mix_buy_hold,cost_stress,4.9970285575277682,4.9970285575277558,-1.2434497875801753e-14
btc_buy_hold,delay_one_day,6.0978431237331714,6.0978431237331465,-2.4868995751603507e-14
eth_buy_hold,delay_one_day,3.5552225390852268,3.5552225390852139,-1.2878587085651816e-14
mix_buy_hold,delay_one_day,4.8265328314091986,4.82653283140918,-1.865174681370263e-14
