policy,control,period,scenario,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
trend_ensemble_vol20,equal_weight_vol20,full,frictionless,0.019356110624174416,0.16263545510597976,0.12519903376717678,-0.024026866405145397
trend_ensemble_vol20,equal_weight_vol20,through_2020,frictionless,0.031140777234323735,0.18558186678762401,0.12519903376717678,-0.020955515691384985
trend_ensemble_vol20,equal_weight_vol20,2021_2024,frictionless,0.010171409775255214,0.14820611735958633,0.12295142981097951,-0.02642055145370209
trend_ensemble_vol40,equal_weight_vol40,full,frictionless,0.012104491062561173,0.13567580301718396,0.2462695112594383,-0.085121237497702118
trend_ensemble_vol40,equal_weight_vol40,through_2020,frictionless,0.048147177432121158,0.17835168660287515,0.2462695112594383,-0.084514784372385632
trend_ensemble_vol40,equal_weight_vol40,2021_2024,frictionless,-0.016736686583100679,0.10349960618292686,0.22260570361404408,-0.085658972668892053
trend_ensemble_uncapped,equal_weight_uncapped,full,frictionless,0.062602981246873801,0.11643129472807323,0.20272216743096494,-0.21135642751811534
trend_ensemble_uncapped,equal_weight_uncapped,through_2020,frictionless,0.074519175647998592,0.046350987724643522,0.20272216743096494,-0.26220329774611828
trend_ensemble_uncapped,equal_weight_uncapped,2021_2024,frictionless,0.050754749469366311,0.15784043378251855,0.30092235804047651,-0.16801059636220694
breakout_vol20,equal_weight_vol20,full,frictionless,-0.05882848505463012,-0.059190475165271539,0.16788390178287893,-0.0628863417164639
breakout_vol20,equal_weight_vol20,through_2020,frictionless,-0.072881953729420967,-0.17303886320225415,0.16788390178287893,-0.075671962262797987
breakout_vol20,equal_weight_vol20,2021_2024,frictionless,-0.047619186207586539,0.0060957105368479869,0.14636854339725225,-0.053743618751600469
breakout_vol40,equal_weight_vol40,full,frictionless,-0.089489656117844429,-0.017046479651101509,0.24792371644736688,-0.13795748586697809
breakout_vol40,equal_weight_vol40,through_2020,frictionless,-0.11339335668065909,-0.1432157117235705,0.24792371644736688,-0.15598335391133061
breakout_vol40,equal_weight_vol40,2021_2024,frictionless,-0.069272954991815183,0.065106903403535532,0.30607308835510827,-0.12452991094437854
breakout_uncapped,equal_weight_uncapped,full,frictionless,-0.036466778208154027,0.0064476261386585687,0.23663484300682613,-0.28964221545936836
breakout_uncapped,equal_weight_uncapped,through_2020,frictionless,-0.047464714806783714,-0.16724557792886774,0.23663484300682613,-0.36442633375692596
breakout_uncapped,equal_weight_uncapped,2021_2024,frictionless,-0.025362247804538329,0.11314700995135651,0.35931750567211795,-0.22715535035079443
rotation_vol20,equal_weight_vol20,full,frictionless,-0.019997675189672659,0.076966987818019139,0.16475808309855733,-0.046330579530911908
rotation_vol20,equal_weight_vol20,through_2020,frictionless,-0.049828897676188255,-0.096824637735210661,0.16475808309855733,-0.054087673086910565
rotation_vol20,equal_weight_vol20,2021_2024,frictionless,0.004064786624516481,0.19387603044306778,0.17475055866646216,-0.04064312046138574
rotation_vol40,equal_weight_vol40,full,frictionless,-0.014986590384857612,0.087871299647053425,0.226524864003533,-0.09269775264586716
rotation_vol40,equal_weight_vol40,through_2020,frictionless,-0.080547582552052299,-0.09682146887441978,0.226524864003533,-0.1081751364962677
rotation_vol40,equal_weight_vol40,2021_2024,frictionless,0.041524140984658731,0.21589885040010592,0.27480749797994908,-0.081103900433765919
rotation_uncapped,equal_weight_uncapped,full,frictionless,-0.022923793351297572,-0.023843026386188293,0.043616914997649525,-0.069221671858152867
rotation_uncapped,equal_weight_uncapped,through_2020,frictionless,-0.16081163163003775,-0.23007291918054135,0.043616914997649525,-0.090462432329419418
rotation_uncapped,equal_weight_uncapped,2021_2024,frictionless,0.12520943400931794,0.15116699224470742,0.19037436466656654,-0.0507880410763204
trend_ensemble_vol20,equal_weight_vol20,full,base,0.0031750749746801699,0.08797482240419785,0.11514376107988666,-0.024021015536858092
trend_ensemble_vol20,equal_weight_vol20,through_2020,base,0.015856695112629327,0.11704416815323027,0.11514376107988666,-0.020966266748927487
trend_ensemble_vol20,equal_weight_vol20,2021_2024,base,-0.0067068005330301883,0.068625255575985533,0.11316099692931103,-0.026401465114978623
trend_ensemble_vol40,equal_weight_vol40,full,base,-0.011552877749598345,0.075700098072668753,0.23684189851838433,-0.085114062542144653
trend_ensemble_vol40,equal_weight_vol40,through_2020,base,0.027600605054501237,0.12694001720838011,0.23684189851838433,-0.084540910166861716
trend_ensemble_vol40,equal_weight_vol40,2021_2024,base,-0.042854145579960701,0.036730171512918242,0.20214297981432361,-0.085624860531448244
trend_ensemble_uncapped,equal_weight_uncapped,full,base,0.029207571325972514,0.064995073022232841,0.18493138555532007,-0.21132330509021158
trend_ensemble_uncapped,equal_weight_uncapped,through_2020,base,0.045545592447223449,-0.0018975365301739933,0.18493138555532007,-0.2621773063197288
trend_ensemble_uncapped,equal_weight_uncapped,2021_2024,base,0.013557207538088756,0.10369577066248525,0.28688769593469132,-0.16797368498078757
breakout_vol20,equal_weight_vol20,full,base,-0.056566179609496947,-0.066288013179128913,0.16755769369144002,-0.062952722011969248
breakout_vol20,equal_weight_vol20,through_2020,base,-0.069006492620651727,-0.17321571816074355,0.16755769369144002,-0.075863055696294701
breakout_vol20,equal_weight_vol20,2021_2024,base,-0.046662822276519078,-0.0057882621271607704,0.14654188779883059,-0.053725214678716132
breakout_vol40,equal_weight_vol40,full,base,-0.084521388564697375,-0.02192829216264891,0.24270903387510401,-0.138052603710966
breakout_vol40,equal_weight_vol40,through_2020,base,-0.10601945579004757,-0.14362540502652521,0.24270903387510401,-0.15627580432113924
breakout_vol40,equal_weight_vol40,2021_2024,base,-0.066342554432635481,0.056778155368271799,0.30672253922203607,-0.12448306201477971
breakout_uncapped,equal_weight_uncapped,full,base,-0.036621598043583337,-0.0033513356486698509,0.23185280812364617,-0.28971688699802473
breakout_uncapped,equal_weight_uncapped,through_2020,base,-0.045504200262013628,-0.17547115951270703,0.23185280812364617,-0.36465942548492641
