policy,family,role,scenario,period,observations,first_date,last_date,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days,pareto_cagr_sharpe_drawdown
trend_ensemble_vol20,trend_ensemble,candidate,frictionless,full,2555,2018-01-03,2024-12-31,0.19736979091680662,1.0179500797424605,-0.25634546221881616,0.19562478681809431,0.76993674554820879,0.14173268151464369,3.5237824677331102,0.27040992622189841,7.6656502026552662,0,-0.10679220806874756,730,True
trend_ensemble_vol20,trend_ensemble,candidate,frictionless,through_2020,1094,2018-01-03,2020-12-31,0.17572946984130877,0.90410977868848419,-0.25634546221881616,0.20134168706292799,0.68551816100144702,0.12122727570721084,1.6232778447102254,0.23817328561175782,7.3705939838905969,0,-0.10679220806874756,523,True
trend_ensemble_vol20,trend_ensemble,candidate,frictionless,2021_2024,1461,2021-01-01,2024-12-31,0.21398046166022611,1.1079089125978312,-0.21756836282593028,0.19129888771546741,0.98350908597600306,0.15704884600825558,2.1707820871307284,0.29454879331806116,7.8917886254720067,0,-0.053382165311435581,730,True
trend_ensemble_vol40,trend_ensemble,candidate,frictionless,full,2555,2018-01-03,2024-12-31,0.32427114791328537,0.97917848110076577,-0.38745067324728599,0.34949575415025685,0.83693530635917357,0.15899779844643003,7.1272180315597708,0.45617122953874711,10.842674757445369,0,-0.21358600182123311,792,True
trend_ensemble_vol40,trend_ensemble,candidate,frictionless,through_2020,1094,2018-01-03,2020-12-31,0.29334581932913828,0.8968958205116716,-0.38745067324728599,0.3600808066157507,0.75711784643593494,0.12846768956056384,2.1592497651687212,0.40198082433883986,10.246261816110513,0,-0.21358600182123311,527,True
trend_ensemble_vol40,trend_ensemble,candidate,frictionless,2021_2024,1461,2021-01-01,2024-12-31,0.34816514615215133,1.0444134863104866,-0.36360887308871126,0.34147726495890923,0.95752653997309889,0.18173337706577852,3.3007844421383337,0.49674912364463247,11.296593948977179,0,-0.10677139804389391,792,False
trend_ensemble_uncapped,trend_ensemble,candidate,frictionless,full,2555,2018-01-03,2024-12-31,0.35859837627440094,0.84451647354209558,-0.6773705079688237,0.537295491792942,0.52939768126265341,0.020725225727512231,8.5238457835654451,0.60774336644622351,11.754801865261959,0,-0.34598551999333316,1044,True
trend_ensemble_uncapped,trend_ensemble,candidate,frictionless,through_2020,1094,2018-01-03,2020-12-31,0.20527407555590438,0.62471275002252868,-0.6773705079688237,0.57081064941556103,0.30304548713147134,-0.13214450569078112,1.7484247423943069,0.56292067394686085,11.893567740842935,0,-0.34598551999333316,1044,False
trend_ensemble_uncapped,trend_ensemble,candidate,frictionless,2021_2024,1461,2021-01-01,2024-12-31,0.48632905071603094,1.0304978245480427,-0.46204469137353321,0.51092797304904369,1.0525584641397068,0.13493907426177409,4.8751573784598667,0.64130669676402152,11.658968782971035,0,-0.1856720255915798,833,True
breakout_vol20,breakout,candidate,frictionless,full,2555,2018-01-03,2024-12-31,0.11918519523800208,0.79612414947120924,-0.21366059420311401,0.15676531150677581,0.55782487960648486,0.087941605952196383,2.1975841243203647,0.14736028172866258,2.6250157117546808,0,-0.089173794208135648,756,True
breakout_vol20,breakout,candidate,frictionless,through_2020,1094,2018-01-03,2020-12-31,0.071706738877564069,0.54548904869860604,-0.21366059420311401,0.14662524049151499,0.33561050012524479,0.047734021227128935,1.2302728502347844,0.098683701603676427,2.0442217215271596,0,-0.089173794208135648,528,True
breakout_vol20,breakout,candidate,frictionless,2021_2024,1461,2021-01-01,2024-12-31,0.15618986567738435,0.96579850577509285,-0.19415124923965754,0.16397582041756903,0.80447520316794774,0.11803549782011086,1.786257515071549,0.18380941154162278,3.0616135521864867,0,-0.053570236526975901,756,False
