policy,scenario,year,days,total_return
trend_vol20_exact,frictionless,2025,365,0.029032577934976933
trend_vol20_exact,frictionless,2026,238,-0.013224942732810052
allocation_vol20_exact,frictionless,2025,365,-0.0052245411736717706
allocation_vol20_exact,frictionless,2026,238,-0.047971490224943181
fixed_blend_vol20_exact,frictionless,2025,365,0.012134871872587327
fixed_blend_vol20_exact,frictionless,2026,238,-0.027108470021401487
state_rule_vol20_exact,frictionless,2025,365,0.041830091120681256
state_rule_vol20_exact,frictionless,2026,238,-0.013224942732809497
trend_vol20_band2,frictionless,2025,365,0.030139566965744935
trend_vol20_band2,frictionless,2026,238,-0.012817326253809935
allocation_vol20_band2,frictionless,2025,365,-0.0056020489354967618
allocation_vol20_band2,frictionless,2026,238,-0.046706425391100259
fixed_blend_vol20_band2,frictionless,2025,365,0.010905653595262743
fixed_blend_vol20_band2,frictionless,2026,238,-0.028618068802317431
state_rule_vol20_band2,frictionless,2025,365,0.040040004518524075
state_rule_vol20_band2,frictionless,2026,238,-0.012817326253809602
trend_vol40_exact,frictionless,2025,365,-0.031052075520314304
trend_vol40_exact,frictionless,2026,238,-0.0044073106608149004
allocation_vol40_exact,frictionless,2025,365,-0.053435964636964206
allocation_vol40_exact,frictionless,2026,238,-0.14282206270658548
fixed_blend_vol40_exact,frictionless,2025,365,-0.038292618718672511
fixed_blend_vol40_exact,frictionless,2026,238,-0.062326155193056065
state_rule_vol40_exact,frictionless,2025,365,0.079055805637997745
state_rule_vol40_exact,frictionless,2026,238,-0.0044073106608135681
trend_vol40_band2,frictionless,2025,365,-0.027578321053081445
trend_vol40_band2,frictionless,2026,238,-0.0044938240584804223
allocation_vol40_band2,frictionless,2025,365,-0.051288999072447994
allocation_vol40_band2,frictionless,2026,238,-0.14132045408346394
fixed_blend_vol40_band2,frictionless,2025,365,-0.033197555668697865
fixed_blend_vol40_band2,frictionless,2026,238,-0.059747137874557099
state_rule_vol40_band2,frictionless,2025,365,0.083241957842886904
state_rule_vol40_band2,frictionless,2026,238,-0.0044938240584808664
btc_buy_hold,frictionless,2025,365,-0.062665249311739779
btc_buy_hold,frictionless,2026,238,-0.10252984241686069
eth_buy_hold,frictionless,2025,365,-0.10919616156035328
eth_buy_hold,frictionless,2026,238,-0.1767166412748884
mix_buy_hold,frictionless,2025,365,-0.085930705436044974
mix_buy_hold,frictionless,2026,238,-0.13867911773838237
usd_cash,frictionless,2025,365,0
usd_cash,frictionless,2026,238,0
trend_vol20_exact,base,2025,365,0.0061958968980850848
trend_vol20_exact,base,2026,238,-0.028287078862440529
allocation_vol20_exact,base,2025,365,-0.014734400760940791
allocation_vol20_exact,base,2026,238,-0.055399696092518824
fixed_blend_vol20_exact,base,2025,365,-0.003460817740656652
fixed_blend_vol20_exact,base,2026,238,-0.037897860852594611
state_rule_vol20_exact,base,2025,365,0.022894705067905363
state_rule_vol20_exact,base,2026,238,-0.028287078862440862
trend_vol20_band2,base,2025,365,0.0098965708094611582
trend_vol20_band2,base,2026,238,-0.027198140158424366
allocation_vol20_band2,base,2025,365,-0.012039564704079186
allocation_vol20_band2,base,2026,238,-0.05292953562191105
fixed_blend_vol20_band2,base,2025,365,-0.0017055514738224531
fixed_blend_vol20_band2,base,2026,238,-0.037446551370450276
state_rule_vol20_band2,base,2025,365,0.024119297330557732
state_rule_vol20_band2,base,2026,238,-0.027198140158423367
trend_vol40_exact,base,2025,365,-0.059413310512201001
trend_vol40_exact,base,2026,238,-0.021563994301993961
allocation_vol40_exact,base,2025,365,-0.068998040424642748
allocation_vol40_exact,base,2026,238,-0.15244891660844762
fixed_blend_vol40_exact,base,2025,365,-0.059687839751079941
fixed_blend_vol40_exact,base,2026,238,-0.075815120637404032
state_rule_vol40_exact,base,2025,365,0.050884304076846965
state_rule_vol40_exact,base,2026,238,-0.021563994301992517
trend_vol40_band2,base,2025,365,-0.053353331596317277
trend_vol40_band2,base,2026,238,-0.020951548115911933
allocation_vol40_band2,base,2025,365,-0.063932609225392789
allocation_vol40_band2,base,2026,238,-0.14960817855624842
fixed_blend_vol40_band2,base,2025,365,-0.05140123123943896
fixed_blend_vol40_band2,base,2026,238,-0.071469496774883567
state_rule_vol40_band2,base,2025,365,0.057820450986658667
state_rule_vol40_band2,base,2026,238,-0.020951548115914154
btc_buy_hold,base,2025,365,-0.065468842783391046
btc_buy_hold,base,2026,238,-0.10522225288961051
eth_buy_hold,base,2025,365,-0.11186057982089082
eth_buy_hold,base,2026,238,-0.17918649135106535
mix_buy_hold,base,2025,365,-0.088664711302139265
mix_buy_hold,base,2026,238,-0.14126308038516733
usd_cash,base,2025,365,0
usd_cash,base,2026,238,0
trend_vol20_exact,cost_stress,2025,365,-0.027113369176472557
trend_vol20_exact,cost_stress,2026,238,-0.050446707302055471
allocation_vol20_exact,cost_stress,2025,365,-0.028825962021079676
allocation_vol20_exact,cost_stress,2026,238,-0.066435049884699171
fixed_blend_vol20_exact,cost_stress,2025,365,-0.026403167158034924
fixed_blend_vol20_exact,cost_stress,2026,238,-0.053857461727177647
state_rule_vol20_exact,cost_stress,2025,365,-0.0048643365312059927
state_rule_vol20_exact,cost_stress,2026,238,-0.05044670730205536
trend_vol20_band2,cost_stress,2025,365,-0.019726553272469971
trend_vol20_band2,cost_stress,2026,238,-0.048374247244998059
allocation_vol20_band2,cost_stress,2025,365,-0.021614625706374957
allocation_vol20_band2,cost_stress,2026,238,-0.062189343072758918
fixed_blend_vol20_band2,cost_stress,2025,365,-0.02032710728107967
fixed_blend_vol20_band2,cost_stress,2026,238,-0.050537905948458195
state_rule_vol20_band2,cost_stress,2025,365,0.00069374194168636549
state_rule_vol20_band2,cost_stress,2026,238,-0.048374247244997948
trend_vol40_exact,cost_stress,2025,365,-0.10039697676926007
trend_vol40_exact,cost_stress,2026,238,-0.046743237159696971
allocation_vol40_exact,cost_stress,2025,365,-0.091852538391628213
allocation_vol40_exact,cost_stress,2026,238,-0.16669494923685979
fixed_blend_vol40_exact,cost_stress,2025,365,-0.090892620552431858
