policy,comparator,omitted_month,state_sharpe,trend_sharpe,state_compounded_return,trend_compounded_return,remaining_relative_log_wealth
state_rule_vol20_band2,trend_vol20_band2,2025-01,0.001136551903908767,-0.077876962677430814,-0.017937512269411759,-0.036302854143867802,0.018877858255807331
state_rule_vol20_band2,trend_vol20_band2,2025-02,0.49642718219664306,0.47895503189096467,0.10580198902279525,0.10125812739112461,0.0041175752465971299
state_rule_vol20_band2,trend_vol20_band2,2025-03,0.08564377706372589,0.026157593052821403,0.0024747643411451303,-0.011447368026335725,0.013985100660686492
state_rule_vol20_band2,trend_vol20_band2,2025-04,-0.11997030900536172,-0.17854739923141197,-0.046351325254576636,-0.059595372440746197,0.013985100660685999
state_rule_vol20_band2,trend_vol20_band2,2025-05,-0.11074911532778506,-0.16860262077159613,-0.044996204818665175,-0.058259071596863388,0.013985100660686471
state_rule_vol20_band2,trend_vol20_band2,2025-06,0.046940645975956562,-0.021043109275617002,-0.0074089950096434265,-0.02352852808759609,0.016373165784784136
state_rule_vol20_band2,trend_vol20_band2,2025-07,-0.38367734510424673,-0.38136292320537629,-0.105209163087433,-0.10465557732620978,-0.00061848486130240687
state_rule_vol20_band2,trend_vol20_band2,2025-08,-0.082951149514077213,-0.14474517248261939,-0.034981093890753767,-0.048383048160201003,0.013985100660686062
state_rule_vol20_band2,trend_vol20_band2,2025-09,0.065806930239155487,0.0083860640122727561,-0.0029227170563329574,-0.016769890479071292,0.013985100660686187
state_rule_vol20_band2,trend_vol20_band2,2025-10,0.14014160466482048,0.074365028208563777,0.015475810837885851,-0.00010170600234249427,0.0154589929765062
state_rule_vol20_band2,trend_vol20_band2,2025-11,0.44099933900585869,0.37558762963787834,0.091163094473406314,0.0741480014899909,0.015716395901037863
state_rule_vol20_band2,trend_vol20_band2,2025-12,0.05577696360077386,-0.0011448886216601792,-0.0056264843670473796,-0.019436108509014116,0.013985100660685618
state_rule_vol20_band2,trend_vol20_band2,2026-01,0.06167921159379202,0.0052460600103599909,-0.0043759234025628757,-0.018202915039352785,0.013985100660685978
state_rule_vol20_band2,trend_vol20_band2,2026-02,0.064318354047975188,0.0081696527126336009,-0.003734842857184506,-0.017570737668925585,0.013985100660685978
state_rule_vol20_band2,trend_vol20_band2,2026-03,0.04858152497431753,-0.0081853795826018899,-0.0074699747349530332,-0.02125399691881269,0.013985100660686173
state_rule_vol20_band2,trend_vol20_band2,2026-04,0.011716546285880633,-0.045091359490895898,-0.016470768852486217,-0.030129790136997681,0.013985100660685174
state_rule_vol20_band2,trend_vol20_band2,2026-05,0.20550590267521229,0.14894625477514745,0.031847637975674026,0.017517582088023786,0.013985100660685632
state_rule_vol20_band2,trend_vol20_band2,2026-06,0.1801720782279965,0.12391525965313561,0.025471205515979589,0.011229704013830499,0.013985100660685978
state_rule_vol20_band2,trend_vol20_band2,2026-07,0.064486507788869732,0.0081910111919239886,-0.003734842857184506,-0.017570737668925585,0.013985100660686006
state_rule_vol20_band2,trend_vol20_band2,2026-08,-0.014798525647031094,-0.071873033642355283,-0.022627988778058383,-0.036201500048881674,0.013985100660685867
state_rule_vol40_band2,trend_vol40_band2,2025-01,0.15157421680705702,-0.16772909571474237,0.0093951700877936695,-0.10508654151499641,0.12037956979140232
state_rule_vol40_band2,trend_vol40_band2,2025-02,0.59194098850092036,0.34858565948516723,0.20787759074314094,0.091862040281504465,0.10098022960888932
state_rule_vol40_band2,trend_vol40_band2,2025-03,0.23978273020583474,-0.04011451439514388,0.045592396098851573,-0.064296254291567601,0.11103997461646391
state_rule_vol40_band2,trend_vol40_band2,2025-04,0.10601497276133325,-0.17799589821176942,-0.011609069722526622,-0.11548601621865884,0.11103997461646413
state_rule_vol40_band2,trend_vol40_band2,2025-05,0.10946330138013344,-0.17467789618488208,-0.010205051087584738,-0.11422955576555749,0.11103997461646326
state_rule_vol40_band2,trend_vol40_band2,2025-06,0.15991437518724019,-0.091009711514954739,0.011921297380136364,-0.08272933861171472,0.098203489092310942
