policy,family,profile,band,role,scenario,period,first_date,last_date,days,total_return,executed_rebalances,skipped_rebalances,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days
trend_vol20_exact,trend,0.20000000000000001,0,comparator,frictionless,full_forward,2025-01-01,2026-08-26,603,0.015423681021590863,603,0,0.0093297926560538258,0.1372377269856255,-0.17280817514333779,0.15612144252458718,0.053989301422314763,-0.015135105318145652,1.0154236810215909,0.26665932912082468,7.6497886385032663,0,-0.040570525407326641,324
trend_vol20_exact,trend,0.20000000000000001,0,comparator,frictionless,2025,2025-01-01,2025-12-31,365,0.029032577934976933,365,0,0.029133716156443779,0.24497187554132765,-0.15219121677118996,0.19142438716724278,0.19142836738236024,-0.0080713528548229801,1.0290325779349769,0.37441568502927519,7.5063914728123819,0,-0.040570525407326641,183
trend_vol20_exact,trend,0.20000000000000001,0,comparator,frictionless,2026,2026-01-01,2026-08-26,238,-0.013224942732810052,238,0,-0.02030839957320929,-0.23507991240135159,-0.071826160450850551,0.075004574409458319,-0.28274377254379329,-0.02607059805539208,0.98677505726718995,0.10140273287467162,7.9023049125538387,0,-0.012470121653397115,108
allocation_vol20_exact,allocation,0.20000000000000001,0,comparator,frictionless,full_forward,2025-01-01,2026-08-26,603,-0.052945402372771566,603,0,-0.032466365876311798,-0.037798595718535555,-0.33522657713359749,0.22196683475576695,-0.096849021202077931,-0.082293948247097154,0.94705459762722843,0.39220696493865459,3.5269749443920668,0,-0.062003099753368929,324
allocation_vol20_exact,allocation,0.20000000000000001,0,comparator,frictionless,2025,2025-01-01,2025-12-31,365,-0.0052245411736717706,365,0,-0.0052424354819158303,0.080167525780639806,-0.18674917935698765,0.21071774184402178,-0.02807206703647382,-0.049710230090046895,0.99477545882632823,0.37550152659933694,3.2132140290253157,0,-0.046673244357863464,189
allocation_vol20_exact,allocation,0.20000000000000001,0,comparator,frictionless,2026,2026-01-01,2026-08-26,238,-0.047971490224943181,238,0,-0.072963985328529324,-0.1976421739453495,-0.26129014283315766,0.23863331483466746,-0.27924507422049683,-0.132582795543181,0.95202850977505682,0.41782664978676776,4.0237510968726147,0,-0.062003099753368929,224
fixed_blend_vol20_exact,fixed_blend,0.20000000000000001,0,comparator,frictionless,full_forward,2025-01-01,2026-08-26,603,-0.015302555959185171,603,0,-0.0093126203974293054,0.036556667936518489,-0.25598043825723893,0.1782731614441419,-0.036380203350034508,-0.041154907372026789,0.98469744404081483,0.32944048710796925,5.3960967992129021,0,-0.040570525407326641,324
fixed_blend_vol20_exact,fixed_blend,0.20000000000000001,0,comparator,frictionless,2025,2025-01-01,2025-12-31,365,0.012134871872587327,365,0,0.01217679651629,0.15992136642578902,-0.16303618345248594,0.19942808091975503,0.074687693605381258,-0.027764527984644495,1.0121348718725873,0.37495864326590855,5.1941638444472025,0,-0.040570525407326641,184
fixed_blend_vol20_exact,fixed_blend,0.20000000000000001,0,comparator,frictionless,2026,2026-01-01,2026-08-26,238,-0.027108470021401487,238,0,-0.041470213858275096,-0.23120919867981274,-0.157395809370378,0.14013067419997344,-0.26347724265446559,-0.06185440966984642,0.97289152997859851,0.25963323081533113,5.7290068934488874,0,-0.031001938623306136,224
state_rule_vol20_exact,state_rule,0.20000000000000001,0,comparator,frictionless,full_forward,2025-01-01,2026-08-26,603,0.028051947828292789,603,0,0.016927211020387523,0.18509869904455148,-0.17457654570338821,0.15650506351832932,0.096961541724782774,-0.0077718687091867938,1.0280519478282928,0.26096894694677875,6.8206814664856585,0,-0.04057052540732653,324
