policy,comparator,scenario,year,state_return,comparator_return,return_difference
state_rule_vol20_exact,trend_vol20_exact,frictionless,2018,-0.2015586099982446,-0.20242953057933999,0.00087092058109539128
state_rule_vol20_exact,trend_vol20_exact,frictionless,2019,0.14928832598088682,0.15368653168551383,-0.0043982057046270118
state_rule_vol20_exact,trend_vol20_exact,frictionless,2020,0.75258297772369565,0.76415188483255858,-0.011568907108862936
state_rule_vol20_exact,trend_vol20_exact,frictionless,2021,0.40261709589402628,0.39556446935433942,0.007052626539686857
state_rule_vol20_exact,trend_vol20_exact,frictionless,2022,-0.13831329098600442,-0.13807436484386004,-0.00023892614214438002
state_rule_vol20_exact,trend_vol20_exact,frictionless,2023,0.38100120098713819,0.3465791729018568,0.034422028085281386
state_rule_vol20_exact,trend_vol20_exact,frictionless,2024,0.33656408942102511,0.34018463537017185,-0.0036205459491467362
state_rule_vol20_exact,allocation_vol20_exact,frictionless,2018,-0.2015586099982446,-0.2990137734898205,0.097455163491575902
state_rule_vol20_exact,allocation_vol20_exact,frictionless,2019,0.14928832598088682,0.19311589477525071,-0.043827568794363891
state_rule_vol20_exact,allocation_vol20_exact,frictionless,2020,0.75258297772369565,0.79107866406714855,-0.038495686343452906
state_rule_vol20_exact,allocation_vol20_exact,frictionless,2021,0.40261709589402628,0.40281567653593742,-0.00019858064191113911
state_rule_vol20_exact,allocation_vol20_exact,frictionless,2022,-0.13831329098600442,-0.25368283907924549,0.11536954809324107
state_rule_vol20_exact,allocation_vol20_exact,frictionless,2023,0.38100120098713819,0.49898729821421828,-0.11798609722708009
state_rule_vol20_exact,allocation_vol20_exact,frictionless,2024,0.33656408942102511,0.33748177378116306,-0.00091768436013794918
state_rule_vol20_exact,fixed_blend_vol20_exact,frictionless,2018,-0.2015586099982446,-0.25062890605200339,0.049070296053758788
state_rule_vol20_exact,fixed_blend_vol20_exact,frictionless,2019,0.14928832598088682,0.17367871778798394,-0.024390391807097123
state_rule_vol20_exact,fixed_blend_vol20_exact,frictionless,2020,0.75258297772369565,0.77772162308613213,-0.025138645362436485
state_rule_vol20_exact,fixed_blend_vol20_exact,frictionless,2021,0.40261709589402628,0.39919387865060396,0.0034232172434223163
state_rule_vol20_exact,fixed_blend_vol20_exact,frictionless,2022,-0.13831329098600442,-0.19489660100967887,0.056583310023674449
state_rule_vol20_exact,fixed_blend_vol20_exact,frictionless,2023,0.38100120098713819,0.42114391334137835,-0.040142712354240162
state_rule_vol20_exact,fixed_blend_vol20_exact,frictionless,2024,0.33656408942102511,0.33885549902131906,-0.0022914096002939477
state_rule_vol20_exact,trend_vol20_exact,base,2018,-0.2159444373720143,-0.21785497487137917,0.0019105374993648727
state_rule_vol20_exact,trend_vol20_exact,base,2019,0.12699482661766037,0.13112327827199732,-0.0041284516543369509
state_rule_vol20_exact,trend_vol20_exact,base,2020,0.71823124536507477,0.71735024268411252,0.00088100268096225065
state_rule_vol20_exact,trend_vol20_exact,base,2021,0.38795442929566359,0.37708552679147389,0.010868902504189704
state_rule_vol20_exact,trend_vol20_exact,base,2022,-0.15418163253312767,-0.15421895888242121,3.7326349293542727e-05
state_rule_vol20_exact,trend_vol20_exact,base,2023,0.34043509327010346,0.29254164154883755,0.047893451721265912
state_rule_vol20_exact,trend_vol20_exact,base,2024,0.31589923762939609,0.3117462010626364,0.0041530365667596936
state_rule_vol20_exact,allocation_vol20_exact,base,2018,-0.2159444373720143,-0.305626054087211,0.089681616715196699
state_rule_vol20_exact,allocation_vol20_exact,base,2019,0.12699482661766037,0.18288442169211483,-0.055889595074454457
state_rule_vol20_exact,allocation_vol20_exact,base,2020,0.71823124536507477,0.77450131921022281,-0.056270073845148039
state_rule_vol20_exact,allocation_vol20_exact,base,2021,0.38795442929566359,0.39032098795529802,-0.0023665586596344212
state_rule_vol20_exact,allocation_vol20_exact,base,2022,-0.15418163253312767,-0.25991347848607105,0.10573184595294338
state_rule_vol20_exact,allocation_vol20_exact,base,2023,0.34043509327010346,0.48310938065046294,-0.14267428738035948
state_rule_vol20_exact,allocation_vol20_exact,base,2024,0.31589923762939609,0.32353455978768708,-0.0076353221582909914
state_rule_vol20_exact,fixed_blend_vol20_exact,base,2018,-0.2159444373720143,-0.26121626721549618,0.045271829843481881
state_rule_vol20_exact,fixed_blend_vol20_exact,base,2019,0.12699482661766037,0.15744268439911679,-0.030447857781456422
state_rule_vol20_exact,fixed_blend_vol20_exact,base,2020,0.71823124536507477,0.74750241418003127,-0.029271168814956505
state_rule_vol20_exact,fixed_blend_vol20_exact,base,2021,0.38795442929566359,0.38399362362194922,0.0039608056737143738
state_rule_vol20_exact,fixed_blend_vol20_exact,base,2022,-0.15418163253312767,-0.20573971888138176,0.051558086348254095
state_rule_vol20_exact,fixed_blend_vol20_exact,base,2023,0.34043509327010346,0.38648905737563188,-0.046053964105528422
state_rule_vol20_exact,fixed_blend_vol20_exact,base,2024,0.31589923762939609,0.31836667631941684,-0.0024674386900207512
state_rule_vol20_exact,trend_vol20_exact,cost_stress,2018,-0.23703683421788901,-0.24043370386892782,0.003396869651038803
state_rule_vol20_exact,trend_vol20_exact,cost_stress,2019,0.0943626268366482,0.098102396751218457,-0.0037397699145702568
state_rule_vol20_exact,trend_vol20_exact,cost_stress,2020,0.66795910483122434,0.64946236585244721,0.018496738978777127
state_rule_vol20_exact,trend_vol20_exact,cost_stress,2021,0.36624516775201155,0.34982261342696308,0.016422554325048466
state_rule_vol20_exact,trend_vol20_exact,cost_stress,2022,-0.17744152871858332,-0.17787422053835944,0.00043269181977612092
state_rule_vol20_exact,trend_vol20_exact,cost_stress,2023,0.28179186470804929,0.21549849182587555,0.06629337288217374
state_rule_vol20_exact,trend_vol20_exact,cost_stress,2024,0.28549160252782824,0.27021146105900917,0.015280141468819064
state_rule_vol20_exact,allocation_vol20_exact,cost_stress,2018,-0.23703683421788901,-0.31542579073358312,0.078388956515694108
state_rule_vol20_exact,allocation_vol20_exact,cost_stress,2019,0.0943626268366482,0.16770286065288431,-0.073340233816236111
state_rule_vol20_exact,allocation_vol20_exact,cost_stress,2020,0.66795910483122434,0.74991381048269812,-0.08195470565147378
state_rule_vol20_exact,allocation_vol20_exact,cost_stress,2021,0.36624516775201155,0.37178502205231867,-0.0055398543003071232
state_rule_vol20_exact,allocation_vol20_exact,cost_stress,2022,-0.17744152871858332,-0.26916090795635139,0.091719379237768073
state_rule_vol20_exact,allocation_vol20_exact,cost_stress,2023,0.28179186470804929,0.45960571871272271,-0.17781385400467342
state_rule_vol20_exact,allocation_vol20_exact,cost_stress,2024,0.28549160252782824,0.30287882972065727,-0.017387227192829036
state_rule_vol20_exact,fixed_blend_vol20_exact,cost_stress,2018,-0.23703683421788901,-0.27681448449696255,0.03977765027907354
state_rule_vol20_exact,fixed_blend_vol20_exact,cost_stress,2019,0.0943626268366482,0.13351054507701909,-0.039147918240370894
state_rule_vol20_exact,fixed_blend_vol20_exact,cost_stress,2020,0.66795910483122434,0.70312780435843814,-0.035168699527213798
state_rule_vol20_exact,fixed_blend_vol20_exact,cost_stress,2021,0.36624516775201155,0.36150008376843989,0.0047450839835716518
state_rule_vol20_exact,fixed_blend_vol20_exact,cost_stress,2022,-0.17744152871858332,-0.22173236015561093,0.044290831437027611
state_rule_vol20_exact,fixed_blend_vol20_exact,cost_stress,2023,0.28179186470804929,0.33608169335407068,-0.054289828646021387
state_rule_vol20_exact,fixed_blend_vol20_exact,cost_stress,2024,0.28549160252782824,0.2882146974573041,-0.0027230949294758666
state_rule_vol20_exact,trend_vol20_exact,delay_one_day,2018,-0.21682526804447733,-0.21938970413275594,0.0025644360882786099
state_rule_vol20_exact,trend_vol20_exact,delay_one_day,2019,0.095339505560473992,0.096839407457398829,-0.0014999018969248379
state_rule_vol20_exact,trend_vol20_exact,delay_one_day,2020,0.66972964510994482,0.67204535336475657,-0.0023157082548117547
state_rule_vol20_exact,trend_vol20_exact,delay_one_day,2021,0.38694586325872282,0.3767216175758028,0.010224245682920019
state_rule_vol20_exact,trend_vol20_exact,delay_one_day,2022,-0.13820989255155103,-0.13827343513200174,6.3542580450715036e-05
state_rule_vol20_exact,trend_vol20_exact,delay_one_day,2023,0.2995039212742594,0.29649165314810655,0.0030122681261528506
state_rule_vol20_exact,trend_vol20_exact,delay_one_day,2024,0.3212644038679715,0.31150354168458505,0.0097608621833864539
state_rule_vol20_exact,allocation_vol20_exact,delay_one_day,2018,-0.21682526804447733,-0.31045810830800358,0.093632840263526251
