policy,omitted_years,remaining_days,cash_excess_sharpe
trend_vol20_exact,2018,2192,1.2167708655798311
trend_vol20_exact,2019,2190,0.92934256138423577
trend_vol20_exact,2020,2189,0.58972659760420765
trend_vol20_exact,2021,2190,0.77236542486152615
trend_vol20_exact,2022,2190,1.1279409900603161
trend_vol20_exact,2023,2190,0.8150987249229098
trend_vol20_exact,2024,2189,0.81723314277750536
trend_vol20_exact,2018+2022,1827,1.5222339515093266
allocation_vol20_exact,2018,2192,1.2048285395898946
allocation_vol20_exact,2019,2190,0.79550612837543488
allocation_vol20_exact,2020,2189,0.49934184306228818
allocation_vol20_exact,2021,2190,0.67845168961458258
allocation_vol20_exact,2022,2190,1.1558309328174954
allocation_vol20_exact,2023,2190,0.62933304647347466
allocation_vol20_exact,2024,2189,0.71797711532318176
allocation_vol20_exact,2018+2022,1827,1.6939920350752959
fixed_blend_vol20_exact,2018,2192,1.2330923585654376
fixed_blend_vol20_exact,2019,2190,0.88050121261033976
fixed_blend_vol20_exact,2020,2189,0.55746114057850182
fixed_blend_vol20_exact,2021,2190,0.74289523387383771
fixed_blend_vol20_exact,2022,2190,1.1569462403277115
fixed_blend_vol20_exact,2023,2190,0.73576378533763742
fixed_blend_vol20_exact,2024,2189,0.78583423598520186
fixed_blend_vol20_exact,2018+2022,1827,1.6174776247948133
state_rule_vol20_exact,2018,2192,1.2488965419940903
state_rule_vol20_exact,2019,2190,0.96880014333115838
state_rule_vol20_exact,2020,2189,0.62913688167807724
state_rule_vol20_exact,2021,2190,0.80336036864692839
state_rule_vol20_exact,2022,2190,1.1616815172664301
state_rule_vol20_exact,2023,2190,0.82188521561800865
state_rule_vol20_exact,2024,2189,0.8530033215237115
state_rule_vol20_exact,2018+2022,1827,1.5573703466542101
trend_vol20_band2,2018,2192,1.2330226118285821
trend_vol20_band2,2019,2190,0.94675329312050949
trend_vol20_band2,2020,2189,0.61191080696863109
trend_vol20_band2,2021,2190,0.79745371573725277
trend_vol20_band2,2022,2190,1.1559749226566858
trend_vol20_band2,2023,2190,0.84018483678630207
trend_vol20_band2,2024,2189,0.83565234254325738
trend_vol20_band2,2018+2022,1827,1.5444134876092015
allocation_vol20_band2,2018,2192,1.2171511532646462
allocation_vol20_band2,2019,2190,0.80954076885376836
allocation_vol20_band2,2020,2189,0.51850836925441302
allocation_vol20_band2,2021,2190,0.69922718841903442
allocation_vol20_band2,2022,2190,1.1784948401334405
allocation_vol20_band2,2023,2190,0.64970502788674322
allocation_vol20_band2,2024,2189,0.73352105422024072
allocation_vol20_band2,2018+2022,1827,1.7095709701898691
fixed_blend_vol20_band2,2018,2192,1.2498287506804684
fixed_blend_vol20_band2,2019,2190,0.89871617671001913
fixed_blend_vol20_band2,2020,2189,0.57734021640765798
fixed_blend_vol20_band2,2021,2190,0.76690214068965623
fixed_blend_vol20_band2,2022,2190,1.1840313116053849
fixed_blend_vol20_band2,2023,2190,0.75971290352100374
fixed_blend_vol20_band2,2024,2189,0.80359546662419767
fixed_blend_vol20_band2,2018+2022,1827,1.6398014697949668
