policy,comparator,scenario,period,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
fixed_blend_vol20_exact,trend_vol20_exact,frictionless,full,-0.0085638524067972455,-0.066216491016308221,-0.056568019384702239,0.0076919346744329653
fixed_blend_vol20_exact,allocation_vol20_exact,frictionless,full,0.010792258217376283,0.096418964089669656,0.068631014382473543,-0.016334931730712404
fixed_blend_vol20_exact,state_rule_vol20_exact,frictionless,full,-0.01164874604609567,-0.076132890354219884,-0.05738006555116737,0.0069221994266112918
fixed_blend_vol20_exact,trend_vol20_exact,frictionless,2018_2019,-0.021512434165222971,-0.10276847413062021,-0.056568019384702239,0.0096922889667938605
fixed_blend_vol20_exact,allocation_vol20_exact,frictionless,2018_2019,0.023405292014696655,0.073439014962700916,0.068631014382473543,-0.021724298406421594
fixed_blend_vol20_exact,state_rule_vol20_exact,frictionless,2018_2019,-0.020198786142978986,-0.095405816567161017,-0.05738006555116737,0.0095592496961153794
fixed_blend_vol20_exact,trend_vol20_exact,frictionless,2020_2021,0.0080778982309162028,0.014360051480723612,-0.0033702052686859219,0.00099969528383769823
fixed_blend_vol20_exact,allocation_vol20_exact,frictionless,2020_2021,-0.0079693889232470561,-0.010437664196037755,0.003364179942081158,-0.0014099048918500279
fixed_blend_vol20_exact,state_rule_vol20_exact,frictionless,2020_2021,0.0092856373456098318,0.024478186397160151,0.0033641799420806029,0.0001576392093706469
fixed_blend_vol20_exact,trend_vol20_exact,frictionless,2022_2024,-0.0058971375808587467,-0.069667984665868765,-0.050410196132702589,0.011845618110520761
fixed_blend_vol20_exact,allocation_vol20_exact,frictionless,2022_2024,0.0090089881482695588,0.10439529238870549,0.071259022374906777,-0.023993036452419958
fixed_blend_vol20_exact,state_rule_vol20_exact,frictionless,2022_2024,-0.014532729927762444,-0.10563987085284532,-0.050057362214239509,0.01070394297575189
fixed_blend_vol20_exact,trend_vol20_exact,frictionless,2020_2024_carry,-0.0013170624184646318,-0.045860627912057472,-0.057108049295338859,0.0069704190935938604
fixed_blend_vol20_exact,allocation_vol20_exact,frictionless,2020_2024_carry,0.0035106218827110069,0.087409859206386553,0.065843380515640426,-0.014351574580685006
fixed_blend_vol20_exact,state_rule_vol20_exact,frictionless,2020_2024_carry,-0.0067499939769517514,-0.060354022515148875,-0.056512890269882599,0.0059798964569065249
state_rule_vol20_exact,trend_vol20_exact,frictionless,full,0.003084893639298425,0.0099163993379116633,0.00081204616646513017,0.00076973524782167346
state_rule_vol20_exact,allocation_vol20_exact,frictionless,full,0.022441004263471953,0.17255185444388954,0.12601107993364091,-0.023257131157323696
state_rule_vol20_exact,fixed_blend_vol20_exact,frictionless,full,0.01164874604609567,0.076132890354219884,0.05738006555116737,-0.0069221994266112918
state_rule_vol20_exact,trend_vol20_exact,frictionless,2018_2019,-0.001313648022243985,-0.0073626575634591906,0.00081204616646513017,0.00013303927067848109
state_rule_vol20_exact,allocation_vol20_exact,frictionless,2018_2019,0.043604078157675641,0.16884483152986193,0.12601107993364091,-0.031283548102536973
state_rule_vol20_exact,fixed_blend_vol20_exact,frictionless,2018_2019,0.020198786142978986,0.095405816567161017,0.05738006555116737,-0.0095592496961153794
state_rule_vol20_exact,trend_vol20_exact,frictionless,2020_2021,-0.0012077391146936289,-0.010118134916436539,-0.0067343852107665247,0.00084205607446705133
state_rule_vol20_exact,allocation_vol20_exact,frictionless,2020_2021,-0.017255026268856888,-0.034915850593197906,5.5511151231257827e-16,-0.0015675441012206748
state_rule_vol20_exact,fixed_blend_vol20_exact,frictionless,2020_2021,-0.0092856373456098318,-0.024478186397160151,-0.0033641799420806029,-0.0001576392093706469
state_rule_vol20_exact,trend_vol20_exact,frictionless,2022_2024,0.0086355923469036977,0.035971886186976554,-0.00035283391846308021,0.0011416751347688714
state_rule_vol20_exact,allocation_vol20_exact,frictionless,2022_2024,0.023541718076032003,0.2100351632415508,0.12131638458914629,-0.034696979428171848
