policy,family,profile,band,role,scenario,period,first_date,last_date,executed_rebalances,skipped_rebalances,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days
trend_vol20_exact,trend,0.20000000000000001,0,control,frictionless,full,2018-01-03,2024-12-31,2555,0,0.19736979091680618,1.0179500797424594,-0.2563454622188166,0.19562478681809434,0.76993674554820568,0.14173268151464347,3.5237824677331031,0.27040992622189841,7.6656502026552671,0,-0.10679220806874756,730
trend_vol20_exact,trend,0.20000000000000001,0,control,frictionless,2018_2019,2018-01-03,2019-12-31,728,0,-0.040949575038491393,-0.14279109420080144,-0.2563454622188166,0.17957456586619172,-0.15974370946163585,-0.074012185809714248,0.9201463086407079,0.21027219922476975,6.5784924267913523,0,-0.053525295387799599,523
trend_vol20_exact,trend,0.20000000000000001,0,control,frictionless,2020_2021,2020-01-01,2021-12-31,731,0,0.56955645186849746,2.095465755830082,-0.18580847620253249,0.22722713609809625,3.0652877818538111,0.39869842541988809,2.4619876890168086,0.26727735419136822,6.7072957731232163,0,-0.10679220806874756,161
trend_vol20_exact,trend,0.20000000000000001,0,control,frictionless,2022_2024,2022-01-01,2024-12-31,1096,0,0.15877534664881088,0.898430055575966,-0.16148487280461166,0.18218830333287894,0.98322117664185693,0.11389458068167971,1.5554867831616883,0.31244475779874809,9.0403476793829132,0,-0.047683643800546571,465
trend_vol20_exact,trend,0.20000000000000001,0,control,frictionless,2020_2024_carry,2020-01-01,2024-12-31,1827,0,0.30811645415094602,1.432624546584282,-0.21756836282593028,0.20152031265860254,1.4161822525523182,0.22778729192902186,3.8295893105724375,0.29437285192190366,8.1026870883374791,0,-0.10679220806874756,730
allocation_vol20_exact,allocation,0.20000000000000001,0,control,frictionless,full,2018-01-03,2024-12-31,2555,0,0.17801368029263265,0.85531462463648156,-0.38154449598599238,0.21965165322323971,0.46656073450255736,0.11550099818186436,3.1442468927334706,0.31718460066025372,3.1390305605268298,0,-0.11180996597552084,925
allocation_vol20_exact,allocation,0.20000000000000001,0,control,frictionless,2018_2019,2018-01-03,2019-12-31,728,0,-0.085867301218411018,-0.31899858329412256,-0.38154449598599238,0.21099115323940718,-0.22505186713940556,-0.13408177908890651,0.83635780886782241,0.25786753935413537,3.0296972414511414,0,-0.060358675777688164,717
allocation_vol20_exact,allocation,0.20000000000000001,0,control,frictionless,2020_2021,2020-01-01,2021-12-31,731,0,0.58560373902266072,2.1202634715068434,-0.19254286141329957,0.22963673627378398,3.0414201530205944,0.40779083766764157,2.5125532278624343,0.27276283027898762,3.0426956039087196,0,-0.11180996597552084,162
allocation_vol20_exact,allocation,0.20000000000000001,0,control,frictionless,2022_2024,2022-01-01,2024-12-31,1096,0,0.14386922091968257,0.72436677852139175,-0.28315409131222102,0.21802695789581966,0.5080951514878328,0.086627853567855753,1.4962675359475668,0.38621300830583732,3.2815765901344087,0,-0.057394381053734178,671
allocation_vol20_exact,allocation,0.20000000000000001,0,control,frictionless,2020_2024_carry,2020-01-01,2024-12-31,1827,0,0.30328876984977038,1.2993540594658379,-0.34051979263690957,0.22284230633288141,0.89066414466298593,0.21506301511672266,3.7594518271908224,0.34082051780905187,3.1842793850222031,0,-0.11180996597552084,755
