policy,scenario,year,days,total_return
trend_vol20_exact,frictionless,2020,366,0.76415188483255925
trend_vol20_exact,frictionless,2021,365,0.39556446935433676
trend_vol20_exact,frictionless,2022,365,-0.13807436484386049
trend_vol20_exact,frictionless,2023,365,0.34657917290185569
trend_vol20_exact,frictionless,2024,366,0.34018463537016985
allocation_vol20_exact,frictionless,2020,366,0.79107866406714167
allocation_vol20_exact,frictionless,2021,365,0.40281567653593697
allocation_vol20_exact,frictionless,2022,365,-0.2536828390792456
allocation_vol20_exact,frictionless,2023,365,0.49898729821421939
allocation_vol20_exact,frictionless,2024,366,0.33748177378115995
fixed_blend_vol20_exact,frictionless,2020,366,0.77772162308613568
fixed_blend_vol20_exact,frictionless,2021,365,0.3991938786505993
fixed_blend_vol20_exact,frictionless,2022,365,-0.19489660100967876
fixed_blend_vol20_exact,frictionless,2023,365,0.42114391334137746
fixed_blend_vol20_exact,frictionless,2024,366,0.33885549902131573
state_rule_vol20_exact,frictionless,2020,366,0.75258297772369431
state_rule_vol20_exact,frictionless,2021,365,0.4026170958940245
state_rule_vol20_exact,frictionless,2022,365,-0.13831329098600542
state_rule_vol20_exact,frictionless,2023,365,0.38100120098713663
state_rule_vol20_exact,frictionless,2024,366,0.33656408942102267
constant_vol20_exact,frictionless,2020,366,0.76415188483255925
constant_vol20_exact,frictionless,2021,365,0.39556446935433676
constant_vol20_exact,frictionless,2022,365,-0.13807436484386049
constant_vol20_exact,frictionless,2023,365,0.34657917290185569
constant_vol20_exact,frictionless,2024,366,0.34018463537016985
ridge_vol20_exact,frictionless,2020,366,0.75526796866596535
ridge_vol20_exact,frictionless,2021,365,0.39534009592799291
ridge_vol20_exact,frictionless,2022,365,-0.13807436484385982
ridge_vol20_exact,frictionless,2023,365,0.35522190567423029
ridge_vol20_exact,frictionless,2024,366,0.34110140005548262
boosted_vol20_exact,frictionless,2020,366,0.78363100843686806
boosted_vol20_exact,frictionless,2021,365,0.39556446935433653
boosted_vol20_exact,frictionless,2022,365,-0.24015396185202309
boosted_vol20_exact,frictionless,2023,365,0.40877797965959428
boosted_vol20_exact,frictionless,2024,366,0.33656748343935305
trend_vol20_band2,frictionless,2020,366,0.75654500268137581
trend_vol20_band2,frictionless,2021,365,0.3868423311214999
trend_vol20_band2,frictionless,2022,365,-0.14219945397145428
trend_vol20_band2,frictionless,2023,365,0.34092816650698432
trend_vol20_band2,frictionless,2024,366,0.34465850052567304
allocation_vol20_band2,frictionless,2020,366,0.77530793000810028
allocation_vol20_band2,frictionless,2021,365,0.39091615917759071
allocation_vol20_band2,frictionless,2022,365,-0.25449388060495393
allocation_vol20_band2,frictionless,2023,365,0.48818459968652261
allocation_vol20_band2,frictionless,2024,366,0.33786699191546576
fixed_blend_vol20_band2,frictionless,2020,366,0.77199110592903852
fixed_blend_vol20_band2,frictionless,2021,365,0.39044038867524455
fixed_blend_vol20_band2,frictionless,2022,365,-0.19862377946552245
fixed_blend_vol20_band2,frictionless,2023,365,0.41462272038248216
fixed_blend_vol20_band2,frictionless,2024,366,0.3431802651369924
state_rule_vol20_band2,frictionless,2020,366,0.74433185029931992
state_rule_vol20_band2,frictionless,2021,365,0.3977323991937749
state_rule_vol20_band2,frictionless,2022,365,-0.14245584025503055
state_rule_vol20_band2,frictionless,2023,365,0.37281897644829298
state_rule_vol20_band2,frictionless,2024,366,0.33745392301275179
constant_vol20_band2,frictionless,2020,366,0.75654500268137581
constant_vol20_band2,frictionless,2021,365,0.3868423311214999
constant_vol20_band2,frictionless,2022,365,-0.14219945397145428
constant_vol20_band2,frictionless,2023,365,0.34092816650698432
constant_vol20_band2,frictionless,2024,366,0.34465850052567304
ridge_vol20_band2,frictionless,2020,366,0.74453665478814313
ridge_vol20_band2,frictionless,2021,365,0.38448674899453783
ridge_vol20_band2,frictionless,2022,365,-0.14219945397145262
ridge_vol20_band2,frictionless,2023,365,0.34947160786982878
ridge_vol20_band2,frictionless,2024,366,0.34536940275178551
boosted_vol20_band2,frictionless,2020,366,0.76993725645702016
boosted_vol20_band2,frictionless,2021,365,0.3868423311214999
boosted_vol20_band2,frictionless,2022,365,-0.24091458469975291
boosted_vol20_band2,frictionless,2023,365,0.40067290867283223
boosted_vol20_band2,frictionless,2024,366,0.33716005401361193
trend_vol40_exact,frictionless,2020,366,1.5263264358147812
trend_vol40_exact,frictionless,2021,365,0.85775196384114327
trend_vol40_exact,frictionless,2022,365,-0.22585120295426453
trend_vol40_exact,frictionless,2023,365,0.42159842456972307
trend_vol40_exact,frictionless,2024,366,0.61446285652961952
allocation_vol40_exact,frictionless,2020,366,2.0133799530400132
allocation_vol40_exact,frictionless,2021,365,0.87675381353877491
allocation_vol40_exact,frictionless,2022,365,-0.46873956692836671
allocation_vol40_exact,frictionless,2023,365,1.0396266862681567
allocation_vol40_exact,frictionless,2024,366,0.70518033529237223
fixed_blend_vol40_exact,frictionless,2020,366,1.7620777789813769
fixed_blend_vol40_exact,frictionless,2021,365,0.86727378992710746
fixed_blend_vol40_exact,frictionless,2022,365,-0.34759603850895648
fixed_blend_vol40_exact,frictionless,2023,365,0.70814860062915352
fixed_blend_vol40_exact,frictionless,2024,366,0.66064072727066114
state_rule_vol40_exact,frictionless,2020,366,1.5278486134987541
state_rule_vol40_exact,frictionless,2021,365,0.87627623576702662
state_rule_vol40_exact,frictionless,2022,365,-0.22627671271099237
state_rule_vol40_exact,frictionless,2023,365,0.49771099455402101
state_rule_vol40_exact,frictionless,2024,366,0.60129344187309131
constant_vol40_exact,frictionless,2020,366,1.5263264358147812
constant_vol40_exact,frictionless,2021,365,0.85775196384114327
constant_vol40_exact,frictionless,2022,365,-0.22585120295426453
constant_vol40_exact,frictionless,2023,365,0.42159842456972307
constant_vol40_exact,frictionless,2024,366,0.61446285652961952
ridge_vol40_exact,frictionless,2020,366,1.4966259434135267
ridge_vol40_exact,frictionless,2021,365,0.87969441757738687
ridge_vol40_exact,frictionless,2022,365,-0.5069417972002459
ridge_vol40_exact,frictionless,2023,365,0.42905314980025411
ridge_vol40_exact,frictionless,2024,366,0.61487796617199564
boosted_vol40_exact,frictionless,2020,366,1.6422228146001059
boosted_vol40_exact,frictionless,2021,365,0.85775196384114394
boosted_vol40_exact,frictionless,2022,365,-0.40827967394411258
boosted_vol40_exact,frictionless,2023,365,0.64351346755128058
boosted_vol40_exact,frictionless,2024,366,0.70518033529237134
trend_vol40_band2,frictionless,2020,366,1.5282168082634069
trend_vol40_band2,frictionless,2021,365,0.84114394119512959
trend_vol40_band2,frictionless,2022,365,-0.22859793253510863
trend_vol40_band2,frictionless,2023,365,0.42335006943696718
trend_vol40_band2,frictionless,2024,366,0.60836191866905964
allocation_vol40_band2,frictionless,2020,366,2.0163177548249127
allocation_vol40_band2,frictionless,2021,365,0.86587880603552581
allocation_vol40_band2,frictionless,2022,365,-0.46593310857488202
allocation_vol40_band2,frictionless,2023,365,1.037513570993001
allocation_vol40_band2,frictionless,2024,366,0.69596647349545604
fixed_blend_vol40_band2,frictionless,2020,366,1.763338264958314
fixed_blend_vol40_band2,frictionless,2021,365,0.85515689348443247
fixed_blend_vol40_band2,frictionless,2022,365,-0.34436528617986017
fixed_blend_vol40_band2,frictionless,2023,365,0.70554399375951093
fixed_blend_vol40_band2,frictionless,2024,366,0.65233584322482163
state_rule_vol40_band2,frictionless,2020,366,1.5330515884173801
state_rule_vol40_band2,frictionless,2021,365,0.86018976429907434
state_rule_vol40_band2,frictionless,2022,365,-0.22904722062934535
state_rule_vol40_band2,frictionless,2023,365,0.49925347055059199
state_rule_vol40_band2,frictionless,2024,366,0.59460656520572308
constant_vol40_band2,frictionless,2020,366,1.5282168082634069
constant_vol40_band2,frictionless,2021,365,0.84114394119512959
constant_vol40_band2,frictionless,2022,365,-0.22859793253510863
constant_vol40_band2,frictionless,2023,365,0.42335006943696718
constant_vol40_band2,frictionless,2024,366,0.60836191866905964
ridge_vol40_band2,frictionless,2020,366,1.4997088191845291
ridge_vol40_band2,frictionless,2021,365,0.86558166254914393
ridge_vol40_band2,frictionless,2022,365,-0.50717001383263727
ridge_vol40_band2,frictionless,2023,365,0.43152751025107827
ridge_vol40_band2,frictionless,2024,366,0.60979337457648453
boosted_vol40_band2,frictionless,2020,366,1.649948354686233
boosted_vol40_band2,frictionless,2021,365,0.84114394119512648
boosted_vol40_band2,frictionless,2022,365,-0.40735933849390848
boosted_vol40_band2,frictionless,2023,365,0.64103800780353692
boosted_vol40_band2,frictionless,2024,366,0.69596647349546048
btc_buy_hold,frictionless,2020,366,3.0456618455646574
btc_buy_hold,frictionless,2021,365,0.59403630483254699
btc_buy_hold,frictionless,2022,365,-0.64228724440200979
btc_buy_hold,frictionless,2023,365,1.5582071764965573
btc_buy_hold,frictionless,2024,366,1.1902328931618036
eth_buy_hold,frictionless,2020,366,4.7388361599501243
eth_buy_hold,frictionless,2021,365,3.9829869724944666
eth_buy_hold,frictionless,2022,365,-0.67483268948256125
eth_buy_hold,frictionless,2023,365,0.90844593181342437
eth_buy_hold,frictionless,2024,366,0.47099387568114714
mix_buy_hold,frictionless,2020,366,3.8922490027573975
mix_buy_hold,frictionless,2021,365,2.5817348689186757
mix_buy_hold,frictionless,2022,365,-0.66884380385368225
mix_buy_hold,frictionless,2023,365,1.0376009097862373
mix_buy_hold,frictionless,2024,366,0.6504867332753872
usd_cash,frictionless,2020,366,0
usd_cash,frictionless,2021,365,0
usd_cash,frictionless,2022,365,0
usd_cash,frictionless,2023,365,0
usd_cash,frictionless,2024,366,0
trend_vol20_exact,base,2020,366,0.71733977792422943
trend_vol20_exact,base,2021,365,0.37708552679147433
trend_vol20_exact,base,2022,365,-0.15421895888242088
trend_vol20_exact,base,2023,365,0.29254164154883866
trend_vol20_exact,base,2024,366,0.31174620106263817
allocation_vol20_exact,base,2020,366,0.77248018556829479
allocation_vol20_exact,base,2021,365,0.39032098795529602
allocation_vol20_exact,base,2022,365,-0.25991347848606927
allocation_vol20_exact,base,2023,365,0.48310938065046294
allocation_vol20_exact,base,2024,366,0.32353455978768197
fixed_blend_vol20_exact,base,2020,366,0.74648931547598729
fixed_blend_vol20_exact,base,2021,365,0.38399362362194744
fixed_blend_vol20_exact,base,2022,365,-0.20573971888138043
fixed_blend_vol20_exact,base,2023,365,0.38648905737563077
fixed_blend_vol20_exact,base,2024,366,0.31836667631941595
state_rule_vol20_exact,base,2020,366,0.71822077523676309
state_rule_vol20_exact,base,2021,365,0.38795442929565782
state_rule_vol20_exact,base,2022,365,-0.15418163253312811
state_rule_vol20_exact,base,2023,365,0.34043509327010146
state_rule_vol20_exact,base,2024,366,0.31589923762938743
