policy,scenario,expected_nav,reported_nav,residual
btc_buy_hold,frictionless,12.925525976454564,12.925525976454393,-1.7053025658242404e-13
eth_buy_hold,frictionless,26.104247704994556,26.104247704994201,-3.5527136788005009e-13
mix_buy_hold,frictionless,19.514886840724561,19.514886840724298,-2.6290081223123707e-13
btc_buy_hold,base,12.848204784172683,12.848204784172626,-5.6843418860808015e-14
eth_buy_hold,base,25.948090689810144,25.948090689810023,-1.2079226507921703e-13
mix_buy_hold,base,19.398147736991415,19.398147736991326,-8.8817841970012523e-14
btc_buy_hold,cost_stress,12.733086383753006,12.733086383752969,-3.730349362740526e-14
eth_buy_hold,cost_stress,25.715598855788681,25.715598855788606,-7.460698725481052e-14
mix_buy_hold,cost_stress,19.224342619770844,19.224342619770788,-5.6843418860808015e-14
btc_buy_hold,delay_one_day,12.832785498582011,12.832785498581954,-5.6843418860808015e-14
eth_buy_hold,delay_one_day,25.629073130998897,25.629073130998773,-1.2434497875801753e-13
mix_buy_hold,delay_one_day,19.230929314790455,19.230929314790366,-8.8817841970012523e-14
