policy,family,profile,band,role,period,scenario,first_date,last_date,executed_rebalances,skipped_rebalances,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days
trend_vol20_exact,trend,0.20000000000000001,0,control,full,frictionless,2020-01-01,2024-12-31,1827,0,0.30811645415094246,1.4326245465842784,-0.2175683628259345,0.20152031265860254,1.4161822525522745,0.22778729192902114,3.8295893105723842,0.29437285192190366,8.1030933831101084,0,-0.10679220806874756,730
trend_vol20_exact,trend,0.20000000000000001,0,control,2020_2021,frictionless,2020-01-01,2021-12-31,731,0,0.56955645186849257,2.0954657558300767,-0.18580847620253205,0.22722713609809628,3.065287781853792,0.39869842541988693,2.4619876890167935,0.26727735419136822,6.7083120666229688,0,-0.10679220806874756,161
trend_vol20_exact,trend,0.20000000000000001,0,control,2022_2024,frictionless,2022-01-01,2024-12-31,1096,0,0.15877534664880999,0.89843005557596312,-0.16148487280461199,0.18218830333287891,0.98322117664184938,0.11389458068167918,1.5554867831616848,0.31244475779874809,9.0403476793829132,0,-0.047683643800546682,465
allocation_vol20_exact,allocation,0.20000000000000001,0,control,full,frictionless,2020-01-01,2024-12-31,1827,0,0.30328876984976683,1.2993540594658368,-0.34051979263691023,0.22284230633288146,0.89066414466297372,0.21506301511672243,3.75945182719077,0.34082051780905176,3.2603093705414521,0,-0.11180996597552084,755
allocation_vol20_exact,allocation,0.20000000000000001,0,control,2020_2021,frictionless,2020-01-01,2021-12-31,731,0,0.58560373902265539,2.120263471506842,-0.19254286141329957,0.22963673627378403,3.0414201530205669,0.40779083766764146,2.512553227862417,0.27276283027898757,3.2328747183719369,0,-0.11180996597552084,162
allocation_vol20_exact,allocation,0.20000000000000001,0,control,2022_2024,frictionless,2022-01-01,2024-12-31,1096,0,0.14386922091968257,0.72436677852139075,-0.28315409131222125,0.21802695789581963,0.50809515148783235,0.086627853567855517,1.496267535947567,0.38621300830583732,3.2815765901344096,0,-0.057394381053734289,671
fixed_blend_vol20_exact,fixed_blend,0.20000000000000001,0,control,full,frictionless,2020-01-01,2024-12-31,1827,0,0.3067993917324785,1.3867639186722234,-0.27467641212127381,0.2084907317521964,1.1169484462212282,0.22392484633166579,3.8103518244017049,0.31759553007097058,5.4883266009802867,0,-0.10930108832233254,753
fixed_blend_vol20_exact,fixed_blend,0.20000000000000001,0,control,2020_2021,frictionless,2020-01-01,2021-12-31,731,0,0.57763435009941011,2.1098258073108007,-0.18917868147121786,0.22822683138193395,3.0533797233769859,0.40338762892641833,2.4873772129669205,0.27002183316413819,4.7777679875718073,0,-0.10930108832233254,161
fixed_blend_vol20_exact,fixed_blend,0.20000000000000001,0,control,2022_2024,frictionless,2022-01-01,2024-12-31,1096,0,0.15287820906795258,0.82876207091009901,-0.21189506893731558,0.1940339214433997,0.72148073022491233,0.1043342105561843,1.5318753442533874,0.34932579689477949,5.9670445136644608,0,-0.047326468698641433,556
state_rule_vol20_exact,state_rule,0.20000000000000001,0,control,full,frictionless,2020-01-01,2024-12-31,1827,0,0.31354938570943047,1.447117941187372,-0.21816352185138876,0.20251083529528988,1.4372218739804621,0.23154110542266088,3.90976771565292,0.29611885160320484,6.2867351622840353,0,-0.11180996597552073,730
