scenario,policy,year,observations,total_return,excess_mean_annual
base,bil_buy_hold,2008,128,0.00414458460727,-0.000983668600672
base,bil_buy_hold,2009,252,0.0027086593452,-1.11022302463e-16
base,bil_buy_hold,2010,252,-0.000436059847785,-1.99840144433e-15
base,bil_buy_hold,2011,252,-0.000392489622002,-1.55431223448e-15
base,bil_buy_hold,2012,250,-0.000435900207413,-5.48361356323e-15
base,bil_buy_hold,2013,252,-0.000873744767464,2.77555756156e-15
base,bil_buy_hold,2014,252,-0.000655124972624,5.10702591328e-15
base,bil_buy_hold,2015,252,-0.00131163107313,-3.88578058619e-15
base,bil_buy_hold,2016,252,0.00109458342771,-2.99760216649e-15
base,bil_buy_hold,2017,251,0.00689104125986,1.00318160153e-15
base,bil_buy_hold,2018,251,0.0173735241821,-1.11464622393e-15
base,bil_buy_hold,2019,252,0.0203196062995,-7.77156117238e-16
base,bil_buy_hold,2020,253,0.00398592682593,-2.10108610352e-15
base,bil_buy_hold,2021,252,-0.000983715731838,-1.88737914186e-15
base,bil_buy_hold,2022,251,0.0140458520943,0
base,bil_buy_hold,2023,250,0.049448625743,-1.11910480882e-16
base,bil_buy_hold,2024,252,0.0515195766048,-0.000500164218492
base,dual_momentum_126_g100,2008,128,-0.019250471827,-0.0365815961918
base,dual_momentum_126_g100,2009,252,0.0698632055389,0.0739902009519
base,dual_momentum_126_g100,2010,252,0.028397313234,0.0411906828848
base,dual_momentum_126_g100,2011,252,0.107042381411,0.112503618019
base,dual_momentum_126_g100,2012,250,0.0222310849009,0.027661971961
base,dual_momentum_126_g100,2013,252,0.208984571949,0.198260238231
base,dual_momentum_126_g100,2014,252,0.0805743135779,0.0827946123981
base,dual_momentum_126_g100,2015,252,-0.0869204996513,-0.0818489919334
base,dual_momentum_126_g100,2016,252,0.0819930930542,0.0839142729024
base,dual_momentum_126_g100,2017,251,0.184732921401,0.167004149513
base,dual_momentum_126_g100,2018,251,0.00111058520686,-0.0060785094504
base,dual_momentum_126_g100,2019,252,-0.0087417704798,-0.0249588942587
base,dual_momentum_126_g100,2020,253,0.0362406067424,0.0618457589554
base,dual_momentum_126_g100,2021,252,0.166476443536,0.165763983564
base,dual_momentum_126_g100,2022,251,-0.107586038471,-0.121787005095
base,dual_momentum_126_g100,2023,250,0.107045577356,0.0591026097316
base,dual_momentum_126_g100,2024,252,0.130142126955,0.0793667606277
base,dual_momentum_126_g150,2008,128,-0.00406094136551,-0.00147882618484
base,dual_momentum_126_g150,2009,252,0.0458753988561,0.0527223750929
base,dual_momentum_126_g150,2010,252,0.0276185008366,0.0422948689252
base,dual_momentum_126_g150,2011,252,0.154931329946,0.159775435529
base,dual_momentum_126_g150,2012,250,0.0187333869359,0.028126326407
base,dual_momentum_126_g150,2013,252,0.261840380357,0.246805365618
base,dual_momentum_126_g150,2014,252,0.122262672143,0.124454888179
base,dual_momentum_126_g150,2015,252,-0.108308010074,-0.0998849756835
base,dual_momentum_126_g150,2016,252,0.113231725725,0.117524747938
base,dual_momentum_126_g150,2017,251,0.270136451212,0.241490830844
base,dual_momentum_126_g150,2018,251,-0.0443780351022,-0.0429489411351
base,dual_momentum_126_g150,2019,252,-0.0330094915492,-0.0448554956782
base,dual_momentum_126_g150,2020,253,0.0614313901074,0.0907881927779
base,dual_momentum_126_g150,2021,252,0.161172822867,0.166491570224
base,dual_momentum_126_g150,2022,251,-0.122397496238,-0.134504079251
base,dual_momentum_126_g150,2023,250,0.128092075854,0.0822899872912
base,dual_momentum_126_g150,2024,252,0.128511427384,0.0843328133483
base,dual_momentum_252_g100,2008,128,-0.0513346994329,-0.101937770306
base,dual_momentum_252_g100,2009,252,0.106401441736,0.104398400567
base,dual_momentum_252_g100,2010,252,0.155046317285,0.158910782482
base,dual_momentum_252_g100,2011,252,-0.0797968387622,-0.0718003275079
base,dual_momentum_252_g100,2012,250,0.0352864764959,0.0388930507218
base,dual_momentum_252_g100,2013,252,0.247461622449,0.229396972825
base,dual_momentum_252_g100,2014,252,0.102972128239,0.104859030285
base,dual_momentum_252_g100,2015,252,-0.00907083043725,0.000627186987989
base,dual_momentum_252_g100,2016,252,-0.0983924484341,-0.10074615216
base,dual_momentum_252_g100,2017,251,0.222603045909,0.19918082483
base,dual_momentum_252_g100,2018,251,-0.118404717422,-0.130509879542
base,dual_momentum_252_g100,2019,252,0.053502746626,0.0358335428889
base,dual_momentum_252_g100,2020,253,0.148477653932,0.146031562463
base,dual_momentum_252_g100,2021,252,0.131211595814,0.135525012735
base,dual_momentum_252_g100,2022,251,-0.0571130952634,-0.065599583399
base,dual_momentum_252_g100,2023,250,0.0387833615989,-0.00557714467893
base,dual_momentum_252_g100,2024,252,0.203331752758,0.142796700495
base,dual_momentum_252_g150,2008,128,-0.021986201924,-0.0367899696858
base,dual_momentum_252_g150,2009,252,0.114671436988,0.11533225989
base,dual_momentum_252_g150,2010,252,0.165138418356,0.16893325547
base,dual_momentum_252_g150,2011,252,-0.0719474435854,-0.0597129912322
base,dual_momentum_252_g150,2012,250,0.0432703383027,0.0504356225812
base,dual_momentum_252_g150,2013,252,0.327085810315,0.29659142439
base,dual_momentum_252_g150,2014,252,0.132398440002,0.135754369281
base,dual_momentum_252_g150,2015,252,0.00263856309304,0.0191348455557
base,dual_momentum_252_g150,2016,252,-0.147164922729,-0.15154438705
