policy,bil_buy_hold,dual_momentum_126_g100,dual_momentum_126_g150,dual_momentum_252_g100,dual_momentum_252_g150,dual_momentum_63_g100,dual_momentum_63_g150,fixed_blend_g100,fixed_blend_g150,raw_sector_reversal_g100,raw_sector_reversal_g150,sector_reversal_10_g100,sector_reversal_10_g150,sector_reversal_3_g100,sector_reversal_3_g150,sector_reversal_5_g100,sector_reversal_5_g150,spy_buy_hold,static_macro_g100,static_macro_g150,trend_only_g100,trend_only_g150,trend_pullback_10_g100,trend_pullback_10_g150,trend_pullback_3_g100,trend_pullback_3_g150,trend_pullback_5_g100,trend_pullback_5_g150
bil_buy_hold,1,-0.0379629631257,-0.0280666124125,0.0451088107254,0.0407954579175,0.0322654010554,0.0332040243672,0.00487564279637,-0.0195799528973,0.00214572699489,-0.0123119713615,-0.035276639551,-0.0516216790308,-0.0100044450432,-0.0454272225206,-0.0366790369808,-0.0604123877995,-0.125897753509,-0.0798700450925,-0.0818808487058,0.033359416177,0.0282773704144,0.125566062482,0.0857026015028,0.105874526602,0.0699432993299,0.118952224374,0.0826390794725
dual_momentum_126_g100,-0.0379629631257,1,0.985264695807,0.715934729016,0.713059146227,0.720858039922,0.701619622688,0.783323032866,0.762790121357,0.0869719526196,0.0893290978778,0.00973904172291,0.0125812307029,0.00350240367122,0.00539849502041,0.0228106799932,0.0247786602311,0.495555048674,0.645279919937,0.684582098188,0.672414974319,0.672980843216,0.475542496156,0.487994233538,0.461263124155,0.472404724933,0.464179182557,0.476093053146
dual_momentum_126_g150,-0.0280666124125,0.985264695807,1,0.735167578085,0.745803304253,0.748211388573,0.745469367074,0.795211956276,0.787989156043,0.0817563222168,0.0840587511412,0.0046787776705,0.00744576535656,0.00390662952125,0.00515015076329,0.0195640984639,0.0217685902661,0.460853732879,0.630148859313,0.669566670893,0.667326978599,0.678822673502,0.474049887673,0.485421576812,0.465138655436,0.4770944776,0.467751044955,0.479237349868
dual_momentum_252_g100,0.0451088107254,0.715934729016,0.735167578085,1,0.986594127098,0.711001214514,0.71045502548,0.692466828439,0.687734778079,0.0752150947756,0.0773488914822,0.0428055419996,0.0419589521604,0.0500339694358,0.0490407910306,0.040890822782,0.0421264648259,0.431130190935,0.615633340035,0.650939260553,0.643080273159,0.649699538312,0.445565191954,0.451579693723,0.449790224056,0.45886907363,0.457853281499,0.465845226868
dual_momentum_252_g150,0.0407954579175,0.713059146227,0.745803304253,0.986594127098,1,0.714860370838,0.728072603663,0.693040698867,0.697564697755,0.0794431270644,0.082188343552,0.0410551904724,0.0412429436816,0.0499496432467,0.0489724055053,0.0420951641185,0.0438778760489,0.414899275763,0.614340417892,0.649732864989,0.628587756542,0.644189461032,0.439835036858,0.444814650688,0.450345120143,0.459190171907,0.45674202798,0.463988246353
dual_momentum_63_g100,0.0322654010554,0.720858039922,0.748211388573,0.711001214514,0.714860370838,1,0.986379427524,0.746699844103,0.731034983661,0.0310536652726,0.0332834571768,-0.00980367705461,-0.00913423968538,0.00194710237368,-0.000220020397018,-0.00765947802193,-0.00643202145497,0.334144835344,0.559900033393,0.580874007817,0.693128611766,0.687210751533,0.481476491512,0.487587237415,0.493646267491,0.500664846276,0.494655257618,0.501325862899
dual_momentum_63_g150,0.0332040243672,0.701619622688,0.745469367074,0.71045502548,0.728072603663,0.986379427524,1,0.737597675903,0.73424893265,0.0337632315988,0.036588461353,-0.00708134586741,-0.00627054704247,0.00459926036401,0.00210724455784,-0.00232555211722,-0.000627326954204,0.307904514593,0.542671418504,0.565645926693,0.664337913997,0.669932924643,0.473007352571,0.478187028138,0.486639047812,0.494881432216,0.486650270511,0.492858095469
fixed_blend_g100,0.00487564279637,0.783323032866,0.795211956276,0.692466828439,0.693040698867,0.746699844103,0.737597675903,1,0.989956636202,0.327087179047,0.330618928746,0.236421647498,0.236325814938,0.250917836258,0.251581530736,0.371654048027,0.371247394165,0.436903421626,0.596160671746,0.620606083706,0.721443777345,0.722484028042,0.592518219496,0.600920172521,0.548839916117,0.556515150737,0.573855913719,0.580680561159
fixed_blend_g150,-0.0195799528973,0.762790121357,0.787989156043,0.687734778079,0.697564697755,0.731034983661,0.73424893265,0.989956636202,1,0.352338746797,0.358704992217,0.254536340277,0.256723497055,0.27225287988,0.276882307776,0.403627517374,0.408374840313,0.421826278282,0.5837734816,0.60928713926,0.695267307515,0.707455321695,0.57670927804,0.586875770512,0.538665850321,0.54876726006,0.564150050247,0.573040089121
raw_sector_reversal_g100,0.00214572699489,0.0869719526196,0.0817563222168,0.0752150947756,0.0794431270644,0.0310536652726,0.0337632315988,0.327087179047,0.352338746797,1,0.990504318369,0.519013650435,0.52070771564,0.530173331998,0.52532279065,0.783688382579,0.779307906534,0.0910144250214,0.0963675939831,0.0991442977457,0.0552641143017,0.0641241037147,0.106966811508,0.110079809489,0.0683616350816,0.0729513393375,0.070318918528,0.0734377123532
