scenario,policy,excluded_year,observations,annualized_geometric_return,excess_sharpe,status
base,bil_buy_hold,2008,4026,0.0100236915919,-0.250186219771,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2009,3902,0.0104372510453,-0.359440697124,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2010,3902,0.0106422519114,-0.359440697124,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2011,3902,0.0106394069271,-0.359440697124,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2012,3904,0.0106367606259,-0.359348591869,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2013,3902,0.0106708385422,-0.359440697125,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2014,3902,0.0106565581037,-0.359440697126,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2015,3902,0.0106994516702,-0.359440697123,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2016,3902,0.0105423852877,-0.359440697123,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2017,3903,0.0101630462601,-0.359394635646,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2018,3903,0.00948777380286,-0.359394635646,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2019,3902,0.00930171688507,-0.359440697124,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2020,3901,0.0103568506657,-0.359486776317,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2021,3902,0.0106780232005,-0.359440697124,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2022,3903,0.00970133399579,-0.359394635646,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2023,3904,0.00746470793999,-0.359348591871,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,bil_buy_hold,2024,3902,0.00734028641263,-0.254130410437,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,dual_momentum_126_g100,2008,4026,0.0603377580868,0.431894946093,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,dual_momentum_126_g100,2009,3902,0.0563638397271,0.398934552914,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,dual_momentum_126_g100,2010,3902,0.0590640614088,0.420231157212,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,dual_momentum_126_g100,2011,3902,0.0540358545465,0.381939413116,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,dual_momentum_126_g100,2012,3904,0.0594441227188,0.415062441036,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,dual_momentum_126_g100,2013,3902,0.0480564911095,0.336829138528,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,dual_momentum_126_g100,2014,3902,0.0556844354693,0.388244757664,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,dual_momentum_126_g100,2015,3902,0.0672300766031,0.47172962662,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,dual_momentum_126_g100,2016,3902,0.0555949805362,0.389901870195,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,dual_momentum_126_g100,2017,3903,0.0494159654179,0.347319235737,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,dual_momentum_126_g100,2018,3903,0.0608888883735,0.438851597639,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
base,dual_momentum_126_g100,2019,3902,0.0615828067788,0.438426252596,DESCRIPTIVE_YEAR_DELETION_NOT_A_TRADING_PATH
