scenario,policy,period,observations,first_date,last_date,cagr,annualized_mean_return,annualized_volatility,excess_sharpe,calmar,max_drawdown,longest_underwater_sessions,worst_day,expected_shortfall_95,certainty_equivalent_gamma3,spy_beta,descriptive_alpha_annual,positive_day_fraction,annual_one_way_turnover,mean_gross_exposure,max_gross_exposure,mean_net_exposure,rebalances,annual_execution_drag,annual_funding_drag,annual_borrow_drag,pareto_cagr_sharpe_drawdown,role,family
base,bil_buy_hold,full,4154,2008-07-01,2024-12-31,0.00995478979476,0.00992876170328,0.0047331598293,-0.348364791894,1.27630127497,-0.00779971781741,2320,-0.00391088830074,-0.000545012959762,0.00989515750033,-1.24536393192e-05,-5.91288212504e-05,0.388059701493,0.121154191484,0,0,0,2,6.05870461079e-05,0,0,True,benchmark,bil_buy_hold
base,bil_buy_hold,2008_2016,2142,2008-07-01,2016-12-30,0.000450438384846,0.000468656111759,0.00604530204034,-0.342997170292,0.057750600136,-0.00779971781741,2079,-0.00391088830074,-0.000822230875349,0.000413837596621,-1.84174936183e-05,-5.67471804507e-05,0.261437908497,0.11757406321,0,0,0,1,5.8787031605e-05,0,0,True,benchmark,bil_buy_hold
base,bil_buy_hold,2017_2024,2012,2017-01-03,2024-12-31,0.0201707565363,0.0200001067217,0.00256433880342,-0.353904660817,9.6734322054,-0.00208517061039,595,-0.000437613317092,-0.000229727131869,0.0199902429714,-3.73609070024e-06,-6.21403069086e-05,0.522862823062,0.125085616438,0,0,0,1,6.25633495907e-05,0,0,True,benchmark,bil_buy_hold
base,dual_momentum_126_g100,full,4154,2008-07-01,2024-12-31,0.0571079542469,0.0645598402494,0.133520973017,0.407899717924,0.203484438474,-0.280650228957,598,-0.095007795658,-0.0208023693365,0.0378180648962,0.333225458731,0.013797848725,0.539961482908,8.18705206174,0.913596477696,1,0.913596477696,200,0.00409520874179,7.62202912008e-17,0,False,candidate,dual_momentum
base,dual_momentum_126_g100,2008_2016,2142,2008-07-01,2016-12-30,0.05497123122,0.0616646065734,0.127505874985,0.477413394084,0.324653101364,-0.169322981943,450,-0.0417163207822,-0.0196490693294,0.0372779843398,0.200416000887,0.0390020453791,0.536414565826,8.54407233834,0.916400481652,1,0.916400481652,103,0.00427481984394,5.511512407e-17,0,True,candidate,dual_momentum
base,dual_momentum_126_g100,2017_2024,2012,2017-01-03,2024-12-31,0.0594452482205,0.0676421417076,0.139671911013,0.340700826467,0.211812576963,-0.280650228957,598,-0.095007795658,-0.021952479956,0.0383797776184,0.527271261276,-0.0236224739432,0.543737574553,7.81582370467,0.910611300522,1,0.910611300522,97,0.00390842557537,9.87409092879e-17,0,False,candidate,dual_momentum
base,dual_momentum_126_g150,full,4154,2008-07-01,2024-12-31,0.0657707181391,0.0775321233775,0.165473870122,0.407684680701,0.191845081963,-0.342832443064,840,-0.095007795658,-0.025831906487,0.036459720838,0.383374899712,0.0206339801857,0.539239287434,10.8438344903,1.20283654802,1.60003787746,1.20283654802,200,0.00542491472977,0.00747734067352,0,False,candidate,dual_momentum
base,dual_momentum_126_g150,2008_2016,2142,2008-07-01,2016-12-30,0.0694982743439,0.0794503382975,0.156368890193,0.50326562699,0.309116425927,-0.224828797549,450,-0.0460381836761,-0.0235973964045,0.0427734935673,0.217425453076,0.0549091530027,0.536414565826,11.1883165562,1.18530493894,1.53169445223,1.18530493894,103,0.00559937438339,0.00406393582512,0,True,candidate,dual_momentum
base,dual_momentum_126_g150,2017_2024,2012,2017-01-03,2024-12-31,0.061890741166,0.0754899681296,0.174685401975,0.317376643431,0.180527667139,-0.342832443064,840,-0.095007795658,-0.0280922520537,0.0297174836347,0.625849597393,-0.0290865076727,0.542246520875,10.488668288,1.22150091514,1.60003787746,1.22150091514,97,0.00524497552419,0.0111146879599,0,False,candidate,dual_momentum
base,dual_momentum_252_g100,full,4154,2008-07-01,2024-12-31,0.0562806054048,0.0628126518602,0.126259884494,0.418782339933,0.243781055793,-0.23086537722,674,-0.0400548762191,-0.0198618393306,0.0389003142116,0.273598293894,0.0193464809826,0.548387096774,6.86155611618,0.919918327205,1,0.919918327205,200,0.0034352340158,9.73792293105e-17,0,False,candidate,dual_momentum
