policy,scenario,period,original_positive_day_fraction,corrected_positive_day_fraction
bil_buy_hold,base,full,0.388059701493,0.388059701493
bil_buy_hold,base,2008_2016,0.261437908497,0.261437908497
bil_buy_hold,base,2017_2024,0.522862823062,0.522862823062
dual_momentum_126_g100,base,full,0.539961482908,0.539961482908
dual_momentum_126_g100,base,2008_2016,0.536414565826,0.536414565826
dual_momentum_126_g100,base,2017_2024,0.543737574553,0.543737574553
dual_momentum_126_g150,base,full,0.539239287434,0.539239287434
dual_momentum_126_g150,base,2008_2016,0.536414565826,0.536414565826
dual_momentum_126_g150,base,2017_2024,0.542246520875,0.542246520875
dual_momentum_252_g100,base,full,0.548387096774,0.548387096774
dual_momentum_252_g100,base,2008_2016,0.539215686275,0.539215686275
dual_momentum_252_g100,base,2017_2024,0.558151093439,0.558151093439
dual_momentum_252_g150,base,full,0.546942705826,0.546942705826
dual_momentum_252_g150,base,2008_2016,0.53781512605,0.53781512605
dual_momentum_252_g150,base,2017_2024,0.556660039761,0.556660039761
dual_momentum_63_g100,base,full,0.543331728455,0.543331728455
dual_momentum_63_g100,base,2008_2016,0.541083099907,0.541083099907
dual_momentum_63_g100,base,2017_2024,0.545725646123,0.545725646123
dual_momentum_63_g150,base,full,0.541646605681,0.541646605681
dual_momentum_63_g150,base,2008_2016,0.540149393091,0.540149393091
dual_momentum_63_g150,base,2017_2024,0.54324055666,0.54324055666
fixed_blend_g100,base,full,0.531295137217,0.531295137217
fixed_blend_g100,base,2008_2016,0.529878618114,0.529878618114
fixed_blend_g100,base,2017_2024,0.532803180915,0.532803180915
fixed_blend_g150,base,full,0.529128550794,0.529128550794
fixed_blend_g150,base,2008_2016,0.532679738562,0.532679738562
fixed_blend_g150,base,2017_2024,0.525347912525,0.525347912525
raw_sector_reversal_g100,base,full,0.48531535869,0.48531535869
raw_sector_reversal_g100,base,2008_2016,0.483193277311,0.483193277311
raw_sector_reversal_g100,base,2017_2024,0.487574552684,0.487574552684
raw_sector_reversal_g150,base,full,0.486037554165,0.486037554165
raw_sector_reversal_g150,base,2008_2016,0.485527544351,0.485527544351
raw_sector_reversal_g150,base,2017_2024,0.486580516899,0.486580516899
sector_reversal_10_g100,base,full,0.474000962927,0.474000962927
sector_reversal_10_g100,base,2008_2016,0.473389355742,0.473389355742
sector_reversal_10_g100,base,2017_2024,0.474652087475,0.474652087475
sector_reversal_10_g150,base,full,0.470149253731,0.470149253731
sector_reversal_10_g150,base,2008_2016,0.471055088702,0.471055088702
sector_reversal_10_g150,base,2017_2024,0.469184890656,0.469184890656
sector_reversal_3_g100,base,full,0.473760231103,0.473760231103
sector_reversal_3_g100,base,2008_2016,0.472922502334,0.472922502334
sector_reversal_3_g100,base,2017_2024,0.474652087475,0.474652087475
sector_reversal_3_g150,base,full,0.471352912855,0.471352912855
sector_reversal_3_g150,base,2008_2016,0.472455648926,0.472455648926
sector_reversal_3_g150,base,2017_2024,0.470178926441,0.470178926441
sector_reversal_5_g100,base,full,0.462205103515,0.462205103515
sector_reversal_5_g100,base,2008_2016,0.46218487395,0.46218487395
sector_reversal_5_g100,base,2017_2024,0.462226640159,0.462226640159
sector_reversal_5_g150,base,full,0.459075589793,0.459075589793
sector_reversal_5_g150,base,2008_2016,0.458450046685,0.458450046685
sector_reversal_5_g150,base,2017_2024,0.459741550696,0.459741550696
