policy,minimum_scenario_cagr,minimum_scenario_sharpe,worst_scenario_drawdown,worst_year_deletion_sharpe
bil_buy_hold,0.00983240623941,-0.348364791894,-0.00779971781741,-0.359486776317
dual_momentum_126_g100,0.0484858166219,0.346548539124,-0.293606118949,0.274742636583
dual_momentum_126_g150,0.0499478410558,0.317212413329,-0.371619951571,0.246370514204
dual_momentum_252_g100,0.049055771235,0.364304041461,-0.238381287531,0.272680203591
dual_momentum_252_g150,0.0560016879803,0.358985376962,-0.306862935688,0.267408955035
dual_momentum_63_g100,0.0565902147789,0.429137882262,-0.251134125227,0.360405652679
dual_momentum_63_g150,0.0554194357896,0.358902882933,-0.325836893327,0.283770392785
fixed_blend_g100,-0.0216604847586,-0.587320581047,-0.325747625898,-0.66876800327
fixed_blend_g150,-0.041248160224,-0.724924260296,-0.50330890677,-0.798727543123
raw_sector_reversal_g100,-0.116418014089,-1.92431472571,-0.874229513962,-2.132973921
raw_sector_reversal_g150,-0.172360911822,-2.04690160523,-0.957439454392,-2.19339478446
sector_reversal_10_g100,-0.0913290652547,-1.88719514455,-0.80263637323,-2.14863700648
sector_reversal_10_g150,-0.138284770417,-1.96516283802,-0.917391473493,-2.17136664731
sector_reversal_3_g100,-0.11466659434,-2.30535490803,-0.879248098477,-2.69992908518
sector_reversal_3_g150,-0.170797240157,-2.38726921876,-0.960198725087,-2.75805687221
sector_reversal_5_g100,-0.12436990083,-2.52153946744,-0.889506263969,-2.74026715979
sector_reversal_5_g150,-0.181950643175,-2.5595838647,-0.9642261416,-2.76908517114
spy_buy_hold,0.117480265316,0.604930113281,-0.471652353009,0.539510717987
static_macro_g100,0.0583262733519,0.529435771916,-0.22120964823,0.452133441982
static_macro_g150,0.0585194180436,0.413308095728,-0.3072988859,0.330332401317
trend_only_g100,0.0391102795022,0.319138630467,-0.20569887533,0.201945040405
trend_only_g150,0.0335619861144,0.241210458781,-0.28870249227,0.0982797259144
trend_pullback_10_g100,-0.00582912505025,-0.43165258798,-0.198343732088,-0.540340277851
trend_pullback_10_g150,-0.0145505187087,-0.460592227479,-0.306496523602,-0.564935332744
trend_pullback_3_g100,-0.0394133785808,-1.24171389894,-0.507605842913,-1.36414548075
trend_pullback_3_g150,-0.0630938027787,-1.29599948001,-0.675985482529,-1.40544365504
trend_pullback_5_g100,-0.0162343532853,-0.657505575048,-0.320355646264,-0.727306592664
trend_pullback_5_g150,-0.0294012748776,-0.68889506182,-0.448067552961,-0.759880023873
