year,asset,model,rows,dates,mse,mae,correlation
all,pooled,ridge1,2912,364,0.0006355469345526416,0.017680668946920716,0.10543678033239409
all,pooled,ridge100,2912,364,0.0006353733888239272,0.017677983687605946,0.10624947233373049
all,pooled,gbm2,2912,364,0.0006362639862360838,0.017752474188693006,0.102575423863833
all,pooled,gbm3,2912,364,0.0006423368509792508,0.017818552808275896,0.08604792530244652
all,pooled,mlp16,2912,364,0.0006395188819617284,0.01778351883630138,0.11768569348687849
all,pooled,mlp32,2912,364,0.0006411351756864392,0.017807733534795294,0.10627730186648972
all,pooled,sequence16,2912,364,0.0006587101352735064,0.018041184396198427,0.039605740407290826
all,pooled,sequence32,2912,364,0.0006432640971757627,0.01792873741054545,0.10118855912560683
all,pooled,selected,2912,364,0.0006390849831137893,0.017806001314558593,0.0938717273978374
all,pooled,zero,2912,364,0.000643914842127765,0.01780455427962757,
all,pooled,past_mean,2912,364,0.0006419251827030502,0.017691393078402614,0.018259430940063704
all,SPY,ridge1,364,364,0.0006298758265057951,0.018043897893543912,0.11655418056937102
all,SPY,ridge100,364,364,0.000629587168728059,0.018039838042833312,0.11790342096483862
all,SPY,gbm2,364,364,0.000630513935255398,0.01812738200738057,0.11581814817027099
all,SPY,gbm3,364,364,0.0006379011673061771,0.01821598323941327,0.08652845886481166
all,SPY,mlp16,364,364,0.0006201789946680352,0.017982044454859437,0.16943688730079753
all,SPY,mlp32,364,364,0.0006276346232842868,0.01813589972876179,0.15048461513939923
all,SPY,sequence16,364,364,0.0006677037521676899,0.018328510415254455,-0.014868981671749524
all,SPY,sequence32,364,364,0.0006400198174254903,0.018103982490888494,0.09396210065791949
all,SPY,selected,364,364,0.0006317540974087836,0.01810843389357098,0.10958336612775209
all,SPY,zero,364,364,0.0006456417182534558,0.018364362787503943,
all,SPY,past_mean,364,364,0.0006397647364646072,0.01801291619430675,-0.06823268970907129
all,QQQ,ridge1,364,364,0.0009480063201571692,0.023891856059467413,0.05460487012011197
all,QQQ,ridge100,364,364,0.0009476402892606172,0.023882165545861294,0.05528720096347466
all,QQQ,gbm2,364,364,0.0009497442834445941,0.023926946486952157,0.0663774225328146
all,QQQ,gbm3,364,364,0.00096539067007288,0.023902717573201636,0.04733567962982921
all,QQQ,mlp16,364,364,0.0009789088133013268,0.0242446120391034,0.06020120260916416
all,QQQ,mlp32,364,364,0.0009765591017647208,0.02408717863014293,0.05331346418584531
all,QQQ,sequence16,364,364,0.0009895796660902222,0.02424123185321443,-0.009313480906425187
all,QQQ,sequence32,364,364,0.0009575625207546695,0.024209479338252512,0.0641601019032025
all,QQQ,selected,364,364,0.0009668147956393394,0.024198777215540868,0.019369359263277073
all,QQQ,zero,364,364,0.0009600894670155582,0.024028212870713116,
all,QQQ,past_mean,364,364,0.0009491829957682651,0.023693907377465448,-0.09623201965522629
all,GLD,ridge1,364,364,0.00037929156519302836,0.013983692178729133,0.07345937263263232
all,GLD,ridge100,364,364,0.00037927430693905076,0.01398384718571921,0.07300399686781464
all,GLD,gbm2,364,364,0.00038206928137759496,0.014025438759448589,0.044765759096199294
all,GLD,gbm3,364,364,0.00037602281055569933,0.013927480465150698,0.11825995202939002
all,GLD,mlp16,364,364,0.0003777819060883577,0.013859331018580754,0.10342720894071888
all,GLD,mlp32,364,364,0.00038856101837732245,0.014121177204763578,0.05430237769226984
all,GLD,sequence16,364,364,0.00039907503811816074,0.014528167424463476,0.00620872951962644
all,GLD,sequence32,364,364,0.00038269608570011104,0.014230708184243135,0.10332602736889436
all,GLD,selected,364,364,0.00037824334739920993,0.013978872394962838,0.10738294805167412
all,GLD,zero,364,364,0.00038424525971811005,0.014042519308240912,
all,GLD,past_mean,364,364,0.0003815977731682229,0.013970688063072886,-0.01555988175936208
all,IWM,ridge1,364,364,0.0011822650844599799,0.024707535780281495,0.1212422470863305
all,IWM,ridge100,364,364,0.0011817057255519244,0.024699755010836988,0.12329658523828274
all,IWM,gbm2,364,364,0.001180867553463062,0.024871289916143,0.12128869913998709
all,IWM,gbm3,364,364,0.001199713469485092,0.02515537121018155,0.07741626583862188
all,IWM,mlp16,364,364,0.0011851887441502685,0.024870076519008962,0.14201469062647962
all,IWM,mlp32,364,364,0.0011885815352415308,0.024959135700017638,0.12069793324238266
all,IWM,sequence16,364,364,0.001239043125044049,0.02544219683821403,-0.017426526378665857
all,IWM,sequence32,364,364,0.0011887257326085624,0.025070424193054927,0.1261740840833508
all,IWM,selected,364,364,0.001183642524686836,0.02486230117563551,0.12049297421822604
all,IWM,zero,364,364,0.0012000750616308561,0.024869028885851956,
all,IWM,past_mean,364,364,0.001199099832989958,0.024796307643652434,-0.05947836224708743
all,EFA,ridge1,364,364,0.0006196946167013511,0.01698357067883037,0.1636401614262068
all,EFA,ridge100,364,364,0.0006195536064467986,0.016984575383776863,0.16497215940714402
all,EFA,gbm2,364,364,0.0006230331152010008,0.017101183576091986,0.14472828309055513
all,EFA,gbm3,364,364,0.0006260629019057015,0.017179113872159934,0.13513802661146082
all,EFA,mlp16,364,364,0.0006127104671644069,0.01702407239801928,0.19231766411231424
all,EFA,mlp32,364,364,0.0006144331237275685,0.017014633102633788,0.18370003770334958
all,EFA,sequence16,364,364,0.0006203220491020463,0.017200327768739948,0.15630941874858015
all,EFA,sequence32,364,364,0.0006272474348369434,0.017146627998038396,0.12926528210145866
all,EFA,selected,364,364,0.0006187776267263575,0.017116068217674335,0.16408372017096107
all,EFA,zero,364,364,0.0006359610284322188,0.017296598298259778,
all,EFA,past_mean,364,364,0.0006364089344519775,0.017210236630664646,-0.06285148882127728
all,EEM,ridge1,364,364,0.0007484160163317881,0.021194066125693408,0.12121482196738453
all,EEM,ridge100,364,364,0.0007484562175984924,0.021194945184031855,0.12117667912308548
all,EEM,gbm2,364,364,0.0007489914344791425,0.02135134310240776,0.1339362568051503
