scenario,policy,period,observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return
cost10,bil,all,1756,0.02161085938727098,0.02162024663408468,0.0025016323755634355,1.9990009990009991,0.0,1.0,0.021851515126039,-0.0020852698720569274,-0.0006330212490830434
cost10,bil,excluding_2020,1503,0.0245826326927813,0.024592393128471588,0.002550873796732573,1.9990009990009991,0.0,1.0,,,
cost10,bil,2018,248,0.016149648865564838,0.016156232915244706,0.0020950814908367236,0.9990009990009991,0.0,1.0,0.01628470280297667,-0.0008897136310360709,-5.8882712905883317e-05
cost10,bil,2019,252,0.0201129229503376,0.020118293465050896,0.0018921794688134595,0.0,0.0,1.0,0.020319391991693303,-0.00021858292867327211,0.00106053599136402
cost10,bil,2020,253,0.003958558388093893,0.003963581886798014,0.0018300270861604773,0.0,0.0,1.0,0.003969741565880591,-0.000884379623761089,-0.0006330212490821552
cost10,bil,2021,252,-0.0009859307977611342,-0.000983038499084099,0.00138859609607094,0.0,0.0,1.0,-0.0009835167373057896,-0.00109291804239664,-0.0003283114069049242
cost10,bil,2022,251,0.013997618811953896,0.014006849275222475,0.0024806535790093992,0.0,0.0,1.0,0.01410190285725954,-0.0003281284501814863,-0.00032812845018137526
cost10,bil,2023,250,0.04864780052460057,0.04865995646273387,0.002846745291650105,0.0,0.0,1.0,0.04985412428985847,-0.00021813266807568787,0.0028759298612051065
cost10,bil,2024,250,0.04980113977517957,0.04981131429569668,0.00260442194701085,1.0,0.0,1.0,0.05106403267020743,-0.0005624806606715493,0.0033544646465044625
cost10,equal,all,1756,0.04473525388487799,0.05817192148978325,0.09464554085254186,6.691057962021038,0.7358727875614217,0.2641272124385783,0.05514446441295884,-0.1963267567088498,-0.15819139413819527
cost10,equal,excluding_2020,1503,0.03404563758574554,0.04450103586813252,0.08348811605007816,5.680783124813335,0.7452384668311531,0.254761533168847,,,
cost10,equal,2018,248,-0.059017825785934265,-0.04970489482152344,0.07879480086237003,1.5622354807761965,0.7496358025857222,0.25036419741427784,-0.0514359734885913,-0.09425127223665819,-0.05172496075235722
cost10,equal,2019,252,0.15221392714107262,0.15685237316293965,0.055608428748808926,0.47891146888507913,0.7503252641702058,0.24967473582979424,0.16796675037898767,-0.026136133323850785,-0.023671180450740903
cost10,equal,2020,253,0.10817346087564639,0.13938670840417472,0.14425266613025062,1.0102748372077026,0.6802339893700929,0.3197660106299071,0.13758254082034505,-0.16099760972941457,-0.15819139413819527
cost10,equal,2021,252,0.0542159360926871,0.061173019265517437,0.06810327046885163,0.7525506683836691,0.7245503822900744,0.2754496177099256,0.060620993848168325,-0.03649145034819734,-0.03204989225859489
cost10,equal,2022,251,-0.16759534416041078,-0.14372013262262376,0.126161831359005,0.8216197579360343,0.7495719275996406,0.2504280724003594,-0.1407406604029532,-0.18754606276405406,-0.08541153632297449
cost10,equal,2023,250,0.12991986452743093,0.13901771460345477,0.0778796082682489,0.5225421244167687,0.750209939579804,0.24979006042019608,0.14564077801989206,-0.07388204944907062,-0.050397300708768356
cost10,equal,2024,250,0.09369891161025282,0.10235518628393869,0.07596610943346546,1.5429236244155868,0.7472801399020504,0.2527198600979496,0.10457264506148434,-0.04106578068643252,-0.020088640311210937
cost10,gate:cal_gbm2,all,1756,0.015630903122160117,0.01988670659246327,0.05326539508475868,49.753107459142576,0.10862155691311436,0.8913784430868856,0.01863984006341557,-0.13000914143719755,-0.08359883543712232
cost10,gate:cal_gbm2,excluding_2020,1503,0.017595526261776257,0.022567046280110224,0.057570362851812135,49.75310745914257,0.1269058243109972,0.8730941756890028,,,
cost10,gate:cal_gbm2,2018,248,0.0161496488655654,0.016156232915245268,0.0020950814908367397,0.9990009990010047,0.0,1.0,0.01628470280297689,-0.0008897136310360709,-5.8882712905772294e-05
cost10,gate:cal_gbm2,2019,252,0.020112922950337155,0.020118293465050452,0.0018921794688134524,3.668325906734812e-15,0.0,1.0,0.02031939199169286,-0.00021858292867327211,0.001060535991364242
cost10,gate:cal_gbm2,2020,253,0.003958558388093668,0.003963581886797793,0.0018300270861609904,5.121718426727622e-15,0.0,1.0,0.003969741565880369,-0.0008843796237613111,-0.0006330212490823772
cost10,gate:cal_gbm2,2021,252,0.04695489321683718,0.05140777241228123,0.05448473300197068,15.354818753728676,0.20142552781734355,0.7985744721826565,0.05119133056406455,-0.03612906533883209,-0.028308166402192025
cost10,gate:cal_gbm2,2022,251,-0.08275806067429795,-0.057826750801757955,0.12892196573260892,29.502092156295383,0.5406549328659389,0.4593450671340609,-0.06397225693607445,-0.1300091414371971,-0.08359883543712221
cost10,gate:cal_gbm2,2023,250,0.05603635817438,0.05634185638649106,0.014271141325791294,1.8968015888075422,0.012121411425302746,0.9878785885746972,0.057845702993661874,-0.0054126219393525465,-0.0002589743709781045
cost10,gate:cal_gbm2,2024,250,0.04916785007546035,0.04926402619822296,0.008007335085724465,2.000393961309962,0.004981919695127509,0.9950180803048725,0.05045900225307842,-0.006312891078941618,-0.001574492860067389
cost10,gate:cal_ridge100,all,1756,-0.002352558863442332,0.0030906330196924085,0.060239476996040514,28.170158870628438,0.09872452823846446,0.9012754717615354,0.0012761520050450503,-0.1723875568435954,-0.0850247130679399
cost10,gate:cal_ridge100,excluding_2020,1503,-0.003415521182935275,0.002943689531084517,0.06511124180467247,28.170158870628434,0.11534282873369503,0.8846571712663049,,,
cost10,gate:cal_ridge100,2018,248,0.0161496488655654,0.016156232915245268,0.0020950814908367397,0.9990009990010047,0.0,1.0,0.01628470280297689,-0.0008897136310360709,-5.8882712905772294e-05
cost10,gate:cal_ridge100,2019,252,0.020112922950337155,0.020118293465050452,0.0018921794688134524,3.668325906734812e-15,0.0,1.0,0.02031939199169286,-0.00021858292867327211,0.001060535991364242
cost10,gate:cal_ridge100,2020,253,0.003958558388093668,0.003963581886797793,0.0018300270861609904,5.121718426727622e-15,0.0,1.0,0.003969741565880369,-0.0008843796237613111,-0.0006330212490823772
cost10,gate:cal_ridge100,2021,252,0.02693503839848451,0.029983283632106117,0.04507952405561833,12.650931292539404,0.129058280820952,0.8709417191790482,0.029393978786686592,-0.020134832410706127,-0.015633457741649592
cost10,gate:cal_ridge100,2022,251,-0.19616714570339075,-0.1615623300157833,0.1518877122254188,12.386475483436492,0.5521302249783878,0.44786977502161224,-0.15896164006851887,-0.17238755684359475,-0.08502471306793957
cost10,gate:cal_ridge100,2023,250,0.06324910177032901,0.06356535373517185,0.014520146115950726,1.1337510956515264,0.009011593401153534,0.9909884065988465,0.06550947007201269,-0.004106899002246811,0.0028759298612053286
cost10,gate:cal_ridge100,2024,250,0.04980113977518046,0.04981131429569757,0.0026044219470110004,1.0000000000000022,0.0,1.0,0.05106403267020854,-0.0005624806606715493,0.0033544646465046846
cost10,gate:mean,all,1756,0.01719956421157328,0.019047854654873717,0.03510261569836297,4.003442982125476,0.0718759303708057,0.9281240696291944,0.018602112358267364,-0.09119603442392199,-0.04149649833672653
cost10,gate:mean,excluding_2020,1503,0.01942847942523281,0.021586990390285034,0.037934249828285985,4.003442982125471,0.08397480620833987,0.9160251937916601,,,
cost10,gate:mean,2018,248,0.0161496488655654,0.016156232915245268,0.0020950814908367397,0.9990009990010047,0.0,1.0,0.01628470280297689,-0.0008897136310360709,-5.8882712905772294e-05
cost10,gate:mean,2019,252,0.020112922950337155,0.020118293465050452,0.0018921794688134524,3.668325906734812e-15,0.0,1.0,0.02031939199169286,-0.00021858292867327211,0.001060535991364242
cost10,gate:mean,2020,253,0.003958558388093668,0.003963581886797793,0.0018300270861609904,5.121718426727622e-15,0.0,1.0,0.003969741565880369,-0.0008843796237613111,-0.0006330212490823772
cost10,gate:mean,2021,252,0.06450372399427251,0.06756675758391761,0.045188741884420056,0.8208229200227117,0.24836046660797914,0.7516395333920209,0.06880447342046603,-0.028022492785941377,-0.023538057495467224
cost10,gate:mean,2022,251,-0.08624258229259825,-0.07656168282621081,0.08033637393853187,0.6740667013890248,0.24949438536256058,0.7505056146374394,-0.07668861620270095,-0.09009408350030068,-0.04149649833672642
cost10,gate:mean,2023,250,0.052314373854440786,0.052424086978931056,0.00855231448167773,0.5095523617127223,0.004016821679685496,0.9959831783203145,0.053778524296540064,-0.004200437719382499,0.0028759298612055506
cost10,gate:mean,2024,250,0.049801139775178,0.04981131429569511,0.0026044219470108647,1.0000000000000036,0.0,1.0,0.05106403267020565,-0.0005624806606715493,0.0033544646465044625
cost10,gate:raw_gbm2,all,1756,0.01658232401471001,0.029399257314873705,0.09243712565906152,126.80796323412196,0.2279356499268324,0.7720643500731675,0.025416079695567806,-0.19118801616522574,-0.1672456834885082
cost10,gate:raw_gbm2,excluding_2020,1503,0.01992532988447761,0.02851000057930217,0.07565126434204325,106.32448431095132,0.22092316429150935,0.7790768357084906,,,
cost10,gate:raw_gbm2,2018,248,-0.020098229538817017,-0.0027388833456727024,0.10757740219068412,23.453669555886343,0.3287436527812685,0.6712563472187314,-0.008473078806617629,-0.09103442941033268,-0.05128644621533929
cost10,gate:raw_gbm2,2019,252,0.0393095230648169,0.04050819024493402,0.02826855945058772,8.978669036133411,0.053256206337269366,0.9467437936627308,0.04092122454757452,-0.01622369139258184,-0.006741857865776524
cost10,gate:raw_gbm2,2020,253,-0.0034111529997296886,0.0346820749969449,0.15935961009966232,20.483478923170633,0.269594803720866,0.7304051962791338,0.022075766077592318,-0.19118801616522574,-0.1672456834885082
cost10,gate:raw_gbm2,2021,252,0.04695489321683484,0.051407772412278896,0.05448473300197072,15.354818753728676,0.20142552781734355,0.7985744721826565,0.051191330564063,-0.03612906533883253,-0.02830816640219247
cost10,gate:raw_gbm2,2022,251,-0.08275806067429602,-0.05782675080175606,0.12892196573260886,29.502092156295383,0.5406549328659389,0.4593450671340609,-0.06397225693607311,-0.130009141437198,-0.08359883543712265
cost10,gate:raw_gbm2,2023,250,0.0714297410080525,0.0725778824642159,0.027666362923996213,13.938122500115822,0.07732016170962544,0.9226798382903746,0.07485586573673575,-0.020055845525332794,-0.018174802877885976
cost10,gate:raw_gbm2,2024,250,0.0643355510363654,0.06694798074394855,0.04173271863964083,15.0971123087917,0.12521945782665797,0.874780542173342,0.0683042741947022,-0.023334334447423277,-0.02119938098041607
cost10,gate:raw_ridge100,all,1756,-0.012998693913450167,0.0032901579460531214,0.10420765122102212,91.97889744899643,0.20456653536786176,0.7954334646321383,-0.002183709805375078,-0.21206533933410865,-0.19247691966171987
cost10,gate:raw_ridge100,excluding_2020,1503,-0.005893010839227024,0.004409632841134205,0.08287598639075629,81.47497704452203,0.20176002583260397,0.7982399741673959,,,
cost10,gate:raw_ridge100,2018,248,-0.051972219365834196,-0.03224108708949048,0.11469127335690867,22.346008776221606,0.3017585374410587,0.6982414625589413,-0.038053645335921815,-0.11501721071935267,-0.07568840086834405
