scope,asset,variant,rows,mse,residual_correlation
all,pooled,mean,2808,0.000641200358608103,
all,pooled,raw_ridge100,2808,0.000638029137648048,0.084267358033101
all,pooled,cal_ridge100,2808,0.0006446048098037864,-0.0052793560228417856
all,pooled,static_ridge100,2808,0.0006412015840538166,-0.004095455057069198
all,pooled,raw_gbm2,2808,0.0006383122551953397,0.0882594629835919
all,pooled,cal_gbm2,2808,0.0006425291114990875,0.03528288410802675
all,pooled,static_gbm2,2808,0.0006398822388917362,0.0635976787045257
all,SPY,mean,351,0.0006168739787357102,
all,SPY,raw_ridge100,351,0.0006126942287886936,0.09451146847550566
all,SPY,cal_ridge100,351,0.0006216179497874365,-0.01573266464390702
all,SPY,static_ridge100,351,0.0006168723656864219,0.0953525438469216
all,SPY,raw_gbm2,351,0.00061115514551873,0.10520934787509086
all,SPY,cal_gbm2,351,0.000618813862136488,0.02396450573927271
all,SPY,static_gbm2,351,0.0006163854342770618,0.04404605819829205
all,QQQ,mean,351,0.0008957767455559227,
all,QQQ,raw_ridge100,351,0.0009009005820024881,0.04326146605283631
all,QQQ,cal_ridge100,351,0.000908668416377367,-0.0403521565395616
all,QQQ,static_ridge100,351,0.0008957956806360135,-0.10256280672483542
all,QQQ,raw_gbm2,351,0.0009123772981564495,0.020044271476161064
all,QQQ,cal_gbm2,351,0.0009034994939841953,0.00337035665389526
all,QQQ,static_gbm2,351,0.0008932634194255459,0.1082424203460897
all,GLD,mean,351,0.0004569906953673075,
all,GLD,raw_ridge100,351,0.0004549540833981502,0.06693578277661304
all,GLD,cal_ridge100,351,0.0004582353718224999,-0.03133506456782578
all,GLD,static_ridge100,351,0.0004569866880908176,0.07622664073737649
all,GLD,raw_gbm2,351,0.0004591432685382586,0.03588936224704998
all,GLD,cal_gbm2,351,0.0004566128024157926,0.039798436266077264
all,GLD,static_gbm2,351,0.00045655012743243896,0.07071934277342604
all,IWM,mean,351,0.001170274607194811,
all,IWM,raw_ridge100,351,0.0011587225902071516,0.11112122237054106
all,IWM,cal_ridge100,351,0.0011704114634296782,0.03271150205456296
all,IWM,static_ridge100,351,0.0011702909727289645,-0.04182527802553555
all,IWM,raw_gbm2,351,0.0011643086994440723,0.09114471462183678
all,IWM,cal_gbm2,351,0.00117414670608376,0.022185859477923956
all,IWM,static_gbm2,351,0.0011686538919243078,0.04919671656724783
all,EFA,mean,351,0.0006566659565852965,
all,EFA,raw_ridge100,351,0.0006427128827528457,0.15258583779602886
all,EFA,cal_ridge100,351,0.0006558122349634377,0.04197062321539996
all,EFA,static_ridge100,351,0.0006566665289480213,-0.005003403162401991
all,EFA,raw_gbm2,351,0.0006367271973395489,0.1787151556759024
all,EFA,cal_gbm2,351,0.0006531380607036988,0.07587024665186011
all,EFA,static_gbm2,351,0.0006562800308644355,0.023971155651939288
all,EEM,mean,351,0.0007533916465974724,
all,EEM,raw_ridge100,351,0.0007454909262792156,0.10388246691853696
all,EEM,cal_ridge100,351,0.0007510752725868036,0.05828806035766741
all,EEM,static_ridge100,351,0.0007534143957598551,-0.051577259808716476
all,EEM,raw_gbm2,351,0.0007384515295678332,0.15238057718960532
all,EEM,cal_gbm2,351,0.0007446210283691198,0.1164397325324658
all,EEM,static_gbm2,351,0.0007515795255546403,0.05799211814952584
all,IEF,mean,351,9.505973271214673e-05,
all,IEF,raw_ridge100,351,9.736672649019347e-05,-0.021607406769634227
all,IEF,cal_ridge100,351,9.751874583804705e-05,-0.07694355409074746
all,IEF,static_ridge100,351,9.50291288945476e-05,0.10203092011749618
all,IEF,raw_gbm2,351,9.44021834444114e-05,0.05856548413176524
all,IEF,cal_gbm2,351,9.474754944727891e-05,0.023872550731674276
all,IEF,static_gbm2,351,9.432831861061164e-05,0.10889760416288728
all,TLT,mean,351,0.0004845695061161574,
all,TLT,raw_ridge100,351,0.0004913910812656465,-0.005195136398564295
all,TLT,cal_ridge100,351,0.0004934990236250212,-0.07866401972607974
all,TLT,static_ridge100,351,0.0004845569116858914,0.0773192571350451
all,TLT,raw_gbm2,351,0.0004899327195534137,0.04213992297032207
all,TLT,cal_gbm2,351,0.000494653388852367,-0.0010618852085586582
all,TLT,static_gbm2,351,0.00048201716304484683,0.09581585250836934
excluding_2020,pooled,mean,2408,0.0004897204629251309,
excluding_2020,pooled,raw_ridge100,2408,0.0004958208066220379,-0.00344509811329854
excluding_2020,pooled,cal_ridge100,2408,0.0004936904375752467,-0.0007686562377349601
excluding_2020,pooled,static_ridge100,2408,0.0004897218919332554,-0.005063689300435368
excluding_2020,pooled,raw_gbm2,2408,0.0004950955311000521,0.03323347082053258
excluding_2020,pooled,cal_gbm2,2408,0.0004912699388877075,0.04591957719012049
excluding_2020,pooled,static_gbm2,2408,0.0004881833864452478,0.06208525460668941
excluding_2020,SPY,mean,301,0.0004461533612165156,
excluding_2020,SPY,raw_ridge100,301,0.00045512625415999083,-0.02655571157602774
excluding_2020,SPY,cal_ridge100,301,0.00045168536732666817,-0.01807898307539409
excluding_2020,SPY,static_ridge100,301,0.00044615148021884054,0.11841337166162019
excluding_2020,SPY,raw_gbm2,301,0.00045357459676469467,0.0018038535926207095
excluding_2020,SPY,cal_gbm2,301,0.00044841548438486444,0.030537671077282717
excluding_2020,SPY,static_gbm2,301,0.0004455836631933077,0.050370668757493985
excluding_2020,QQQ,mean,301,0.0007889455242966827,
excluding_2020,QQQ,raw_ridge100,301,0.000809859732491718,-0.04459681801820775
excluding_2020,QQQ,cal_ridge100,301,0.0008039786686765066,-0.03884342188399391
excluding_2020,QQQ,static_ridge100,301,0.0007889676047389148,-0.1046458319775296
excluding_2020,QQQ,raw_gbm2,301,0.0008164282078718779,-0.026132539834625882
excluding_2020,QQQ,cal_gbm2,301,0.0007979511213010805,0.006471206123649435
excluding_2020,QQQ,static_gbm2,301,0.0007860147021313596,0.10836981754821813
excluding_2020,GLD,mean,301,0.0003234482813674211,
excluding_2020,GLD,raw_ridge100,301,0.0003277185580479363,-0.043872919708455214
excluding_2020,GLD,cal_ridge100,301,0.00032489971470885804,-0.03254912023564724
excluding_2020,GLD,static_ridge100,301,0.0003234436084303847,0.08035360035517264
excluding_2020,GLD,raw_gbm2,301,0.00032523563613286866,0.021014001391146862
excluding_2020,GLD,cal_gbm2,301,0.0003230076155003722,0.043352033298103686
excluding_2020,GLD,static_gbm2,301,0.0003229345293902157,0.06856347361105236
excluding_2020,IWM,mean,301,0.0008491444907507351,
excluding_2020,IWM,raw_ridge100,301,0.0008518600731242783,0.04212470003048722
excluding_2020,IWM,cal_ridge100,301,0.0008493040805794342,0.049140541084534924
excluding_2020,IWM,static_ridge100,301,0.0008491635748121565,-0.03823654642098488
excluding_2020,IWM,raw_gbm2,301,0.0008610385015552658,0.014087053489397617
excluding_2020,IWM,cal_gbm2,301,0.0008536597954351907,0.03351159684247104
excluding_2020,IWM,static_gbm2,301,0.0008472545536745004,0.043078979876224575
excluding_2020,EFA,mean,301,0.00043662986575887936,
excluding_2020,EFA,raw_ridge100,301,0.0004362119080449692,0.05509185948338404
excluding_2020,EFA,cal_ridge100,301,0.0004356343299141203,0.05836027084875209
excluding_2020,EFA,static_ridge100,301,0.00043663053319846875,0.003976224399495461
excluding_2020,EFA,raw_gbm2,301,0.0004330457292999761,0.09665508418100517
excluding_2020,EFA,cal_gbm2,301,0.0004325159406610694,0.10206498838257548
excluding_2020,EFA,static_gbm2,301,0.0004361798327754168,0.018303624694033124
excluding_2020,EEM,mean,301,0.0005880116350576878,
excluding_2020,EEM,raw_ridge100,301,0.0005878160151714397,0.03955811421392347
excluding_2020,EEM,cal_ridge100,301,0.0005853104813110275,0.07341785572776345
excluding_2020,EEM,static_ridge100,301,0.000588038163150699,-0.045162990650789325
excluding_2020,EEM,raw_gbm2,301,0.000578107757950938,0.15043061957796308
excluding_2020,EEM,cal_gbm2,301,0.0005777841035023661,0.14926141008155405
excluding_2020,EEM,static_gbm2,301,0.0005858984972303322,0.04719426527902094
excluding_2020,IEF,mean,301,9.416512016384146e-05,
excluding_2020,IEF,raw_ridge100,301,9.697266121193928e-05,-0.02762549224375559
excluding_2020,IEF,cal_ridge100,301,9.703260723092123e-05,-0.0725615309854073
excluding_2020,IEF,static_ridge100,301,9.412943265561123e-05,0.09212318712070623
excluding_2020,IEF,raw_gbm2,301,9.35653231540353e-05,0.02599245642809701
excluding_2020,IEF,cal_gbm2,301,9.380107921377965e-05,0.0047040430859122285
excluding_2020,IEF,static_gbm2,301,9.331220870324738e-05,0.09735399860752651
excluding_2020,TLT,mean,301,0.00039126542478928406,
excluding_2020,TLT,raw_ridge100,301,0.0004010012507240322,-0.04276481745031407
excluding_2020,TLT,cal_ridge100,301,0.00040167825085443747,-0.08216679612877074
excluding_2020,TLT,static_ridge100,301,0.0003912507382609671,0.07501032852465454
excluding_2020,TLT,raw_gbm2,301,0.0003997684960707609,0.03076535744024093
excluding_2020,TLT,cal_gbm2,301,0.0004030243711029371,0.00437660015324561
excluding_2020,TLT,static_gbm2,301,0.00038828910446360296,0.09439227163870044
2018,pooled,mean,400,0.0004403399713484564,
2018,pooled,raw_ridge100,400,0.0004483322472351946,0.007140018647898975
2018,pooled,cal_ridge100,400,0.0004403399713484564,
2018,pooled,static_ridge100,400,0.0004403399713484564,
2018,pooled,raw_gbm2,400,0.0004588373564183861,0.003993785427468835
2018,pooled,cal_gbm2,400,0.0004403399713484564,
2018,pooled,static_gbm2,400,0.0004403399713484564,
2018,SPY,mean,50,0.0005295444684138472,
2018,SPY,raw_ridge100,50,0.0005518068582719889,-0.03247729962754378
2018,SPY,cal_ridge100,50,0.0005295444684138472,
2018,SPY,static_ridge100,50,0.0005295444684138472,
2018,SPY,raw_gbm2,50,0.0005420080345671375,0.05056245406612679
2018,SPY,cal_gbm2,50,0.0005295444684138472,
2018,SPY,static_gbm2,50,0.0005295444684138472,
2018,QQQ,mean,50,0.0008697989771347418,
2018,QQQ,raw_ridge100,50,0.0008997883411753401,-0.014519757090129475
2018,QQQ,cal_ridge100,50,0.0008697989771347418,
2018,QQQ,static_ridge100,50,0.0008697989771347418,
2018,QQQ,raw_gbm2,50,0.0009624413675388643,-0.033808613217547884
2018,QQQ,cal_gbm2,50,0.0008697989771347418,
2018,QQQ,static_gbm2,50,0.0008697989771347418,
2018,GLD,mean,50,0.0001503223136861184,
2018,GLD,raw_ridge100,50,0.00015436559564339355,-0.14382739118620594
2018,GLD,cal_ridge100,50,0.0001503223136861184,
2018,GLD,static_ridge100,50,0.0001503223136861184,
2018,GLD,raw_gbm2,50,0.0001509292046053778,-0.0034117339438919513
2018,GLD,cal_gbm2,50,0.0001503223136861184,
2018,GLD,static_gbm2,50,0.0001503223136861184,
2018,IWM,mean,50,0.0006753931564499346,
2018,IWM,raw_ridge100,50,0.0007039784195009023,-0.08686277061771011
2018,IWM,cal_ridge100,50,0.0006753931564499346,
2018,IWM,static_ridge100,50,0.0006753931564499346,
2018,IWM,raw_gbm2,50,0.000724673305114688,-0.09176082990528218
2018,IWM,cal_gbm2,50,0.0006753931564499346,
2018,IWM,static_gbm2,50,0.0006753931564499346,
2018,EFA,mean,50,0.0003732429514048723,
2018,EFA,raw_ridge100,50,0.0003766048774085745,0.10859144516876208
2018,EFA,cal_ridge100,50,0.0003732429514048723,
2018,EFA,static_ridge100,50,0.0003732429514048723,
2018,EFA,raw_gbm2,50,0.0003755100618424032,0.004471250994255216
2018,EFA,cal_gbm2,50,0.0003732429514048723,
2018,EFA,static_gbm2,50,0.0003732429514048723,
2018,EEM,mean,50,0.0007163158721312949,
2018,EEM,raw_ridge100,50,0.0007035949719962518,0.2915150706152083
2018,EEM,cal_ridge100,50,0.0007163158721312949,
2018,EEM,static_ridge100,50,0.0007163158721312949,
2018,EEM,raw_gbm2,50,0.000709058971806999,0.2292171370355815
2018,EEM,cal_gbm2,50,0.0007163158721312949,
2018,EEM,static_gbm2,50,0.0007163158721312949,
2018,IEF,mean,50,3.4927299198737495e-05,
2018,IEF,raw_ridge100,50,3.22072554918826e-05,0.388608003273254
2018,IEF,cal_ridge100,50,3.4927299198737495e-05,
2018,IEF,static_ridge100,50,3.4927299198737495e-05,
2018,IEF,raw_gbm2,50,3.4591994488049136e-05,0.09924537558254068
2018,IEF,cal_gbm2,50,3.4927299198737495e-05,
2018,IEF,static_gbm2,50,3.4927299198737495e-05,
2018,TLT,mean,50,0.0001731747323681041,
2018,TLT,raw_ridge100,50,0.0001643116583932229,0.30200212907110674
2018,TLT,cal_ridge100,50,0.0001731747323681041,
2018,TLT,static_ridge100,50,0.0001731747323681041,
2018,TLT,raw_gbm2,50,0.00017148591138357045,0.04338287551636304
2018,TLT,cal_gbm2,50,0.0001731747323681041,
2018,TLT,static_gbm2,50,0.0001731747323681041,
2019,pooled,mean,408,0.00027204707689689606,
2019,pooled,raw_ridge100,408,0.00027290546768000084,0.05278479030130157
2019,pooled,cal_ridge100,408,0.00027204707689689606,
2019,pooled,static_ridge100,408,0.00027204707689689606,
2019,pooled,raw_gbm2,408,0.0002744706187858483,0.05451478003033206
2019,pooled,cal_gbm2,408,0.00027204707689689606,
2019,pooled,static_gbm2,408,0.00027204707689689606,
2019,SPY,mean,51,0.00021366264249990746,
2019,SPY,raw_ridge100,51,0.00020922673581987535,0.20246859733463182
2019,SPY,cal_ridge100,51,0.00021366264249990746,
2019,SPY,static_ridge100,51,0.00021366264249990746,
2019,SPY,raw_gbm2,51,0.00022516833645685214,-0.12303472111189406
2019,SPY,cal_gbm2,51,0.00021366264249990746,
2019,SPY,static_gbm2,51,0.00021366264249990746,
2019,QQQ,mean,51,0.0003143667964626461,
2019,QQQ,raw_ridge100,51,0.00031257185897195605,0.09492761601430816
2019,QQQ,cal_ridge100,51,0.0003143667964626461,
2019,QQQ,static_ridge100,51,0.0003143667964626461,
2019,QQQ,raw_gbm2,51,0.0003174980249192474,0.06701875937978044
2019,QQQ,cal_gbm2,51,0.0003143667964626461,
2019,QQQ,static_gbm2,51,0.0003143667964626461,
2019,GLD,mean,51,0.00025657185531363224,
2019,GLD,raw_ridge100,51,0.00025630123577148503,0.16092829105737483
2019,GLD,cal_ridge100,51,0.00025657185531363224,
2019,GLD,static_ridge100,51,0.00025657185531363224,
2019,GLD,raw_gbm2,51,0.0002632926064196437,0.07218126362091323
2019,GLD,cal_gbm2,51,0.00025657185531363224,
2019,GLD,static_gbm2,51,0.00025657185531363224,
2019,IWM,mean,51,0.000413585733473139,
2019,IWM,raw_ridge100,51,0.00040973008052720667,0.090740300891229
2019,IWM,cal_ridge100,51,0.000413585733473139,
2019,IWM,static_ridge100,51,0.000413585733473139,
2019,IWM,raw_gbm2,51,0.0004086659227671269,0.13946283360537312
2019,IWM,cal_gbm2,51,0.000413585733473139,
2019,IWM,static_gbm2,51,0.000413585733473139,
2019,EFA,mean,51,0.00021811609511987245,
2019,EFA,raw_ridge100,51,0.00022085695756395756,0.02708323675961885
2019,EFA,cal_ridge100,51,0.00021811609511987245,
2019,EFA,static_ridge100,51,0.00021811609511987245,
2019,EFA,raw_gbm2,51,0.00022693966704493882,-0.1714251754970532
2019,EFA,cal_gbm2,51,0.00021811609511987245,
2019,EFA,static_gbm2,51,0.00021811609511987245,
2019,EEM,mean,51,0.00040922025601148487,
2019,EEM,raw_ridge100,51,0.0004200563352860223,-0.09721888345330164
2019,EEM,cal_ridge100,51,0.00040922025601148487,
2019,EEM,static_ridge100,51,0.00040922025601148487,
