scope,variant,rows,rank_ic,mse,skill_vs_past_mean,normalized_mse
all,raw_ridge100,2912,0.0751569858712716,0.0006353733888239272,0.010206475856788133,1.2269385150579093
excluding_2020,raw_ridge100,2488,0.06652886234879805,0.0004957775736579938,-0.010101637533057373,1.0650519889994026
2018,raw_ridge100,416,0.1208791208791209,0.0004653642036283163,0.0012263308520447103,1.3823772099017364
2019,raw_ridge100,416,0.07280219780219783,0.0002995477739987843,0.00673717191116896,0.9380100386522453
2020,raw_ridge100,424,0.12578616352201258,0.001454511096684405,0.04846969348788399,2.1768764321182035
2021,raw_ridge100,416,0.07646520146520148,0.0004271909300489465,0.005378164832641752,0.9633575133358926
2022,raw_ridge100,416,-0.046245421245421255,0.0008563675711691186,-0.046325842082152846,0.9780151882718263
2023,raw_ridge100,416,0.10531135531135533,0.00042632504789919,0.0037892156299323965,0.9113423886470096
2024,raw_ridge100,408,0.07002801120448181,0.000499950157194697,0.0035110379270687497,1.2201930776619865
all,raw_gbm2,2912,0.029760582000593165,0.0006362639862360838,0.008819090790499806,1.2267288230702964
excluding_2020,raw_gbm2,2488,0.025998589042978772,0.0004947042812078009,-0.007914901950217823,1.0637065530507992
2018,raw_gbm2,416,0.023960775320692553,0.00047281347826205197,-0.014761446678797308,1.394065069686887
2019,raw_gbm2,416,-0.04752407941036591,0.00030522827773238375,-0.0120986656184634,0.9272713188146273
2020,raw_gbm2,424,0.05183567275187758,0.0014669256515907252,0.04034818430026077,2.1833311999771574
2021,raw_gbm2,416,0.0906879878316685,0.00042585423962189533,0.008490359853851381,0.9667001566818013
2022,raw_gbm2,416,0.005836534620344578,0.0008338793610611308,-0.018849328292592338,0.9591657728146347
2023,raw_gbm2,416,0.07870083132197132,0.00042984865882274157,-0.00444454689296836,0.9159861892781878
2024,raw_gbm2,408,0.0039046001722005336,0.000500717306855206,0.0019819731634037607,1.2220967768713593
all,raw_mlp16,2912,0.031004709576138153,0.0006395188819617284,0.0037485688459660826,1.2525749360222864
excluding_2020,raw_mlp16,2488,0.018527024957893132,0.0005037187607518309,-0.02628108273921481,1.0864694656063592
2018,raw_mlp16,416,0.03205128205128206,0.0004713303413580091,-0.011578309523102348,1.4533743096102956
2019,raw_mlp16,416,-0.027014652014652005,0.0003058539323027509,-0.014173257659905625,0.9296163464592433
2020,raw_mlp16,424,0.10422282120395326,0.0014363837441556558,0.06032847225365123,2.2272693001610295
2021,raw_mlp16,416,0.10073260073260075,0.00043067313555481804,-0.002729398757912449,0.9740793146603294
2022,raw_mlp16,416,-0.054029304029304025,0.0008336280010491326,-0.01854221195017791,0.9354756310109534
2023,raw_mlp16,416,-0.002289377289377283,0.00047274043209212833,-0.1046714683517862,0.9950541829117314
2024,raw_mlp16,408,0.06255835667600373,0.0005081723684561523,-0.01287728128428256,1.234055196110686
all,risk_ridge100,2912,0.06299058084772372,0.0006480669380959199,-0.009567712185722055,1.2268051363605676
excluding_2020,risk_ridge100,2488,0.06139947940591027,0.0004937582012746442,-0.005987350280892034,1.0617337631141006
2018,risk_ridge100,416,0.07692307692307693,0.00046221759147233526,0.0079796508193124,1.3876446338753776
2019,risk_ridge100,416,0.04807692307692308,0.00029928211815028605,0.007618053367422939,0.9266985307876077
2020,risk_ridge100,424,0.07232704402515723,0.0015535389598207653,-0.016313595672422965,2.1954314963539865
2021,risk_ridge100,416,0.08104395604395608,0.0004286532575330893,0.0019734510534256122,0.9680197899156339
2022,risk_ridge100,416,-0.052655677655677684,0.0008427718099893386,-0.02971428795036779,0.9581949957714755
2023,risk_ridge100,416,0.12179487179487183,0.0004287616951992424,-0.001904595535937359,0.9125582769715183
2024,risk_ridge100,408,0.09383753501400562,0.0005010020398923759,0.001414449932149231,1.22033640211297
all,risk_gbm2,2912,0.0052982731554160134,0.0006331234086881975,0.013711526283779252,1.222512437728519
excluding_2020,risk_gbm2,2488,-0.003981013627315872,0.0004930876593074044,-0.0046211821136912246,1.0605166261562289
2018,risk_gbm2,416,0.04624542124542126,0.0004679419646621142,-0.004306109816660575,1.3936161397959395
2019,risk_gbm2,416,-0.061813186813186816,0.00030652707533451593,-0.016405315479977922,0.9290255722049741
2020,risk_gbm2,424,0.05974842767295596,0.00145484261731889,0.04825281516246882,2.1730916339357313
2021,risk_gbm2,416,-0.011446886446886443,0.0004259150641131663,0.008348743160060401,0.9644825224019326
2022,risk_gbm2,416,-0.04395604395604397,0.0008305947916406372,-0.014836180223377848,0.9460869762225204
2023,risk_gbm2,416,0.05311355311355311,0.00042943661633198783,-0.003481710730912413,0.9141954145922113
2024,risk_gbm2,408,-0.0060690943043884265,0.0004982089297317023,0.006981611788008268,1.2187358082994733
all,risk_mlp16,2912,0.040423861852433296,0.0007487334262476637,-0.16638737102486,1.2936500525225465
excluding_2020,risk_mlp16,2488,0.03184810901852704,0.0005159085368323097,-0.05111664092956336,1.1026536506261473
2018,risk_mlp16,416,0.01282051282051283,0.000535657504129165,-0.14963851244782034,1.5621832887258729
