candidate,outer_year,stage,selected_epoch,first_stopping_mse,last_stopping_mse,training_loss_change
mlp16,2018,inner,10.0,0.0004328794212847185,0.0004605235513204248,-5.068245532030682e-05
mlp32,2018,inner,5.0,0.0004328489857138507,0.0006357967448143745,-0.00010657342311937558
sequence16,2018,inner,85.0,0.00045891250035323206,0.00039692942121135374,-0.00022702125311809766
sequence32,2018,inner,20.0,0.00043321781250762125,0.0004554376801692542,-0.00024325620444810218
mlp16,2018,inner,5.0,0.000472850597856851,0.0004917981710016089,-2.4062690535085697e-05
mlp32,2018,inner,5.0,0.0004536823778832825,0.0005692188303919193,-6.385250814534897e-05
sequence16,2018,inner,15.0,0.0004788420611429789,0.0004992741083580194,-0.00012444397317945327
sequence32,2018,inner,10.0,0.00048657244782563617,0.0005842011890813035,-0.00019307409002051226
mlp16,2018,outer,5.0,0.00015613471318188526,0.0001619761846152664,-1.5064359185045656e-05
mlp32,2018,outer,20.0,0.00015605871478335446,0.00016937075266442136,-6.992314843129753e-05
sequence16,2018,outer,10.0,0.00015946842294346455,0.00018115070992390903,-7.92540941639444e-05
sequence32,2018,outer,5.0,0.00014444075193093995,0.00018006430478599523,-0.00011596885443142984
mlp16,2019,inner,5.0,0.000472850597856851,0.0004917981710016089,-2.4062690535085697e-05
mlp32,2019,inner,5.0,0.0004536823778832825,0.0005692188303919193,-6.385250814534897e-05
sequence16,2019,inner,15.0,0.0004788420611429789,0.0004992741083580194,-0.00012444397317945327
sequence32,2019,inner,10.0,0.00048657244782563617,0.0005842011890813035,-0.00019307409002051226
mlp16,2019,inner,5.0,0.00015613471318188526,0.0001619761846152664,-1.5064359185045656e-05
mlp32,2019,inner,20.0,0.00015605871478335446,0.00016937075266442136,-6.992314843129753e-05
sequence16,2019,inner,10.0,0.00015946842294346455,0.00018115070992390903,-7.92540941639444e-05
sequence32,2019,inner,5.0,0.00014444075193093995,0.00018006430478599523,-0.00011596885443142984
mlp16,2019,outer,5.0,0.0008589754318519832,0.0008594900416550456,-1.2269992097873987e-05
mlp32,2019,outer,5.0,0.0008319606817884912,0.0008617097299650464,-4.104165247671086e-05
sequence16,2019,outer,5.0,0.0008441261167744658,0.001104132062278331,-5.8604804247904354e-05
sequence32,2019,outer,5.0,0.0007864729309719141,0.001118323545783368,-9.573284024847091e-05
mlp16,2020,inner,5.0,0.00015613471318188526,0.0001619761846152664,-1.5064359185045656e-05
mlp32,2020,inner,20.0,0.00015605871478335446,0.00016937075266442136,-6.992314843129753e-05
sequence16,2020,inner,10.0,0.00015946842294346455,0.00018115070992390903,-7.92540941639444e-05
sequence32,2020,inner,5.0,0.00014444075193093995,0.00018006430478599523,-0.00011596885443142984
mlp16,2020,inner,5.0,0.0008589754318519832,0.0008594900416550456,-1.2269992097873987e-05
mlp32,2020,inner,5.0,0.0008319606817884912,0.0008617097299650464,-4.104165247671086e-05
sequence16,2020,inner,5.0,0.0008441261167744658,0.001104132062278331,-5.8604804247904354e-05
sequence32,2020,inner,5.0,0.0007864729309719141,0.001118323545783368,-9.573284024847091e-05
mlp16,2020,outer,5.0,0.00019536706472088802,0.00020638676406937236,-1.0040888520342539e-05
mlp32,2020,outer,5.0,0.00018253226655254393,0.00024254200080236718,-3.792907215485525e-05
sequence16,2020,outer,5.0,0.00018293870249862983,0.00020156481560169582,-4.7392371647543086e-05
sequence32,2020,outer,5.0,0.00019283835309562395,0.0002283991318390365,-9.073533977909531e-05
mlp16,2021,inner,5.0,0.0008589754318519832,0.0008594900416550456,-1.2269992097873987e-05
mlp32,2021,inner,5.0,0.0008319606817884912,0.0008617097299650464,-4.104165247671086e-05
sequence16,2021,inner,5.0,0.0008441261167744658,0.001104132062278331,-5.8604804247904354e-05
sequence32,2021,inner,5.0,0.0007864729309719141,0.001118323545783368,-9.573284024847091e-05
mlp16,2021,inner,5.0,0.00019536706472088802,0.00020638676406937236,-1.0040888520342539e-05
mlp32,2021,inner,5.0,0.00018253226655254393,0.00024254200080236718,-3.792907215485525e-05
sequence16,2021,inner,5.0,0.00018293870249862983,0.00020156481560169582,-4.7392371647543086e-05
sequence32,2021,inner,5.0,0.00019283835309562395,0.0002283991318390365,-9.073533977909531e-05
mlp16,2021,outer,5.0,0.0010264622248067393,0.0011006624511859366,-1.3873324087821325e-05
mlp32,2021,outer,5.0,0.000980420773442769,0.0010721246162230388,-6.048549063480903e-05
sequence16,2021,outer,5.0,0.0009852187140428298,0.0010069029611373373,-6.725683900449578e-05
sequence32,2021,outer,35.0,0.0009681641709456116,0.0008468490334696521,-0.00017900790868422982
mlp16,2022,inner,5.0,0.00019536706472088802,0.00020638676406937236,-1.0040888520342539e-05
mlp32,2022,inner,5.0,0.00018253226655254393,0.00024254200080236718,-3.792907215485525e-05
sequence16,2022,inner,5.0,0.00018293870249862983,0.00020156481560169582,-4.7392371647543086e-05
sequence32,2022,inner,5.0,0.00019283835309562395,0.0002283991318390365,-9.073533977909531e-05
mlp16,2022,inner,5.0,0.0010264622248067393,0.0011006624511859366,-1.3873324087821325e-05
mlp32,2022,inner,5.0,0.000980420773442769,0.0010721246162230388,-6.048549063480903e-05
sequence16,2022,inner,5.0,0.0009852187140428298,0.0010069029611373373,-6.725683900449578e-05
sequence32,2022,inner,35.0,0.0009681641709456116,0.0008468490334696521,-0.00017900790868422982
mlp16,2022,outer,20.0,0.0005472427228465321,0.0005503300675240695,-1.5953553656540185e-05
mlp32,2022,outer,5.0,0.0005525158385539018,0.0006010225550920418,-5.513617626851173e-05
sequence16,2022,outer,15.0,0.0005486869967305078,0.0005816291305118929,-6.713021984452024e-05
sequence32,2022,outer,5.0,0.000539452611109009,0.0006783473856228235,-0.0001290245636437185
mlp16,2023,inner,5.0,0.0010264622248067393,0.0011006624511859366,-1.3873324087821325e-05
mlp32,2023,inner,5.0,0.000980420773442769,0.0010721246162230388,-6.048549063480903e-05
sequence16,2023,inner,5.0,0.0009852187140428298,0.0010069029611373373,-6.725683900449578e-05
sequence32,2023,inner,35.0,0.0009681641709456116,0.0008468490334696521,-0.00017900790868422982
mlp16,2023,inner,20.0,0.0005472427228465321,0.0005503300675240695,-1.5953553656540185e-05
mlp32,2023,inner,5.0,0.0005525158385539018,0.0006010225550920418,-5.513617626851173e-05
sequence16,2023,inner,15.0,0.0005486869967305078,0.0005816291305118929,-6.713021984452024e-05
sequence32,2023,inner,5.0,0.000539452611109009,0.0006783473856228235,-0.0001290245636437185
mlp16,2023,outer,85.0,0.0007208838499966251,0.0006724961779840339,-3.3518682079191914e-05
mlp32,2023,outer,25.0,0.0007032645809897885,0.0006813552168044043,-8.491401669810764e-05
sequence16,2023,outer,5.0,0.0007839584656318862,0.0009351546990825574,-5.7913156939262786e-05
sequence32,2023,outer,5.0,0.0007211880493237526,0.000872005173457275,-0.00012929530845450144
mlp16,2024,inner,20.0,0.0005472427228465321,0.0005503300675240695,-1.5953553656540185e-05
mlp32,2024,inner,5.0,0.0005525158385539018,0.0006010225550920418,-5.513617626851173e-05
sequence16,2024,inner,15.0,0.0005486869967305078,0.0005816291305118929,-6.713021984452024e-05
sequence32,2024,inner,5.0,0.000539452611109009,0.0006783473856228235,-0.0001290245636437185
mlp16,2024,inner,85.0,0.0007208838499966251,0.0006724961779840339,-3.3518682079191914e-05
mlp32,2024,inner,25.0,0.0007032645809897885,0.0006813552168044043,-8.491401669810764e-05
sequence16,2024,inner,5.0,0.0007839584656318862,0.0009351546990825574,-5.7913156939262786e-05
sequence32,2024,inner,5.0,0.0007211880493237526,0.000872005173457275,-0.00012929530845450144
mlp16,2024,outer,5.0,0.0006668459896790244,0.0006739018255982928,-1.400006173000437e-05
mlp32,2024,outer,5.0,0.0006606996949964162,0.0006895206756540978,-5.8175335902877065e-05
sequence16,2024,outer,10.0,0.000598149940545168,0.0005950540765082736,-5.549051298919935e-05
sequence32,2024,outer,10.0,0.0006209990611164426,0.0007773986234711583,-0.00013029700074644493
