model,year,rows,squared_error_share
ridge100,2018,416,0.1046323338177352
ridge100,2019,416,0.06735022255479127
ridge100,2020,424,0.3333208674738948
ridge100,2021,416,0.09604946759611571
ridge100,2022,416,0.19254540181353608
ridge100,2023,416,0.09585478293959558
ridge100,2024,408,0.11024692380433132
gbm2,2018,416,0.10615842491484695
gbm2,2019,416,0.0685313653126921
gbm2,2020,424,0.33569528924618375
gbm2,2021,416,0.09561490397385447
gbm2,2022,416,0.1872267259906358
gbm2,2023,416,0.09651175076504602
gbm2,2024,408,0.11026153979674101
mlp16,2018,416,0.10528681452178991
mlp16,2019,416,0.06832232813261595
mlp16,2020,424,0.32703301313358163
mlp16,2021,416,0.09620471793101827
mlp16,2022,416,0.18621766736625808
mlp16,2023,416,0.1056018037099553
mlp16,2024,408,0.11133365520478089
selected,2018,416,0.10568982904240473
selected,2019,416,0.07291310488497037
selected,2020,424,0.3313850500769967
selected,2021,416,0.0957724167103504
selected,2022,416,0.18804189997913942
selected,2023,416,0.09608573645589488
selected,2024,408,0.11011196285024323
past_mean,2018,416,0.1036915665959986
past_mean,2019,416,0.06711497928761168
past_mean,2020,424,0.34672446461195083
past_mean,2021,416,0.09558320324632921
past_mean,2022,416,0.1821422965520402
past_mean,2023,416,0.09523731814623751
past_mean,2024,408,0.10950617155983192
