training_mse,validation_mse,validation_rows,training_rows,training_dates,last_training_outcome,first_validation_signal,warnings,candidate,outer_year,validation_year,stage
0.00044748599926671214,0.0005133595079141792,156,969,323,2016-01-07 00:00:00+00:00,2016-01-08 00:00:00+00:00,,ridge1,2018,2016,inner
0.00044839529924470256,0.00046380750108217684,156,969,323,2016-01-07 00:00:00+00:00,2016-01-08 00:00:00+00:00,,ridge100,2018,2016,inner
0.00038034840751431805,0.0004280961046597044,156,969,323,2016-01-07 00:00:00+00:00,2016-01-08 00:00:00+00:00,,gbm2,2018,2016,inner
0.0003451772451218994,0.0004277405015742787,156,969,323,2016-01-07 00:00:00+00:00,2016-01-08 00:00:00+00:00,,gbm3,2018,2016,inner
0.00038960965216116477,0.0005190773145807116,156,969,323,2016-01-07 00:00:00+00:00,2016-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2018,2016,inner
0.0002745292083586426,0.0007758765150450944,156,969,323,2016-01-07 00:00:00+00:00,2016-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2018,2016,inner
0.0002555349293942676,0.0004927005838607811,156,969,323,2016-01-07 00:00:00+00:00,2016-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2018,2016,inner
6.029639298962322e-05,0.0006642317926231356,156,969,323,2016-01-07 00:00:00+00:00,2016-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2018,2016,inner
0.0004444162713392393,0.00023488581321416135,153,1722,574,2017-01-05 00:00:00+00:00,2017-01-06 00:00:00+00:00,,ridge1,2018,2017,inner
0.00044465457044708155,0.00023164666772228153,153,1722,574,2017-01-05 00:00:00+00:00,2017-01-06 00:00:00+00:00,,ridge100,2018,2017,inner
0.0003896770547048137,0.00023902208764759657,153,1722,574,2017-01-05 00:00:00+00:00,2017-01-06 00:00:00+00:00,,gbm2,2018,2017,inner
0.00035019700593972203,0.00026315364776416546,153,1722,574,2017-01-05 00:00:00+00:00,2017-01-06 00:00:00+00:00,,gbm3,2018,2017,inner
0.00038748814332590015,0.0004444827981129074,153,1722,574,2017-01-05 00:00:00+00:00,2017-01-06 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2018,2017,inner
0.00028455500945464825,0.0007544190556956034,153,1722,574,2017-01-05 00:00:00+00:00,2017-01-06 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2018,2017,inner
