year,asset,model,rows,dates,mse,mae,correlation
all,pooled,ridge1,1092,364,0.0006607334229080041,0.018767510666482724,0.06040676105669366
all,pooled,ridge100,1092,364,0.0006595653626123047,0.018751045850498967,0.06303803856868097
all,pooled,gbm2,1092,364,0.0006780356853944893,0.018920270702440508,0.00542488634175857
all,pooled,gbm3,1092,364,0.0006865701270109826,0.01901835546191685,-0.0038533903832105583
all,pooled,mlp16,1092,364,0.0006830126830534507,0.018991331867636782,0.07429137709638553
all,pooled,mlp32,1092,364,0.0008204279988081683,0.0204586970892708,0.110784490398608
all,pooled,sequence16,1092,364,0.000778671976719669,0.020427395874627143,-0.0022786058640791762
all,pooled,sequence32,1092,364,0.0008717422990144434,0.021779017099547507,0.04189929054921185
all,pooled,selected,1092,364,0.0006668657681438925,0.018834615503489482,0.044820803954673194
all,pooled,zero,1092,364,0.0006633254816623748,0.018811698322152657,
all,pooled,past_mean,1092,364,0.0006568485018003651,0.018559170544948364,-0.004242633661304271
all,SPY,ridge1,364,364,0.0006351476242192165,0.01816209817845606,0.09547110180437318
all,SPY,ridge100,364,364,0.0006339119330699273,0.01814891719398922,0.10018481560566514
all,SPY,gbm2,364,364,0.0006525559552633745,0.018336346586368936,0.02935920865707154
all,SPY,gbm3,364,364,0.0006666896443373543,0.018501312138260992,0.0035739596568311748
all,SPY,mlp16,364,364,0.0006692696594489562,0.01848377017417949,0.07651562168236427
all,SPY,mlp32,364,364,0.0008460662086231713,0.020082560118830743,0.1368848474543885
all,SPY,sequence16,364,364,0.0007713906135837137,0.019591422780074048,-0.025834007191304298
all,SPY,sequence32,364,364,0.0008394015184629563,0.020822105299002032,0.0707395651852602
all,SPY,selected,364,364,0.0006464816403272984,0.018356801547163033,0.05371859652997153
all,SPY,zero,364,364,0.0006456417182534558,0.018364362787503943,
all,SPY,past_mean,364,364,0.0006397647364646072,0.01801291619430675,-0.06823268970907129
all,QQQ,ridge1,364,364,0.0009610983056771103,0.023966915530507893,0.032867750818784444
all,QQQ,ridge100,364,364,0.000959726947543462,0.02395201123631436,0.03484382588049735
all,QQQ,gbm2,364,364,0.0010032575126491061,0.024412805841759744,-0.04376608513105764
all,QQQ,gbm3,364,364,0.0010109088798909815,0.024486953937325966,-0.04078462273316471
all,QQQ,mlp16,364,364,0.0009906100008746116,0.024259811698166003,0.06705149038430452
all,QQQ,mlp32,364,364,0.0011668615894139798,0.02611589121064236,0.0838395513728472
all,QQQ,sequence16,364,364,0.0011138701104091507,0.025650613439540313,0.0005750760935244849
all,QQQ,sequence32,364,364,0.0012719869684041643,0.027173084690052536,0.012124116530670795
all,QQQ,selected,364,364,0.0009717611371047517,0.024137898975530474,0.023951006145411048
all,QQQ,zero,364,364,0.0009600894670155582,0.024028212870713116,
all,QQQ,past_mean,364,364,0.0009491829957682651,0.023693907377465448,-0.09623201965522629
all,GLD,ridge1,364,364,0.00038595433882768557,0.014173518290484211,0.0344126742151778
all,GLD,ridge100,364,364,0.0003850572072235249,0.014152209121193315,0.03586420058468347
all,GLD,gbm2,364,364,0.0003782935882709872,0.01401165967919284,0.09451950415911771
all,GLD,gbm3,364,364,0.000382111856804612,0.014066800310163594,0.07461708317721122
all,GLD,mlp16,364,364,0.00038915838883678446,0.014230413730564844,0.07178518700693712
all,GLD,mlp32,364,364,0.00044835619838735376,0.015177639938339307,0.11767284541297464
all,GLD,sequence16,364,364,0.0004507552061661427,0.016040151404267067,0.008491425956376485
all,GLD,sequence32,364,364,0.0005038384101762097,0.017341861309587953,0.04767401742920479
