scenario,policy,period,asset,annualized_mean_contribution,sum_daily_return_contribution
cost10,constant100,all,SPY,0.04946948403761868,0.34098608640215733
cost10,constant100,all,QQQ,0.06664559441527462,0.4593785615052858
cost10,constant100,all,GLD,0.03522576941193575,0.2428061963037
cost10,constant100,2018_2020,SPY,0.049187509898692444,0.14678177557070127
cost10,constant100,2018_2020,QQQ,0.08615632859296556,0.25710142500757976
cost10,constant100,2018_2020,GLD,0.04287254930893113,0.12793713127109607
cost10,constant100,2021_2024,SPY,0.04968475769495118,0.194204310831456
cost10,constant100,2021_2024,QQQ,0.051750089743575554,0.202277136497706
cost10,constant100,2021_2024,GLD,0.029387821713925052,0.11486906503260388
cost10,constant100,2018,SPY,-0.01932752984958189,-0.018944047114471136
cost10,constant100,2018,QQQ,-0.005982567932116125,-0.005863866187431281
cost10,constant100,2018,GLD,-0.009837358153207925,-0.00964217247556491
cost10,constant100,2019,SPY,0.0928963396695523,0.0928963396695523
cost10,constant100,2019,QQQ,0.11313375688613425,0.11313375688613425
cost10,constant100,2019,GLD,0.0566045776246077,0.0566045776246077
cost10,constant100,2020,SPY,0.07254161944638841,0.07282948301562012
cost10,constant100,2020,QQQ,0.14923931480567962,0.14983153430887677
cost10,constant100,2020,GLD,0.08065466791603726,0.08097472612205328
cost10,constant100,2021,SPY,0.08671109625457166,0.08671109625457166
cost10,constant100,2021,QQQ,0.08591426246136978,0.08591426246136978
cost10,constant100,2021,GLD,-0.011267455088235727,-0.011267455088235727
cost10,constant100,2022,SPY,-0.05763968425412868,-0.05741095534835833
cost10,constant100,2022,QQQ,-0.11565751904679467,-0.11519856063787881
cost10,constant100,2022,GLD,-0.00011708296647251369,-0.0001166183515261942
cost10,constant100,2023,SPY,0.08072609822800647,0.08008541490873658
cost10,constant100,2023,QQQ,0.15189235170166349,0.1506868568468884
cost10,constant100,2023,GLD,0.042856056843110744,0.04251592940784796
cost10,constant100,2024,SPY,0.0921307166558601,0.08481875501650613
cost10,constant100,2024,QQQ,0.0878465241917514,0.0808745778273267
cost10,constant100,2024,GLD,0.09095593398387286,0.08373720906451787
cost10,constant100,exclude_2018,SPY,0.06087408969542977,0.3599301335166284
cost10,constant100,exclude_2018,QQQ,0.078685296495681,0.46524242769271706
cost10,constant100,exclude_2018,GLD,0.04269596572642601,0.2524483687792649
cost10,constant100,exclude_2019,SPY,0.04210007823341176,0.24808974673260503
cost10,constant100,exclude_2019,QQQ,0.05875669411718934,0.34624480461915147
cost10,constant100,exclude_2019,GLD,0.03159785044251263,0.18620161867909227
cost10,constant100,exclude_2020,SPY,0.04553602699016669,0.2681566033865372
cost10,constant100,exclude_2020,QQQ,0.0525645895239185,0.3095470271964089
cost10,constant100,exclude_2020,GLD,0.027480815691223022,0.16183147018164667
cost10,constant100,exclude_2021,SPY,0.04314969529777211,0.25427499014758564
cost10,constant100,exclude_2021,QQQ,0.06337575983775544,0.373464299043916
cost10,constant100,exclude_2021,GLD,0.04311552872105575,0.25407365139193566
cost10,constant100,exclude_2022,SPY,0.06756127491327721,0.3983970417505156
cost10,constant100,exclude_2022,QQQ,0.09743838141324192,0.5745771221431646
cost10,constant100,exclude_2022,GLD,0.04119552442336271,0.24292281465522614
cost10,constant100,exclude_2023,SPY,0.04421450518920108,0.26090067149342067
cost10,constant100,exclude_2023,QQQ,0.05231359083652733,0.30869170465839735
cost10,constant100,exclude_2023,GLD,0.03394293695881284,0.200290266895852
cost10,constant100,exclude_2024,SPY,0.04289313455759741,0.2561673313856512
cost10,constant100,exclude_2024,QQQ,0.06337741122049548,0.3785039836779591
cost10,constant100,exclude_2024,GLD,0.026634807165630492,0.1590689872391821
cost10,constant75,all,SPY,0.03699386658941031,0.2549934375627211
cost10,constant75,all,QQQ,0.04977083321101428,0.34306324320449133
cost10,constant75,all,GLD,0.02647680223168581,0.18250081538269147
cost10,constant75,2018_2020,SPY,0.03673186501071237,0.1096125495557766
cost10,constant75,2018_2020,QQQ,0.06430721224773431,0.19190088734244523
cost10,constant75,2018_2020,GLD,0.0322721154424562,0.09630409052669468
cost10,constant75,2021_2024,SPY,0.0371938921601523,0.14538088800694451
cost10,constant75,2021_2024,QQQ,0.038673008809376255,0.15116235586204607
cost10,constant75,2021_2024,GLD,0.022052360064681416,0.0861967248559968
cost10,constant75,2018,SPY,-0.014483822085898415,-0.014196444663559162
cost10,constant75,2018,QQQ,-0.004597480364742674,-0.004506260516235875
cost10,constant75,2018,GLD,-0.007425215342004348,-0.007277889640774103
cost10,constant75,2019,SPY,0.0696654881510559,0.0696654881510559
cost10,constant75,2019,QQQ,0.08480897084625105,0.08480897084625105
cost10,constant75,2019,GLD,0.042456517266477825,0.042456517266477825
cost10,constant75,2020,SPY,0.05392950011544081,0.054143506068279855
cost10,constant75,2020,QQQ,0.11115707749854692,0.11159817701243005
cost10,constant75,2020,GLD,0.06088386028082895,0.06112546290099097
cost10,constant75,2021,SPY,0.06499744997986996,0.06499744997986996
cost10,constant75,2021,QQQ,0.06433822370013993,0.06433822370013993
cost10,constant75,2021,GLD,-0.00850237047613967,-0.00850237047613967
cost10,constant75,2022,SPY,-0.04358573814623185,-0.043412778867873786
cost10,constant75,2022,QQQ,-0.08727052182169566,-0.08692421022716512
cost10,constant75,2022,GLD,5.117712960045866e-06,5.097404575283779e-06
cost10,constant75,2023,SPY,0.06059579593258543,0.060114876917247456
cost10,constant75,2023,QQQ,0.11391353450765627,0.11300945883696059
cost10,constant75,2023,GLD,0.03209818827593373,0.03184344074993425
cost10,constant75,2024,SPY,0.0691711106654337,0.06368133997770087
cost10,constant75,2024,QQQ,0.06597499420315474,0.060738883552110705
cost10,constant75,2024,GLD,0.06826870865845681,0.06285055717762691
cost10,constant75,exclude_2018,SPY,0.045527416322833976,0.26918988222628026
cost10,constant75,exclude_2018,QQQ,0.05878356707223037,0.3475695037207272
cost10,constant75,exclude_2018,GLD,0.032096801118062644,0.1897787050234656
cost10,constant75,exclude_2019,SPY,0.03144959141531288,0.1853279494116652
cost10,constant75,exclude_2019,QQQ,0.04382496743048925,0.2582542723582402
cost10,constant75,exclude_2019,GLD,0.023765093013660494,0.14004429811621363
cost10,constant75,exclude_2020,SPY,0.034106592140565495,0.20084993149444125
cost10,constant75,exclude_2020,QQQ,0.03930538859865191,0.23146506619206125
cost10,constant75,exclude_2020,GLD,0.02061090891198688,0.1213753524817005
cost10,constant75,exclude_2021,SPY,0.03224174334739292,0.18999598758285113
cost10,constant75,exclude_2021,QQQ,0.0472987911886172,0.27872501950435136
cost10,constant75,exclude_2021,GLD,0.03241266184271074,0.19100318585883114
cost10,constant75,exclude_2022,SPY,0.0506045535265881,0.2984062164305949
cost10,constant75,exclude_2022,QQQ,0.07291846451196327,0.42998745343165645
cost10,constant75,exclude_2022,GLD,0.030948129832089687,0.18249571797811617
cost10,constant75,exclude_2023,SPY,0.03302582197892358,0.19487856064547368
cost10,constant75,exclude_2023,QQQ,0.03898692243484717,0.2300537843675307
cost10,constant75,exclude_2023,GLD,0.02553171379115993,0.15065737463275722
cost10,constant75,exclude_2024,SPY,0.03203365354911967,0.19131209758502027
cost10,constant75,exclude_2024,QQQ,0.04727291603481723,0.2823243596523807
cost10,constant75,exclude_2024,GLD,0.020034461838987553,0.11965025820506456
cost10,constant50,all,SPY,0.02458372230023424,0.169452085855186
cost10,constant50,all,QQQ,0.03303594081841611,0.22771202064122537
cost10,constant50,all,GLD,0.017678656170040035,0.12185645145777595
cost10,constant50,2018_2020,SPY,0.024380544565546045,0.07275464092575645
cost10,constant50,2018_2020,QQQ,0.042662916588157206,0.12731156061227863
cost10,constant50,2018_2020,GLD,0.021580649979994475,0.06439939994030097
cost10,constant50,2021_2024,SPY,0.024738838702757598,0.0966974449294295
cost10,constant50,2021_2024,QQQ,0.025686209063243228,0.10040046002894674
cost10,constant50,2021_2024,GLD,0.014699672063354003,0.057457051517474975
cost10,constant50,2018,SPY,-0.009650026093521172,-0.009458557321824324
cost10,constant50,2018,QQQ,-0.0031375670800882762,-0.0030753137650071597
cost10,constant50,2018,GLD,-0.004982858329152298,-0.004883992092462768
cost10,constant50,2019,SPY,0.046437910877028254,0.046437910877028254
cost10,constant50,2019,QQQ,0.056508391308457404,0.056508391308457404
cost10,constant50,2019,GLD,0.02830463668510732,0.02830463668510732
cost10,constant50,2020,SPY,0.0356338830726452,0.03577528737055252
cost10,constant50,2020,QQQ,0.0735864732543271,0.0738784830688284
cost10,constant50,2020,GLD,0.04081678398264591,0.04097875534765641
cost10,constant50,2021,SPY,0.04330211893855683,0.04330211893855683
cost10,constant50,2021,QQQ,0.04282691418266522,0.04282691418266522
cost10,constant50,2021,GLD,-0.0057082980887101795,-0.0057082980887101795
cost10,constant50,2022,SPY,-0.029311294891455373,-0.029194980229187692
cost10,constant50,2022,QQQ,-0.05853805898328941,-0.05830576509843509
cost10,constant50,2022,GLD,5.085211505595918e-05,5.0650320948594264e-05
cost10,constant50,2023,SPY,0.040420021027650646,0.04009922720997088
cost10,constant50,2023,QQQ,0.07593567049667331,0.07533300644511241
cost10,constant50,2023,GLD,0.021359533055418975,0.02119001295180454
cost10,constant50,2024,SPY,0.04615410306268342,0.0424910790100895
cost10,constant50,2024,QQQ,0.04404167557715628,0.0405463044996042
cost10,constant50,2024,GLD,0.045538883431141694,0.041924686333432035
cost10,constant50,exclude_2018,SPY,0.03025871280577624,0.1789106431770103
cost10,constant50,exclude_2018,QQQ,0.03903248877206081,0.23078733440623253
cost10,constant50,exclude_2018,GLD,0.021435296493060512,0.12674044355023872
cost10,constant50,exclude_2019,SPY,0.020875132723566156,0.12301417497815771
cost10,constant50,exclude_2019,QQQ,0.029052737098893958,0.17120362933276798
cost10,constant50,exclude_2019,GLD,0.01587545947657407,0.09355181477266863
cost10,constant50,exclude_2020,SPY,0.022699833704937753,0.13367679848463343
cost10,constant50,exclude_2020,QQQ,0.026122676191539112,0.15383353757239698
cost10,constant50,exclude_2020,GLD,0.013733948396058036,0.08087769611011955
cost10,constant50,exclude_2021,SPY,0.021407267113124944,0.12614996691662914
cost10,constant50,exclude_2021,QQQ,0.0313744423081193,0.18488510645856016
cost10,constant50,exclude_2021,GLD,0.021647351438191586,0.12756474954648614
cost10,constant50,exclude_2022,SPY,0.03368712022426794,0.19864706608437366
cost10,constant50,exclude_2022,QQQ,0.048503689102553454,0.2860177857396604
cost10,constant50,exclude_2022,GLD,0.020656165468694816,0.12180580113682737
cost10,constant50,exclude_2023,SPY,0.021921264545120514,0.1293528586452151
cost10,constant50,exclude_2023,QQQ,0.02582347785973131,0.15237901419611294
cost10,constant50,exclude_2023,GLD,0.01705981338500659,0.10066643850597141
cost10,constant50,exclude_2024,SPY,0.02125858719266732,0.12696100684509648
cost10,constant50,exclude_2024,QQQ,0.0313393757260389,0.1871657161416212
cost10,constant50,exclude_2024,GLD,0.013383923462680842,0.07993176512434391
cost10,trend,all,SPY,0.03735283609870823,0.25746776310895314
cost10,trend,all,QQQ,0.06000842976396208,0.4136295337301672
cost10,trend,all,GLD,0.023323202383975578,0.1607635021466888
cost10,trend,2018_2020,SPY,0.029501012485224614,0.08803476741622583
cost10,trend,2018_2020,QQQ,0.06709975872508622,0.20023420063993982
cost10,trend,2018_2020,GLD,0.03430425535097031,0.10236825406321297
cost10,trend,2021_2024,SPY,0.04334732478636274,0.16943299569272738
cost10,trend,2021_2024,QQQ,0.05459454206978406,0.2133953330902274
cost10,trend,2021_2024,GLD,0.01493969798683848,0.058395248083475806
cost10,trend,2018,SPY,-0.02424385706875995,-0.023762828158665508
cost10,trend,2018,QQQ,0.014241465113494433,0.013958896361242559
cost10,trend,2018,GLD,-0.00859916661977629,-0.008428548234463267
cost10,trend,2019,SPY,0.053953248817917396,0.053953248817917396
cost10,trend,2019,QQQ,0.07636727758961415,0.07636727758961415
cost10,trend,2019,GLD,0.05667204283601955,0.05667204283601955
cost10,trend,2020,SPY,0.057615712975325806,0.057844346756973926
cost10,trend,2020,QQQ,0.10947360761126068,0.10990802668908314
cost10,trend,2020,GLD,0.05391082760607702,0.054124759461656693
cost10,trend,2021,SPY,0.0866935197012841,0.0866935197012841
cost10,trend,2021,QQQ,0.08587062499786514,0.08587062499786514
cost10,trend,2021,GLD,-0.03022298755215787,-0.03022298755215787
cost10,trend,2022,SPY,-0.05077467888601899,-0.050573192065042724
cost10,trend,2022,QQQ,-0.06393028206377456,-0.0636765904682834
cost10,trend,2022,GLD,-0.011037175121990697,-0.010993376808014543
cost10,trend,2023,SPY,0.04888186434429971,0.048493913039979866
cost10,trend,2023,QQQ,0.11120933449918546,0.11032672073331891
cost10,trend,2023,GLD,0.01600139860616341,0.015874403379130368
cost10,trend,2024,SPY,0.09213071665586013,0.08481875501650615
cost10,trend,2024,QQQ,0.08784652419175139,0.08087457782732668
cost10,trend,2024,GLD,0.09095593398387283,0.08373720906451784
cost10,trend,exclude_2018,SPY,0.04756383154324826,0.2812305912676187
cost10,trend,exclude_2018,QQQ,0.06759530242749598,0.3996706373689246
cost10,trend,exclude_2018,GLD,0.028615031339631093,0.1691920503811521
cost10,trend,exclude_2019,SPY,0.034535796364539406,0.2035145142910358
cost10,trend,exclude_2019,QQQ,0.05723238286021506,0.337262256140553
cost10,trend,exclude_2019,GLD,0.017664005216355992,0.10409145931066925
cost10,trend,exclude_2020,SPY,0.03389831598429836,0.19962341635197925
cost10,trend,exclude_2020,QQQ,0.05157535025225955,0.303721507041084
cost10,trend,exclude_2020,GLD,0.018108465738967707,0.10663874268503205
cost10,trend,exclude_2021,SPY,0.02897987160857415,0.1707742434076691
cost10,trend,exclude_2021,QQQ,0.05561969360305731,0.327758908732302
cost10,trend,exclude_2021,GLD,0.0324098285549558,0.19098648969884663
cost10,trend,exclude_2022,SPY,0.05223843923542865,0.30804095517399593
cost10,trend,exclude_2022,QQQ,0.0809428958936807,0.4773061241984505
cost10,trend,exclude_2022,GLD,0.02912700773659841,0.17175687895470332
cost10,trend,exclude_2023,SPY,0.035414532762193196,0.20897385006897337
cost10,trend,exclude_2023,QQQ,0.051400342216009254,0.30330281299684825
cost10,trend,exclude_2023,GLD,0.02455417141185253,0.1448890987675584
cost10,trend,exclude_2024,SPY,0.02890867112245625,0.17264900809244704
cost10,trend,exclude_2024,QQQ,0.05571710889535934,0.3327549559028405
cost10,trend,exclude_2024,GLD,0.012897425818410014,0.07702629308217092
cost10,volatility,all,SPY,0.026129118348835047,0.1801042800473273
cost10,volatility,all,QQQ,0.028112030348449182,0.19377220918752472
cost10,volatility,all,GLD,0.026288948675119182,0.18120596765350008
cost10,volatility,2018_2020,SPY,0.013228802419861675,0.039476426268793566
