period,asset,model,bin,lower,upper,rows,mean_probability,event_fraction
all,pooled,logistic,0,0.0,0.2,820,0.12242838322939724,0.1719512195121951
all,pooled,logistic,1,0.2,0.4,243,0.26091897040197626,0.23868312757201646
all,pooled,logistic,2,0.4,0.6,10,0.46887932332291593,0.2
all,pooled,logistic,3,0.6,0.8,5,0.7390822686316864,0.2
all,pooled,logistic,4,0.8,1.0,5,0.8558925858602215,0.0
all,pooled,gbm,0,0.0,0.2,740,0.13290484629385493,0.15945945945945947
all,pooled,gbm,1,0.2,0.4,334,0.25991333315679344,0.25149700598802394
all,pooled,gbm,2,0.4,0.6,9,0.44195120099972496,0.0
all,pooled,gbm,3,0.6,0.8,0,,
all,pooled,gbm,4,0.8,1.0,0,,
all,pooled,past_frequency,0,0.0,0.2,983,0.1451846478414865,0.18921668362156663
all,pooled,past_frequency,1,0.2,0.4,100,0.24956006145046358,0.16
all,pooled,past_frequency,2,0.4,0.6,0,,
all,pooled,past_frequency,3,0.6,0.8,0,,
all,pooled,past_frequency,4,0.8,1.0,0,,
all,SPY,logistic,0,0.0,0.2,330,0.11925844539201594,0.18484848484848485
all,SPY,logistic,1,0.2,0.4,25,0.2449496054907318,0.12
all,SPY,logistic,2,0.4,0.6,1,0.4743574412758553,0.0
all,SPY,logistic,3,0.6,0.8,3,0.707816749013356,0.3333333333333333
all,SPY,logistic,4,0.8,1.0,2,0.8389831883630463,0.0
all,SPY,gbm,0,0.0,0.2,262,0.1271228566127301,0.17938931297709923
all,SPY,gbm,1,0.2,0.4,97,0.2526925241060749,0.18556701030927836
all,SPY,gbm,2,0.4,0.6,2,0.4429057979347979,0.0
all,SPY,gbm,3,0.6,0.8,0,,
all,SPY,gbm,4,0.8,1.0,0,,
all,SPY,past_frequency,0,0.0,0.2,361,0.1286314121303055,0.18005540166204986
all,SPY,past_frequency,1,0.2,0.4,0,,
all,SPY,past_frequency,2,0.4,0.6,0,,
all,SPY,past_frequency,3,0.6,0.8,0,,
all,SPY,past_frequency,4,0.8,1.0,0,,
all,QQQ,logistic,0,0.0,0.2,171,0.1346226239440555,0.27485380116959063
all,QQQ,logistic,1,0.2,0.4,177,0.26344188800634866,0.2937853107344633
all,QQQ,logistic,2,0.4,0.6,8,0.4749851792612345,0.25
all,QQQ,logistic,3,0.6,0.8,2,0.7859805480591818,0.0
all,QQQ,logistic,4,0.8,1.0,3,0.867165517525005,0.0
all,QQQ,gbm,0,0.0,0.2,175,0.1434504348626695,0.2342857142857143
all,QQQ,gbm,1,0.2,0.4,179,0.26613079061843276,0.33519553072625696
all,QQQ,gbm,2,0.4,0.6,7,0.4416784590182755,0.0
all,QQQ,gbm,3,0.6,0.8,0,,
all,QQQ,gbm,4,0.8,1.0,0,,
