scenario,policy,period,observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return
cost10,constant100,all,1737,0.1148127603212154,0.15134084786483273,0.15605146062248684,5.933635799445459,0.9994242947610823,0.0005757052389177189,0.14923842860885528,-0.23146215458563812,-0.2272296226818018
cost10,constant100,2018_2020,752,0.13410031553920113,0.1782163878005936,0.1714955242591722,2.8135964659350745,1.0,4.19263987691774e-17,0.17751209557932346,-0.22962857555311134,-0.2272296226818018
cost10,constant100,2021_2024,985,0.10005449004538272,0.13082266915245488,0.1432205271765007,3.1200393335103844,0.9989847715736041,0.001015228426395986,0.12811071683772446,-0.23146215458563757,-0.11636034275972318
cost10,constant100,2018,247,-0.06223288530573145,-0.035147455934901074,0.13437616200013644,1.5468013727021637,1.0,4.920860576943239e-17,-0.043194318489245265,-0.12672023648455377,-0.06219778563013467
cost10,constant100,2019,252,0.24990864233171742,0.2626346741803002,0.09210874677460608,0.4596751635517523,1.0,4.180847733608177e-17,0.29469904314584583,-0.048091154059042074,-0.04397814149494794
cost10,constant100,2020,253,0.2104790061322154,0.302435602168108,0.24759724828289537,0.8071199296811584,1.0,3.4934347670668e-17,0.3119844015160269,-0.22962857555311111,-0.22722962268180158
cost10,constant100,2021,252,0.14055156440897737,0.16135790362770785,0.11777475456347587,0.48641463839822474,1.0,5.4256460222255035e-17,0.16695685262805515,-0.07146778323914083,-0.05599971364076972
cost10,constant100,2022,251,-0.23434638487739218,-0.17341428626739314,0.20154751070983903,0.6985462021170616,1.0,5.979980328066551e-17,-0.17610594013937209,-0.22901700327673402,-0.11636034275972373
cost10,constant100,2023,250,0.2571274262854131,0.27547450677278335,0.11059560114028118,0.47968721645556445,1.0,4.49657086672112e-17,0.3089765437112453,-0.07558359131971137,-0.060283431392996634
cost10,constant100,2024,232,0.2490538890226739,0.2709331748314893,0.12077330226175935,1.4553912765395336,0.9956896551724138,0.004310344827586235,0.3015117737934412,-0.07993730519879894,-0.0622931115763804
cost10,constant100,exclude_2018,1490,0.14418272843299312,0.18225535191754028,0.15931650570389153,4.386834426743295,0.9993288590604027,0.0006711409395973594,,,
cost10,constant100,exclude_2019,1485,0.09189074568551452,0.13245462279311707,0.16444629742989564,5.4739606358937065,0.9993265993265993,0.0006734006734007185,,,
cost10,constant100,exclude_2020,1484,0.09847458385016895,0.12558143220531207,0.1344292834049266,5.126515869764301,0.9993261455525606,0.0006738544474393994,,,
cost10,constant100,exclude_2021,1485,0.11042926365560324,0.14964098385658725,0.16168224021411878,5.447221161047234,0.9993265993265993,0.0006734006734007165,,,
