year,asset,first_signal,training_rows,training_dates,last_training_label_end,positive_labels,positive_label_runs,weekly_decisions
2018,SPY,2018-01-05 00:00:00+00:00,810,810,2018-01-04 00:00:00+00:00,60,11,52
2018,QQQ,2018-01-05 00:00:00+00:00,810,810,2018-01-04 00:00:00+00:00,110,21,52
2018,GLD,2018-01-05 00:00:00+00:00,810,810,2018-01-04 00:00:00+00:00,141,20,52
2019,SPY,2019-01-04 00:00:00+00:00,1060,1060,2019-01-03 00:00:00+00:00,127,19,52
2019,QQQ,2019-01-04 00:00:00+00:00,1060,1060,2019-01-03 00:00:00+00:00,200,33,52
2019,GLD,2019-01-04 00:00:00+00:00,1060,1060,2019-01-03 00:00:00+00:00,141,20,52
2020,SPY,2020-01-03 00:00:00+00:00,1311,1311,2020-01-02 00:00:00+00:00,159,23,53
2020,QQQ,2020-01-03 00:00:00+00:00,1311,1311,2020-01-02 00:00:00+00:00,253,36,53
2020,GLD,2020-01-03 00:00:00+00:00,1311,1311,2020-01-02 00:00:00+00:00,141,20,53
2021,SPY,2021-01-08 00:00:00+00:00,1567,1567,2021-01-07 00:00:00+00:00,220,32,52
2021,QQQ,2021-01-08 00:00:00+00:00,1567,1567,2021-01-07 00:00:00+00:00,310,43,52
2021,GLD,2021-01-08 00:00:00+00:00,1567,1567,2021-01-07 00:00:00+00:00,185,30,52
2022,SPY,2022-01-07 00:00:00+00:00,1819,1819,2022-01-06 00:00:00+00:00,222,34,52
2022,QQQ,2022-01-07 00:00:00+00:00,1819,1819,2022-01-06 00:00:00+00:00,361,48,52
2022,GLD,2022-01-07 00:00:00+00:00,1819,1819,2022-01-06 00:00:00+00:00,243,43,52
2023,SPY,2023-01-06 00:00:00+00:00,2069,2069,2023-01-05 00:00:00+00:00,343,42,52
2023,QQQ,2023-01-06 00:00:00+00:00,2069,2069,2023-01-05 00:00:00+00:00,526,63,52
2023,GLD,2023-01-06 00:00:00+00:00,2069,2069,2023-01-05 00:00:00+00:00,292,53,52
2024,SPY,2024-01-05 00:00:00+00:00,2319,2319,2024-01-04 00:00:00+00:00,370,48,48
2024,QQQ,2024-01-05 00:00:00+00:00,2319,2319,2024-01-04 00:00:00+00:00,567,72,48
2024,GLD,2024-01-05 00:00:00+00:00,2319,2319,2024-01-04 00:00:00+00:00,313,56,48
