period,asset,model,rows,decision_dates,event_fraction,brier,brier_skill,log_loss
all,pooled,logistic,1083,361,0.18651892890120036,0.1626669921308329,-0.0522858896888152,0.5265082117179358
all,pooled,gbm,1083,361,0.18651892890120036,0.15553505324107653,-0.006149678761785626,0.5030768578791927
all,pooled,past_frequency,1083,361,0.18651892890120036,0.15458440878546537,0.0,0.4947322319832333
all,SPY,logistic,361,361,0.18005540166204986,0.16470025809501648,-0.05753198838095641,0.5582163388448633
all,SPY,gbm,361,361,0.18005540166204986,0.15725442077183,-0.009722645271075914,0.5289647000246254
all,SPY,past_frequency,361,361,0.18005540166204986,0.15574021391746898,0.0,0.51029363505366
all,QQQ,logistic,361,361,0.27977839335180055,0.22607526447708712,-0.05366348261526488,0.6722513407970275
all,QQQ,gbm,361,361,0.27977839335180055,0.21308507886240874,0.0068795593059266524,0.633231176852336
all,QQQ,past_frequency,361,361,0.27977839335180055,0.21456116512261852,0.0,0.6337574895516047
all,GLD,logistic,361,361,0.0997229916897507,0.09722545382039521,-0.04038022374575401,0.3490569555119166
all,GLD,gbm,361,361,0.0997229916897507,0.09626566008899091,-0.03010976083927286,0.3470346967606166
all,GLD,past_frequency,361,361,0.0997229916897507,0.09345184731630862,0.0,0.3401455713444353
2018_2020,pooled,logistic,471,157,0.16985138004246284,0.16306854348438968,-0.11036567788064189,0.5459609777991138
2018_2020,pooled,gbm,471,157,0.16985138004246284,0.14889616758235866,-0.013863192242482114,0.5037308347897261
2018_2020,pooled,past_frequency,471,157,0.16985138004246284,0.1468602161727829,0.0,0.4836721705065562
2018_2020,SPY,logistic,157,157,0.19745222929936307,0.1894903958623824,-0.10571015812104001,0.6600935790104147
2018_2020,SPY,gbm,157,157,0.19745222929936307,0.17361756529184105,-0.013089368977045712,0.6109099842859613
2018_2020,SPY,past_frequency,157,157,0.19745222929936307,0.1713743827626473,0.0,0.5617481770907621
2018_2020,QQQ,logistic,157,157,0.2484076433121019,0.22398960004149915,-0.1232546740576872,0.6836478264869783
2018_2020,QQQ,gbm,157,157,0.2484076433121019,0.2028728069261377,-0.01735896924128344,0.6258974833422337
2018_2020,QQQ,past_frequency,157,157,0.2484076433121019,0.1994112334581709,0.0,0.60545901812535
2018_2020,GLD,logistic,157,157,0.06369426751592357,0.07572563454928741,-0.08497169578596031,0.29414152789994824
2018_2020,GLD,gbm,157,157,0.06369426751592357,0.0701981305290972,-0.005775457339835199,0.2743850367409834
2018_2020,GLD,past_frequency,157,157,0.06369426751592357,0.06979503229753038,0.0,0.2838093163035566
2021_2024,pooled,logistic,612,204,0.19934640522875818,0.16235795505971332,-0.011393249608823597,0.5115372103711471
2021_2024,pooled,gbm,612,204,0.19934640522875818,0.1606443917137173,-0.0007187717227226109,0.5025735521196154
2021_2024,pooled,past_frequency,612,204,0.19934640522875818,0.1605290080020887,0.0,0.5032441420412643
2021_2024,SPY,logistic,204,204,0.16666666666666666,0.14562157363679865,-0.013315460643053001,0.4798108157762773
