scenario,policy,period,observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return
cost10,bil,all,1752,0.02153406521641644,0.021543584864682733,0.0025192126106244397,1.999000999001035,0.0,1.0,0.021773142798801715,-0.0020852698720578156,-0.0006330212490830434
cost10,bil,excluding_2020,1499,0.02450080423096894,0.02451072345934933,0.0025715401844539905,1.999000999001029,0.0,1.0,,,
cost10,bil,2018,247,0.016214604389747662,0.016220910172482398,0.0020503304993318735,0.9990009990010053,0.0,1.0,0.016350525218744805,-0.000890333820760425,4.9388307903353024e-05
cost10,bil,2019,252,0.02011292295033571,0.02011829346504901,0.001892179468813365,5.186417291717728e-15,0.0,1.0,0.020319391991691305,-0.00021858292867327211,0.001060535991363798
cost10,bil,2020,253,0.003958558388092342,0.003963581886796466,0.001830027086160918,5.97640814584737e-15,0.0,1.0,0.003969741565877483,-0.0008843796237628654,-0.0006330212490828213
cost10,bil,2021,252,-0.000985930797762687,-0.0009830384990856533,0.0013885960960705486,4.056172059431812e-15,0.0,1.0,-0.000983516737307344,-0.0010929180423983054,-0.0003283114069049242
cost10,bil,2022,251,0.013997618811954009,0.014006849275222586,0.0024806535790092674,5.538297352014162e-15,0.0,1.0,0.014101902857259097,-0.00032812845018170833,-0.00032812845018170833
cost10,bil,2023,250,0.048647800524602804,0.048659956462736104,0.002846745291649956,5.3424768966853924e-15,0.0,1.0,0.049854124289861135,-0.00021813266807546583,0.0028759298612048845
cost10,bil,2024,247,0.04951159334507895,0.04952314622580498,0.0027752334107276843,1.0000000000000038,0.0,1.0,0.0507607719690466,-0.001000000000000112,0.0029135427595463614
cost10,cal_gbm2,all,1752,0.017202056630135302,0.023524192875127515,0.06492116370384526,57.522619726673966,0.1135192252143005,0.8864807747856995,0.02164889567569417,-0.16589898111169266,-0.07169857342180308
cost10,cal_gbm2,excluding_2020,1499,0.015060144548782888,0.01992376553825283,0.05694219870166556,52.14910094159744,0.12276580319872574,0.8772341968012745,,,
cost10,cal_gbm2,2018,247,0.016214604389747662,0.016220910172482398,0.0020503304993318735,0.9990009990010053,0.0,1.0,0.016350525218744805,-0.000890333820760425,4.9388307903353024e-05
cost10,cal_gbm2,2019,252,0.02011292295033571,0.02011829346504901,0.001892179468813365,5.186417291717728e-15,0.0,1.0,0.020319391991691305,-0.00021858292867327211,0.001060535991363798
cost10,cal_gbm2,2020,253,0.029842260513750087,0.04485636907265776,0.10004701747647678,5.373518785076529,0.0587341643500577,0.9412658356499424,0.04068097467825926,-0.08034267134912043,-0.06962319170714237
cost10,cal_gbm2,2021,252,0.03344394091216298,0.0371385077619476,0.049629069772897015,18.109714018435202,0.18134420519442582,0.8186557948055743,0.036559941862695844,-0.038770004518006274,-0.030961041789243415
