scope,asset,variant,rows,mse,residual_correlation
all,pooled,mean,2912,0.0006426405018752151,
all,pooled,raw_ridge100,2912,0.0006360169556784956,0.10806388026402468
all,pooled,cal_ridge100,2912,0.0006392444300895725,0.08063405775353544
all,pooled,static_ridge100,2912,0.0006426422437500899,-0.005603085982309129
all,pooled,raw_gbm2,2912,0.0006364024145191058,0.10596927537099092
all,pooled,cal_gbm2,2912,0.0006424895107071289,0.047445367680784736
all,pooled,static_gbm2,2912,0.0006412167596280903,0.0671548648044696
all,SPY,mean,364,0.0006410512434569505,
all,SPY,raw_ridge100,364,0.0006307289720418715,0.12982870443923342
all,SPY,cal_ridge100,364,0.0006352672738069683,0.09778188283465117
all,SPY,static_ridge100,364,0.000641051886604009,-0.009050331072997846
all,SPY,raw_gbm2,364,0.0006316513979527018,0.12230374146750221
all,SPY,cal_gbm2,364,0.0006376468797924382,0.0732373744566007
all,SPY,static_gbm2,364,0.0006401754029652261,0.05738790306086385
all,QQQ,mean,364,0.0009501025716676351,
all,QQQ,raw_ridge100,364,0.0009487741452393516,0.07071533763229705
all,QQQ,cal_ridge100,364,0.0009531319723643989,0.034598736432604096
all,QQQ,static_ridge100,364,0.0009501249244440683,-0.11319999192517723
all,QQQ,raw_gbm2,364,0.000950112340559987,0.07599324828137323
all,QQQ,cal_gbm2,364,0.0009506889373463054,0.047784497260127054
all,QQQ,static_gbm2,364,0.0009471999262495352,0.12038713313705306
all,GLD,mean,364,0.0003806022453611423,
all,GLD,raw_ridge100,364,0.0003781783873544941,0.07999838886861889
all,GLD,cal_ridge100,364,0.00037713196019899335,0.11337770816947562
all,GLD,static_ridge100,364,0.00038059870536934833,0.06596126666123546
all,GLD,raw_gbm2,364,0.0003813866328123388,0.05816696195521488
all,GLD,cal_gbm2,364,0.0003801079170181985,0.0521648520939337
all,GLD,static_gbm2,364,0.00038043013640392387,0.059327095863909905
all,IWM,mean,364,0.0012015809357772008,
all,IWM,raw_ridge100,364,0.0011841117291286193,0.13404159425617265
all,IWM,cal_ridge100,364,0.0011930902003004114,0.09590951485506305
all,IWM,static_ridge100,364,0.0012015988064945676,-0.042911346758942745
all,IWM,raw_gbm2,364,0.0011856004848156175,0.1238637248038427
all,IWM,cal_gbm2,364,0.0011998395710594541,0.054684284128758025
all,IWM,static_gbm2,364,0.001199578929535908,0.05815613181176909
all,EFA,mean,364,0.000638029579613981,
all,EFA,raw_ridge100,364,0.0006208628434070592,0.1778489148300772
all,EFA,cal_ridge100,364,0.0006266325658968864,0.15293270416342022
all,EFA,static_ridge100,364,0.0006380294556420603,0.015086895472722593
all,EFA,raw_gbm2,364,0.0006225532149845741,0.1584066652703457
all,EFA,cal_gbm2,364,0.0006388856920111482,0.0361755221127791
all,EFA,static_gbm2,364,0.0006374107375469162,0.029339013344196342
all,EEM,mean,364,0.0007629709014704572,
all,EEM,raw_ridge100,364,0.0007494556656807897,0.13592676483957325
all,EEM,cal_ridge100,364,0.0007526278091284468,0.13254706159102742
all,EEM,static_ridge100,364,0.0007629838011871966,-0.014094454489555784
all,EEM,raw_gbm2,364,0.0007479750468240757,0.1502361410773449
all,EEM,cal_gbm2,364,0.0007563198230983099,0.1013618833587707
all,EEM,static_gbm2,364,0.0007610665987874425,0.06263422106086085
all,IEF,mean,364,8.886705513098261e-05,
all,IEF,raw_ridge100,364,9.126140353850694e-05,-0.0309693470147721
all,IEF,cal_ridge100,364,9.104594447012904e-05,-0.058812798609077364
all,IEF,static_ridge100,364,8.884169883954346e-05,0.07679421359093427
all,IEF,raw_gbm2,364,8.814673660930036e-05,0.07053531029160297
all,IEF,cal_gbm2,364,8.831484839923115e-05,0.06446762227267902
all,IEF,static_gbm2,364,8.826306122008539e-05,0.09544140231303713
all,TLT,mean,364,0.0004779194825233714,
all,TLT,raw_ridge100,364,0.0004847624990372722,-0.0073810551157651874
all,TLT,cal_ridge100,364,0.00048502771455034556,-0.03445638146439767
all,TLT,static_ridge100,364,0.00047790867141992566,0.05972958205925894
all,TLT,raw_gbm2,364,0.0004837934615942508,0.03291758534177302
all,TLT,cal_gbm2,364,0.0004881124169319465,-0.014787959494373422
all,TLT,static_gbm2,364,0.00047560928431568503,0.08356719402249158
excluding_2020,pooled,mean,2488,0.0004906274108936855,
excluding_2020,pooled,raw_ridge100,2488,0.0004957076887741158,0.007468649373391106
excluding_2020,pooled,cal_ridge100,2488,0.0004968439141628758,-0.029660820433786317
excluding_2020,pooled,static_ridge100,2488,0.0004906315404995297,-0.014904105762286018
excluding_2020,pooled,raw_gbm2,2488,0.0004941153710657224,0.0433432449313828
excluding_2020,pooled,cal_gbm2,2488,0.0004926921905913765,0.03922551917585815
excluding_2020,pooled,static_gbm2,2488,0.0004888907160843115,0.06539345726402619
excluding_2020,SPY,mean,311,0.000459961356169203,
excluding_2020,SPY,raw_ridge100,311,0.00046615651048711754,0.002164625835844258
excluding_2020,SPY,cal_ridge100,311,0.00046774636585848045,-0.04265110294004294
excluding_2020,SPY,static_ridge100,311,0.00045995913186003935,0.12940852135952396
excluding_2020,SPY,raw_gbm2,311,0.00046156023975329563,0.04419179776378066
excluding_2020,SPY,cal_gbm2,311,0.00045879430461154156,0.06358498307731539
excluding_2020,SPY,static_gbm2,311,0.00045888400560766955,0.06094901148457693
excluding_2020,QQQ,mean,311,0.0008107925080751071,
excluding_2020,QQQ,raw_ridge100,311,0.0008303748292370302,-0.031552467739821115
excluding_2020,QQQ,cal_ridge100,311,0.0008305323965390347,-0.06378710549535282
excluding_2020,QQQ,static_ridge100,311,0.0008108185256254603,-0.10890142018599865
excluding_2020,QQQ,raw_gbm2,311,0.0008178775753987665,0.05250887937408031
excluding_2020,QQQ,cal_gbm2,311,0.0008132771017897762,0.04778336903606219
excluding_2020,QQQ,static_gbm2,311,0.0008072635751102238,0.11401509799143668
excluding_2020,GLD,mean,311,0.0002688671692753524,
excluding_2020,GLD,raw_ridge100,311,0.0002726689247802764,-0.0417664600791972
excluding_2020,GLD,cal_ridge100,311,0.00026969741579097105,-0.01855318528888653
excluding_2020,GLD,static_ridge100,311,0.00026886418286372867,0.065513255309022
excluding_2020,GLD,raw_gbm2,311,0.0002710740531424491,0.015022310294162742
excluding_2020,GLD,cal_gbm2,311,0.00026882309932455646,0.03453250488882481
excluding_2020,GLD,static_gbm2,311,0.0002685942086330658,0.06313908484104076
excluding_2020,IWM,mean,311,0.000865968465642337,
excluding_2020,IWM,raw_ridge100,311,0.0008682184316820621,0.04850554929596457
excluding_2020,IWM,cal_ridge100,311,0.0008747508600003593,-0.023076422141061658
excluding_2020,IWM,static_ridge100,311,0.0008659934539947533,-0.051088021189842896
excluding_2020,IWM,raw_gbm2,311,0.0008759974078149811,0.029281908164324473
excluding_2020,IWM,cal_gbm2,311,0.0008692495591282609,0.04369387375802046
excluding_2020,IWM,static_gbm2,311,0.0008635426766243704,0.053397055091550814
excluding_2020,EFA,mean,311,0.00041582113171307125,
excluding_2020,EFA,raw_ridge100,311,0.00041538269659170755,0.05747757639276692
excluding_2020,EFA,cal_ridge100,311,0.0004177888402339331,0.016215228834874727
excluding_2020,EFA,static_ridge100,311,0.00041582210616134067,0.007351599436753073
excluding_2020,EFA,raw_gbm2,311,0.0004206488698980893,0.012333616230876716
excluding_2020,EFA,cal_gbm2,311,0.00042126218932045216,0.000636355377129081
excluding_2020,EFA,static_gbm2,311,0.00041503448465259214,0.02319037839199831
excluding_2020,EEM,mean,311,0.0006400295788330513,
excluding_2020,EEM,raw_ridge100,311,0.0006367341905438533,0.06393182878881826
excluding_2020,EEM,cal_ridge100,311,0.0006382124357151995,0.06058647373036874
excluding_2020,EEM,static_ridge100,311,0.0006400605877921484,-0.04527549216413036
excluding_2020,EEM,raw_gbm2,311,0.0006323574206245698,0.13209175612401386
excluding_2020,EEM,cal_gbm2,311,0.0006345573928519614,0.11122452212109443
excluding_2020,EEM,static_gbm2,311,0.0006376508942551067,0.04087667503575989
excluding_2020,IEF,mean,311,8.686717953424731e-05,
excluding_2020,IEF,raw_ridge100,311,8.974331263279233e-05,-0.04167771222693053
excluding_2020,IEF,cal_ridge100,311,8.952197095057322e-05,-0.07283254378202357
excluding_2020,IEF,static_ridge100,311,8.683533201517988e-05,0.08758460527725438
