scenario,level,period,observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return
cost25,1.5x,excluding_2020,1487,0.04945424669316564,0.059390379490537326,0.08138850368191518,20.86162578820601,0.5800721393273669,0.4199278606726332,,,
cost25,1.5x,2018,230,-0.04465945160625237,-0.036566521038044295,0.07345261768971922,4.043503206881572,0.5401345611210511,0.45986543887894893,-0.03849828616267836,-0.0658172919625043,-0.04911393403683584
cost25,1.5x,2019,252,0.0676459371512595,0.07032491823266562,0.0422609439980236,3.539459887778781,0.6189896022819148,0.3810103977180853,0.07189349596653516,-0.02216252927696105,-0.01421383811287491
cost25,1.5x,2020,253,0.09909453982062935,0.10744666364000797,0.07461958554061003,3.5103994639192937,0.6940603991619662,0.305939600838034,0.11031871610148003,-0.08894171164705134,-0.05921840463016803
cost25,1.5x,2021,252,0.14246090824436802,0.1577959183663632,0.10111053397806834,2.4966081048567483,0.7551864680588608,0.24481353194113922,0.16490899683618032,-0.04987801731176844,-0.04807570786094395
cost25,1.5x,2022,251,0.06112260591514397,0.08435114900321636,0.12444153403123998,3.2145410539150685,0.4781332688761823,0.5218667311238179,0.07961115016881237,-0.08847255894228923,-0.08651862712572767
cost25,1.5x,2023,250,0.0029572142934630088,0.007198565744820185,0.05317487784883118,3.8557167971234865,0.4672460696763675,0.5327539303236326,0.005806795118832309,-0.03716280708264241,-0.03095492802623001
cost25,1.5x,2024,252,0.0585907742703462,0.06454588683417295,0.06300853150606803,3.711796737650353,0.6159562876550148,0.38404371234498536,0.06455852374215088,-0.036602978641888106,-0.02653518593117199
cost25,1x,excluding_2020,1487,0.043010413055601604,0.04744530377856732,0.054374569564369715,14.570886691240599,0.38700328044621857,0.6129967195537815,,,
cost25,1x,2018,230,-0.023156795371315635,-0.019580109689722097,0.048830903340634176,3.025784081914931,0.3598548588006185,0.6401451411993815,-0.020554811678857088,-0.043183050281977664,-0.032242758329573906
cost25,1x,2019,252,0.05251051966257768,0.053704659621289674,0.02821512547921768,2.3584944398774486,0.4131710263364201,0.58682897366358,0.054748980147619086,-0.013654536167607256,-0.00884247181368314
cost25,1x,2020,253,0.06952543650831318,0.0732363263898214,0.049738582485552914,2.303564170508214,0.4635625488932909,0.5364374511067093,0.07464735276132717,-0.05854079341463192,-0.03889703133277633
