scenario,policy,asset,net_gain_per_initial_dollar
cost10,bil,SPY,0.0
cost10,bil,QQQ,0.0
cost10,bil,IWM,0.0
cost10,bil,EFA,0.0
cost10,bil,EEM,0.0
cost10,bil,IEF,0.0
cost10,bil,TLT,0.0
cost10,bil,GLD,0.0
cost10,bil,USO,0.0
cost10,bil,CORN,0.0
cost10,bil,SOYB,0.0
cost10,bil,WEAT,0.0
cost10,bil,BIL,0.16210539355274878
cost10,hold,SPY,0.05349136540823253
cost10,hold,QQQ,0.059958796771784006
cost10,hold,IWM,0.01407829496674886
cost10,hold,EFA,0.009722402136834448
cost10,hold,EEM,-0.0006204039968067368
cost10,hold,IEF,0.0042253785344328505
cost10,hold,TLT,-0.005439474592019586
cost10,hold,GLD,0.13373374440177416
cost10,hold,USO,-0.04235999335479308
cost10,hold,CORN,0.0050136414696658645
cost10,hold,SOYB,0.008410953894710551
cost10,hold,WEAT,-0.008150324970410298
cost10,hold,BIL,0.040526348388187194
cost10,static,SPY,0.029210499181766138
cost10,static,QQQ,0.03392346008789254
cost10,static,IWM,0.009249301241624229
cost10,static,EFA,0.008706535172804522
cost10,static,EEM,0.0030989692314634977
cost10,static,IEF,0.0045876843879623305
cost10,static,TLT,-0.00599292772798788
cost10,static,GLD,0.11286865378944913
cost10,static,USO,0.044678444981161455
cost10,static,CORN,0.0026761108406457793
cost10,static,SOYB,0.0037816228461061037
cost10,static,WEAT,0.0009442952369604885
cost10,static,BIL,0.04292461014195413
cost10,trend,SPY,0.02028435374595978
cost10,trend,QQQ,0.03175424237880925
cost10,trend,IWM,0.0028337568107433602
cost10,trend,EFA,-0.0002748651948598106
cost10,trend,EEM,0.00474185929650509
cost10,trend,IEF,0.0021215249625617886
cost10,trend,TLT,-0.0006817534250079822
cost10,trend,GLD,0.07403331050940637
cost10,trend,USO,0.1338355763919357
cost10,trend,CORN,0.030661190045480437
cost10,trend,SOYB,0.020322112161774143
cost10,trend,WEAT,0.007748340224820032
cost10,trend,BIL,0.11863405720236497
cost25,bil,SPY,0.0
cost25,bil,QQQ,0.0
cost25,bil,IWM,0.0
cost25,bil,EFA,0.0
cost25,bil,EEM,0.0
cost25,bil,IEF,0.0
cost25,bil,TLT,0.0
cost25,bil,GLD,0.0
cost25,bil,USO,0.0
cost25,bil,CORN,0.0
cost25,bil,SOYB,0.0
cost25,bil,WEAT,0.0
cost25,bil,BIL,0.1586242903241753
cost25,hold,SPY,0.053212065305376775
cost25,hold,QQQ,0.05969818721394467
cost25,hold,IWM,0.013960418111823705
cost25,hold,EFA,0.009582562142309294
cost25,hold,EEM,-0.0006813830906297934
cost25,hold,IEF,0.003876596661138546
cost25,hold,TLT,-0.00553638300934234
cost25,hold,GLD,0.13288381593644566
cost25,hold,USO,-0.042682430525066234
cost25,hold,CORN,0.0048164278168642705
cost25,hold,SOYB,0.008223667429160095
cost25,hold,WEAT,-0.008230951136629003
cost25,hold,BIL,0.039656072581043825
cost25,static,SPY,0.02865627408551588
cost25,static,QQQ,0.03344748156350331
cost25,static,IWM,0.008830344490878874
cost25,static,EFA,0.008208866578663165
cost25,static,EEM,0.0026688004151357494
cost25,static,IEF,0.0038385535127122596
cost25,static,TLT,-0.0063884867658936355
cost25,static,GLD,0.11104951647527658
cost25,static,USO,0.04220556750575026
cost25,static,CORN,0.0020338798668499483
cost25,static,SOYB,0.003000289286554059
cost25,static,WEAT,0.0003363814013220756
cost25,static,BIL,0.040769349370756595
cost25,trend,SPY,0.018955531839654663
cost25,trend,QQQ,0.030665421582862614
cost25,trend,IWM,0.0018268227397576723
cost25,trend,EFA,-0.0015020497763948131
cost25,trend,EEM,0.003800459052888628
cost25,trend,IEF,-9.342051511523203e-06
cost25,trend,TLT,-0.0017298889239396927
cost25,trend,GLD,0.06860142323922995
cost25,trend,USO,0.1287538402686208
cost25,trend,CORN,0.029441433321411886
cost25,trend,SOYB,0.01847415832678708
cost25,trend,WEAT,0.006776594173039182
cost25,trend,BIL,0.10580208648862431
cost5,bil,SPY,0.0
cost5,bil,QQQ,0.0
cost5,bil,IWM,0.0
cost5,bil,EFA,0.0
cost5,bil,EEM,0.0
cost5,bil,IEF,0.0
cost5,bil,TLT,0.0
cost5,bil,GLD,0.0
cost5,bil,USO,0.0
cost5,bil,CORN,0.0
cost5,bil,SOYB,0.0
cost5,bil,WEAT,0.0
cost5,bil,BIL,0.16326808087130446
cost5,hold,SPY,0.05358465154953283
cost5,hold,QQQ,0.060045840277275886
cost5,hold,IWM,0.014117665797021207
cost5,hold,EFA,0.009769108648415816
cost5,hold,EEM,-0.0006000369997860408
cost5,hold,IEF,0.004341871563910603
cost5,hold,TLT,-0.005407107212920441
cost5,hold,GLD,0.13401762022602595
cost5,hold,USO,-0.04225229944734718
cost5,hold,CORN,0.0050795107639965646
cost5,hold,SOYB,0.00847350751180677
cost5,hold,WEAT,-0.00812339585775522
cost5,hold,BIL,0.040817020217826114
cost5,static,SPY,0.02939628580124315
cost5,static,QQQ,0.03408303134081695
cost5,static,IWM,0.009389852921525079
cost5,static,EFA,0.008873445421437769
cost5,static,EEM,0.003243317627542492
cost5,static,IEF,0.004839113732689061
cost5,static,TLT,-0.005860147444914227
cost5,static,GLD,0.11347854354539738
cost5,static,USO,0.04550780918973547
cost5,static,CORN,0.002891576930746837
cost5,static,SOYB,0.004043736132550834
cost5,static,WEAT,0.0011483212752429871
cost5,static,BIL,0.04364760131289297
cost5,trend,SPY,0.020734297122872777
cost5,trend,QQQ,0.03212262933466409
cost5,trend,IWM,0.0031755552315656955
cost5,trend,EFA,0.0001412066173084696
cost5,trend,EEM,0.00506142374231764
cost5,trend,IEF,0.0028462927363574145
cost5,trend,TLT,-0.00032615815949381746
cost5,trend,GLD,0.07587516458849565
cost5,trend,USO,0.13555448884598464
cost5,trend,CORN,0.031073142916411806
cost5,trend,SOYB,0.020947576501207862
cost5,trend,WEAT,0.008077574146693396
cost5,trend,BIL,0.12298695971222844
delay1,bil,SPY,0.0
delay1,bil,QQQ,0.0
delay1,bil,IWM,0.0
delay1,bil,EFA,0.0
delay1,bil,EEM,0.0
delay1,bil,IEF,0.0
delay1,bil,TLT,0.0
delay1,bil,GLD,0.0
delay1,bil,USO,0.0
delay1,bil,CORN,0.0
delay1,bil,SOYB,0.0
delay1,bil,WEAT,0.0
delay1,bil,BIL,0.16172471990050932
delay1,hold,SPY,0.05382093497853813
delay1,hold,QQQ,0.06037481172131083
delay1,hold,IWM,0.013977468284933642
delay1,hold,EFA,0.009970692965168903
delay1,hold,EEM,-0.0003139514953397868
delay1,hold,IEF,0.005147337054178587
delay1,hold,TLT,-0.0048121174387192635
delay1,hold,GLD,0.13456161496992985
delay1,hold,USO,-0.042688163796654646
delay1,hold,CORN,0.0050520757001669536
delay1,hold,SOYB,0.008857784431377391
delay1,hold,WEAT,-0.008021130252726112
delay1,hold,BIL,0.04043117997512734
delay1,static,SPY,0.02957282917121619
delay1,static,QQQ,0.034461597075817835
delay1,static,IWM,0.009154944686055466
delay1,static,EFA,0.008212600184959262
delay1,static,EEM,0.0032396076292004047
delay1,static,IEF,0.005159966725667545
delay1,static,TLT,-0.005203881678577785
delay1,static,GLD,0.11405178606744774
delay1,static,USO,0.051512593879862685
delay1,static,CORN,0.002963615120870419
delay1,static,SOYB,0.0037134492580058586
delay1,static,WEAT,0.0019128696928700367
delay1,static,BIL,0.04309084296958064
delay1,trend,SPY,0.021047905812769538
delay1,trend,QQQ,0.03190349109079848
delay1,trend,IWM,0.004173327647709427
delay1,trend,EFA,0.0011528141372859585
delay1,trend,EEM,0.004550462565017326
delay1,trend,IEF,0.0011665631343758566
delay1,trend,TLT,-0.000805350522272973
delay1,trend,GLD,0.07520912444234731
delay1,trend,USO,0.11765277583452236
delay1,trend,CORN,0.02898203839660864
delay1,trend,SOYB,0.01924380795973927
delay1,trend,WEAT,0.010466931686399642
delay1,trend,BIL,0.11744820518339627
gross,bil,SPY,0.0
gross,bil,QQQ,0.0
gross,bil,IWM,0.0
gross,bil,EFA,0.0
gross,bil,EEM,0.0
gross,bil,IEF,0.0
gross,bil,TLT,0.0
gross,bil,GLD,0.0
gross,bil,USO,0.0
gross,bil,CORN,0.0
gross,bil,SOYB,0.0
gross,bil,WEAT,0.0
gross,bil,BIL,0.16443193087717867
gross,hold,SPY,0.053678030976974433
gross,hold,QQQ,0.06013297082627328
gross,hold,IWM,0.014157075998123839
gross,hold,EFA,0.009815861866508754
gross,hold,EEM,-0.0005796496357683223
gross,hold,IEF,0.004458481086417852
gross,hold,TLT,-0.005374707466442211
gross,hold,GLD,0.13430177992610198
gross,hold,USO,-0.042144497845993834
gross,hold,CORN,0.005145445927621624
gross,hold,SOYB,0.008536123682520099
gross,hold,WEAT,-0.008096439815987476
gross,hold,BIL,0.04110798271929467
gross,static,SPY,0.02958259760566739
gross,static,QQQ,0.0342430607912949
gross,static,IWM,0.009530856726398036
gross,static,EFA,0.009040868749492885
gross,static,EEM,0.003388148476461947
gross,static,IEF,0.0050914078360105
gross,static,TLT,-0.005726900849766455
gross,static,GLD,0.11409019794302147
gross,static,USO,0.04633972214271162
gross,static,CORN,0.0031077414085826666
gross,static,SOYB,0.004306688327949102
gross,static,WEAT,0.001353045130928909
gross,static,BIL,0.04437289049809299
gross,trend,SPY,0.02118778981907503
gross,trend,QQQ,0.03249377544079153
gross,trend,IWM,0.003520475048005532
gross,trend,EFA,0.0005608321955107693
gross,trend,EEM,0.005383912689171032
gross,trend,IEF,0.0035784129565102456
gross,trend,TLT,3.259233222254257e-05
gross,trend,GLD,0.07773285198549743
gross,trend,USO,0.1372860619051882
gross,trend,CORN,0.03148781071319745
gross,trend,SOYB,0.021577841101756635
gross,trend,WEAT,0.008409502801046211
gross,trend,BIL,0.12737820499709884
