date,ticker,action,weekday,actual_start,actual_end,range_status
2019-01-18,PCG,remove,Friday,2019-01-02,2026-08-28,WITHIN_RECORDED_RANGE_ONLY
2019-01-18,TFX,add,Friday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-02-15,ATO,add,Friday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-02-15,NFX,remove,Friday,2026-07-07,2026-08-27,EVENT_BEFORE_HISTORY
2019-02-27,GT,remove,Wednesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-02-27,WAB,add,Wednesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-04-02,BHF,remove,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-04-02,DOW,add,Tuesday,2019-03-20,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-06-01,HRS,remove,Saturday,,,MISSING_MANIFEST
2019-06-01,LHX,add,Saturday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-06-03,CTVA,add,Monday,2019-05-24,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-06-03,DD,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-06-03,DWDP,remove,Monday,,,MISSING_MANIFEST
2019-06-03,FLR,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-06-07,AMCR,add,Friday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-06-07,MAT,remove,Friday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-07-01,LLL,remove,Monday,,,MISSING_MANIFEST
2019-07-01,MKTX,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-07-15,RHT,remove,Monday,,,MISSING_MANIFEST
2019-07-15,TMUS,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-08-08,GL,add,Thursday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-08-08,TMK,remove,Thursday,,,MISSING_MANIFEST
2019-08-09,APC,remove,Friday,2026-02-12,2026-08-27,EVENT_BEFORE_HISTORY
2019-08-09,FL,remove,Friday,,,MISSING_MANIFEST
