date,removed,added,status
2019-01-18,PCG,TFX,PAIR_ONLY_NOT_PROOF_OF_RENAME
2019-02-15,NFX,ATO,PAIR_ONLY_NOT_PROOF_OF_RENAME
2019-02-27,GT,WAB,PAIR_ONLY_NOT_PROOF_OF_RENAME
2019-04-02,BHF,DOW,PAIR_ONLY_NOT_PROOF_OF_RENAME
2019-06-01,HRS,LHX,PAIR_ONLY_NOT_PROOF_OF_RENAME
2019-06-07,MAT,AMCR,PAIR_ONLY_NOT_PROOF_OF_RENAME
2019-07-01,LLL,MKTX,PAIR_ONLY_NOT_PROOF_OF_RENAME
2019-07-15,RHT,TMUS,PAIR_ONLY_NOT_PROOF_OF_RENAME
2019-08-08,TMK,GL,PAIR_ONLY_NOT_PROOF_OF_RENAME
2019-09-23,TSS,CDW,PAIR_ONLY_NOT_PROOF_OF_RENAME
2019-09-26,JEF,NVR,PAIR_ONLY_NOT_PROOF_OF_RENAME
2019-10-03,NKTR,LVS,PAIR_ONLY_NOT_PROOF_OF_RENAME
2019-10-18,BHGE,BKR,PAIR_ONLY_NOT_PROOF_OF_RENAME
2019-11-21,CELG,NOW,PAIR_ONLY_NOT_PROOF_OF_RENAME
2019-12-10,JEC,J,PAIR_ONLY_NOT_PROOF_OF_RENAME
2020-01-28,WCG,PAYC,PAIR_ONLY_NOT_PROOF_OF_RENAME
2020-03-03,XEC,TT,PAIR_ONLY_NOT_PROOF_OF_RENAME
2020-05-22,HP,WST,PAIR_ONLY_NOT_PROOF_OF_RENAME
2020-09-18,CTL,LUMN,PAIR_ONLY_NOT_PROOF_OF_RENAME
2020-10-07,ETFC,POOL,PAIR_ONLY_NOT_PROOF_OF_RENAME
2020-10-12,NBL,VNT,PAIR_ONLY_NOT_PROOF_OF_RENAME
2020-11-17,MYL,VTRS,PAIR_ONLY_NOT_PROOF_OF_RENAME
2020-12-21,AIV,TSLA,PAIR_ONLY_NOT_PROOF_OF_RENAME
2021-01-07,TIF,ENPH,PAIR_ONLY_NOT_PROOF_OF_RENAME
2021-01-21,CXO,TRMB,PAIR_ONLY_NOT_PROOF_OF_RENAME
2021-02-12,FTI,MPWR,PAIR_ONLY_NOT_PROOF_OF_RENAME
2021-04-20,VAR,PTC,PAIR_ONLY_NOT_PROOF_OF_RENAME
2021-05-14,FLIR,CRL,PAIR_ONLY_NOT_PROOF_OF_RENAME
2021-06-04,HFC,OGN,PAIR_ONLY_NOT_PROOF_OF_RENAME
2021-07-21,ALXN,MRNA,PAIR_ONLY_NOT_PROOF_OF_RENAME
2021-08-03,LB,BBWI,PAIR_ONLY_NOT_PROOF_OF_RENAME
2021-08-30,MXIM,TECH,PAIR_ONLY_NOT_PROOF_OF_RENAME
2021-10-04,COG,CTRA,PAIR_ONLY_NOT_PROOF_OF_RENAME
2021-12-14,KSU,EPAM,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-01-10,WLTW,WTW,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-02-02,GPS,CEG,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-02-15,XLNX,NDSN,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-02-17,VIAC,PARA,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-03-02,INFO,MOH,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-04-04,PBCT,CPT,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-05-10,BLL,BALL,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-06-08,CERN,VICI,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-06-09,FB,META,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-06-28,ANTM,ELV,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-10-12,NLSN,TRGP,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-11-01,TWTR,ACGL,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-11-08,NLOK,GEN,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-12-19,FBHS,FSLR,PAIR_ONLY_NOT_PROOF_OF_RENAME
2022-12-22,ABMD,STLD,PAIR_ONLY_NOT_PROOF_OF_RENAME
2023-01-04,VNO,GEHC,PAIR_ONLY_NOT_PROOF_OF_RENAME
2023-03-20,LUMN,FICO,PAIR_ONLY_NOT_PROOF_OF_RENAME
2023-05-04,FRC,AXON,PAIR_ONLY_NOT_PROOF_OF_RENAME
2023-05-16,PKI,RVTY,PAIR_ONLY_NOT_PROOF_OF_RENAME
2023-06-07,FISV,FI,PAIR_ONLY_NOT_PROOF_OF_RENAME
2023-06-20,DISH,PANW,PAIR_ONLY_NOT_PROOF_OF_RENAME
2023-07-10,RE,EG,PAIR_ONLY_NOT_PROOF_OF_RENAME
2023-08-25,AAP,KVUE,PAIR_ONLY_NOT_PROOF_OF_RENAME
2023-08-30,ABC,COR,PAIR_ONLY_NOT_PROOF_OF_RENAME
2023-10-02,DXC,VLTO,PAIR_ONLY_NOT_PROOF_OF_RENAME
2024-02-01,CDAY,DAY,PAIR_ONLY_NOT_PROOF_OF_RENAME
2024-03-04,PEAK,DOC,PAIR_ONLY_NOT_PROOF_OF_RENAME
2024-03-25,FLT,CPAY,PAIR_ONLY_NOT_PROOF_OF_RENAME
2024-04-01,VFC,SOLV,PAIR_ONLY_NOT_PROOF_OF_RENAME
2024-04-02,XRAY,GEV,PAIR_ONLY_NOT_PROOF_OF_RENAME
2024-05-08,PXD,VST,PAIR_ONLY_NOT_PROOF_OF_RENAME
2024-07-08,WRK,SW,PAIR_ONLY_NOT_PROOF_OF_RENAME
2024-11-26,MRO,TPL,PAIR_ONLY_NOT_PROOF_OF_RENAME
