ticker,first_event,last_event,adds,removes,root_price_in_inventory,manifest_present,actual_start,actual_end,auto_adjust,coverage_status,identity_status,sample_rows_through_cutoff,other_inventory_matches
AAL,2024-09-23,2024-09-23,0,1,True,True,2019-01-02,2026-08-28,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
AAP,2023-08-25,2023-08-25,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ABC,2023-08-30,2023-08-30,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
ABMD,2022-12-22,2022-12-22,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
ABNB,2023-09-18,2023-09-18,1,0,True,True,2020-12-10,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ACGL,2022-11-01,2022-11-01,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ADS,2020-06-22,2020-06-22,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
AGN,2020-05-12,2020-05-12,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
AIV,2020-12-21,2020-12-21,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ALK,2023-12-18,2023-12-18,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ALXN,2021-07-21,2021-07-21,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
AMCR,2019-06-07,2019-06-07,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
AMG,2019-12-23,2019-12-23,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
AMTM,2024-09-30,2024-12-23,1,1,True,True,2024-09-24,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ANTM,2022-06-28,2022-06-28,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
APC,2019-08-09,2019-08-09,0,1,True,True,2026-02-12,2026-08-27,False,NO_PRE2025_RANGE,UNVERIFIED,0,
APO,2024-12-23,2024-12-23,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ARNC,2020-04-06,2020-04-06,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
ATO,2019-02-15,2019-02-15,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ATVI,2023-10-18,2023-10-18,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
AXON,2023-05-04,2023-05-04,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
BALL,2022-05-10,2022-05-10,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
BBT,2019-12-09,2019-12-09,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
BBWI,2021-08-03,2024-10-01,1,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
BG,2023-03-15,2023-03-15,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
BHF,2019-04-02,2019-04-02,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
BHGE,2019-10-18,2019-10-18,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
BIO,2020-06-22,2024-09-23,1,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
BKR,2019-10-18,2019-10-18,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
BLDR,2023-12-18,2023-12-18,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
BLL,2022-05-10,2022-05-10,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
BRO,2021-09-20,2021-09-20,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
BX,2023-09-18,2023-09-18,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
CARR,2020-04-03,2020-04-03,1,0,True,True,2020-03-19,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
CBS,2019-12-05,2019-12-05,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
CDAY,2021-09-20,2024-02-01,1,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
CDW,2019-09-23,2019-09-23,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
CEG,2022-02-02,2022-02-02,1,0,True,True,2022-01-19,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
CELG,2019-11-21,2019-11-21,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
CERN,2022-06-08,2022-06-08,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
CMA,2024-06-24,2024-06-24,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
COG,2021-10-04,2021-10-04,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
COR,2023-08-30,2023-08-30,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
COTY,2020-09-21,2020-09-21,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
CPAY,2024-03-25,2024-03-25,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
CPRI,2020-05-12,2020-05-12,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
CPT,2022-04-04,2022-04-04,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
CRL,2021-05-14,2021-05-14,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
CRWD,2024-06-24,2024-06-24,1,0,True,True,2019-06-12,2026-08-28,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
CSGP,2022-09-19,2022-09-19,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
CTL,2020-09-18,2020-09-18,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
CTLT,2020-09-21,2024-12-23,1,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
CTRA,2021-10-04,2021-10-04,1,0,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
CTVA,2019-06-03,2019-06-03,1,0,True,True,2019-05-24,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
CTXS,2022-10-03,2022-10-03,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
CXO,2021-01-21,2021-01-21,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
CZR,2021-03-22,2021-03-22,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
DAY,2024-02-01,2024-02-01,1,0,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
DD,2019-06-03,2019-06-03,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
DECK,2024-03-18,2024-03-18,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
DELL,2024-09-23,2024-09-23,1,0,True,True,2019-01-02,2026-08-28,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
DISCA,2022-04-11,2022-04-11,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
DISCK,2022-04-11,2022-04-11,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
DISH,2023-06-20,2023-06-20,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
DOC,2024-03-04,2024-03-04,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
