asset,timeframe,target,model,year,observations,loss,constant_loss,skill_vs_constant,mean_prediction,mean_actual,metric
BTC,1,downside,boosted,all,2136,0.14451952270393054,0.15238328759739225,0.05160516627150313,0.19549189427690422,0.18445692883895132,Brier
BTC,1,downside,boosted,2020,333,0.15108066334664258,0.15210873300193206,0.006758781267847569,0.21150319803706025,0.18618618618618618,Brier
BTC,1,downside,boosted,2021,365,0.22849968544187396,0.24346022536048426,0.061449626510690525,0.2639628442079559,0.33972602739726027,Brier
BTC,1,downside,boosted,2022,365,0.15309439459646293,0.15882680915814976,0.036092235259721495,0.23807871871064,0.19452054794520549,Brier
BTC,1,downside,boosted,2023,354,0.08589882377463276,0.10047594340591261,0.14508069431495418,0.1488661316247783,0.08757062146892655,Brier
BTC,1,downside,boosted,2024,366,0.12597525919366828,0.1307159552122653,0.036267156606083595,0.17252748301093215,0.15027322404371585,Brier
BTC,1,downside,boosted,2025,353,0.12064269661775669,0.12632635423711872,0.04499185980380327,0.1361226101605273,0.14447592067988668,Brier
BTC,1,downside,constant,all,2136,0.15238328759739225,0.15238328759739225,0.0,0.21432472893609825,0.18445692883895132,Brier
BTC,1,downside,constant,2020,333,0.15210873300193206,0.15210873300193206,0.0,0.210431654676259,0.18618618618618618,Brier
BTC,1,downside,constant,2021,365,0.24346022536048426,0.24346022536048426,0.0,0.20134983127109113,0.33972602739726027,Brier
BTC,1,downside,constant,2022,365,0.15882680915814976,0.15882680915814976,0.0,0.24082934609250398,0.19452054794520549,Brier
BTC,1,downside,constant,2023,354,0.10047594340591261,0.10047594340591261,0.0,0.23100679431747995,0.08757062146892655,Brier
BTC,1,downside,constant,2024,366,0.1307159552122653,0.1307159552122653,0.0,0.20527116066903187,0.15027322404371585,Brier
BTC,1,downside,constant,2025,353,0.12632635423711872,0.12632635423711872,0.0,0.19666524155622067,0.14447592067988668,Brier
BTC,1,downside,core_label,all,2136,0.14850697880043395,0.15238328759739225,0.02543788664804103,0.20345705331362438,0.18445692883895132,Brier
BTC,1,downside,core_label,2020,333,0.15725724551293432,0.15210873300193206,-0.033847580013284695,0.20434639564683688,0.18618618618618618,Brier
BTC,1,downside,core_label,2021,365,0.23773992897763635,0.24346022536048426,0.023495814868231713,0.2337491184799801,0.33972602739726027,Brier
BTC,1,downside,core_label,2022,365,0.1551890709090573,0.15882680915814976,0.02290380489524435,0.22988152146011467,0.19452054794520549,Brier
BTC,1,downside,core_label,2023,354,0.09228465245808169,0.10047594340591261,0.08152489710635447,0.19397394111339453,0.08757062146892655,Brier
BTC,1,downside,core_label,2024,366,0.12720861434840888,0.1307159552122653,0.026831773199843645,0.18660199764733731,0.15027322404371585,Brier
BTC,1,downside,core_label,2025,353,0.11954118748328058,0.12632635423711872,0.05371141116842615,0.1709592811793295,0.14447592067988668,Brier
BTC,1,downside,full_linear,all,2136,0.14275260030226544,0.15238328759739225,0.06320041683686328,0.20416000033242407,0.18445692883895132,Brier
BTC,1,downside,full_linear,2020,333,0.14697322924456635,0.15210873300193206,0.0337620572863524,0.22611756204738817,0.18618618618618618,Brier
BTC,1,downside,full_linear,2021,365,0.22555907155006635,0.24346022536048426,0.073528042553613,0.2763387671529702,0.33972602739726027,Brier
BTC,1,downside,full_linear,2022,365,0.15154681826851088,0.15882680915814976,0.045836033149730504,0.23727019394809945,0.19452054794520549,Brier
BTC,1,downside,full_linear,2023,354,0.08621871127516409,0.10047594340591261,0.1418969720259381,0.16068991760563991,0.08757062146892655,Brier
BTC,1,downside,full_linear,2024,366,0.12571495678453523,0.1307159552122653,0.03825851572295913,0.17773806679355766,0.15027322404371585,Brier
BTC,1,downside,full_linear,2025,353,0.11841564064835615,0.12632635423711872,0.062621245080135,0.14556651123951428,0.14447592067988668,Brier
BTC,1,downside,priority_relative,all,2136,0.1516447860377445,0.15238328759739225,0.004846342215682586,0.21985575045335273,0.18445692883895132,Brier
BTC,1,downside,priority_relative,2020,333,0.15040406901084077,0.15210873300193206,0.011206877852763641,0.21995843002943727,0.18618618618618618,Brier
BTC,1,downside,priority_relative,2021,365,0.23993878000671068,0.24346022536048426,0.014464150555021815,0.20399645561189902,0.33972602739726027,Brier
BTC,1,downside,priority_relative,2022,365,0.15608913566570534,0.15882680915814976,0.017236847525649246,0.24156073359169944,0.19452054794520549,Brier
BTC,1,downside,priority_relative,2023,354,0.10616689457146357,0.10047594340591261,-0.05663993760735431,0.24072618760424763,0.08757062146892655,Brier
BTC,1,downside,priority_relative,2024,366,0.12822969931856248,0.1307159552122653,0.019020293962320634,0.21552408168622875,0.15027322404371585,Brier
BTC,1,downside,priority_relative,2025,353,0.12680840834755921,0.12632635423711872,-0.003815942550955409,0.19727611161524664,0.14447592067988668,Brier
BTC,1,downside,simple_linear,all,2136,0.1431099028087098,0.15238328759739225,0.060855655071462955,0.20478440029929493,0.18445692883895132,Brier
BTC,1,downside,simple_linear,2020,333,0.14480895721936995,0.15210873300193206,0.047990510725438695,0.2178661513645854,0.18618618618618618,Brier
BTC,1,downside,simple_linear,2021,365,0.22829433464836002,0.24346022536048426,0.06229309403484107,0.25931317401940046,0.33972602739726027,Brier
BTC,1,downside,simple_linear,2022,365,0.14966651036483736,0.15882680915814976,0.05767476436670804,0.23403738370767138,0.19452054794520549,Brier
BTC,1,downside,simple_linear,2023,354,0.08880397250136561,0.10047594340591261,0.11616682072238349,0.1744799979276093,0.08757062146892655,Brier
BTC,1,downside,simple_linear,2024,366,0.12608249463453225,0.1307159552122653,0.03544678666203327,0.18441680827235102,0.15027322404371585,Brier
BTC,1,downside,simple_linear,2025,353,0.11876164848106147,0.12632635423711872,0.05988224548820631,0.15732188660184593,0.14447592067988668,Brier
BTC,1,downside,split_absolute,all,2136,0.14844115626740473,0.15238328759739225,0.025869840401415378,0.2031631560686018,0.18445692883895132,Brier
BTC,1,downside,split_absolute,2020,333,0.1579074434206769,0.15210873300193206,-0.03812214002644532,0.19695068443888142,0.18618618618618618,Brier
BTC,1,downside,split_absolute,2021,365,0.2359217787100163,0.24346022536048426,0.030963770937556645,0.2348926062812937,0.33972602739726027,Brier
BTC,1,downside,split_absolute,2022,365,0.1560671314735695,0.15882680915814976,0.017375389578168532,0.23390724815899444,0.19452054794520549,Brier
BTC,1,downside,split_absolute,2023,354,0.09281395612655488,0.10047594340591261,0.07625693294965219,0.19440629214474817,0.08757062146892655,Brier
BTC,1,downside,split_absolute,2024,366,0.12647547537726767,0.1307159552122653,0.03244041500604633,0.18595425363343493,0.15027322404371585,Brier
BTC,1,downside,split_absolute,2025,353,0.1197309191337164,0.12632635423711872,0.05220949455267632,0.17105068647196245,0.14447592067988668,Brier
BTC,1,downside,split_relative,all,2136,0.1513426817545114,0.15238328759739225,0.0068288711924250345,0.21983737729809555,0.18445692883895132,Brier
BTC,1,downside,split_relative,2020,333,0.15091916399084093,0.15210873300193206,0.007820517518057457,0.21880181671674737,0.18618618618618618,Brier
BTC,1,downside,split_relative,2021,365,0.2412948696238736,0.24346022536048426,0.00889408417085169,0.2025615206138593,0.33972602739726027,Brier
BTC,1,downside,split_relative,2022,365,0.15361491327311194,0.15882680915814976,0.03281496312028864,0.24429776404639483,0.19452054794520549,Brier
BTC,1,downside,split_relative,2023,354,0.10548338991143236,0.10047594340591261,-0.04983726786510645,0.23989023827567885,0.08757062146892655,Brier
BTC,1,downside,split_relative,2024,366,0.12845611524393896,0.1307159552122653,0.017288172393773005,0.21511166455319763,0.15027322404371585,Brier
BTC,1,downside,split_relative,2025,353,0.126101296468436,0.12632635423711872,0.0017815583299448656,0.19817558205382943,0.14447592067988668,Brier
BTC,1,log_variance,boosted,all,2136,0.8553284608980068,1.5129870608065503,0.4346756274028911,-7.473281056187749,-7.549221680658921,log_variance_MSE
BTC,1,log_variance,boosted,2020,333,0.9051856049068107,1.4722604212591028,0.38517290023141415,-7.367747645942836,-7.3936607385901025,log_variance_MSE
BTC,1,log_variance,boosted,2021,365,0.5425434388994049,1.4733770918321267,0.6317687834926504,-6.860570923826333,-6.60275710634589,log_variance_MSE
BTC,1,log_variance,boosted,2022,365,0.8312178887750312,1.3231901910268307,0.3718077005014796,-7.233264588987963,-7.389952617931337,log_variance_MSE
BTC,1,log_variance,boosted,2023,354,1.2190487505790115,2.379046822587749,0.48758942488865287,-7.909173082054075,-8.269311638952319,log_variance_MSE
BTC,1,log_variance,boosted,2024,366,0.8256554045403299,1.0376934532330446,0.20433592216669338,-7.582040742982176,-7.6253458885938645,log_variance_MSE
BTC,1,log_variance,boosted,2025,353,0.8226593928506363,1.4128957628346561,0.4177494090574976,-7.904657860516234,-8.038233765329426,log_variance_MSE
BTC,1,log_variance,constant,all,2136,1.5129870608065503,1.5129870608065503,0.0,-7.393595947721775,-7.549221680658921,log_variance_MSE
BTC,1,log_variance,constant,2020,333,1.4722604212591028,1.4722604212591028,0.0,-7.516104925609837,-7.3936607385901025,log_variance_MSE
BTC,1,log_variance,constant,2021,365,1.4733770918321267,1.4733770918321267,0.0,-7.4728594346625155,-6.60275710634589,log_variance_MSE
BTC,1,log_variance,constant,2022,365,1.3231901910268307,1.3231901910268307,0.0,-7.219652713553836,-7.389952617931337,log_variance_MSE
BTC,1,log_variance,constant,2023,354,2.379046822587749,2.379046822587749,0.0,-7.25533468909053,-8.269311638952319,log_variance_MSE
BTC,1,log_variance,constant,2024,366,1.0376934532330446,1.0376934532330446,0.0,-7.4384634295611844,-7.6253458885938645,log_variance_MSE
BTC,1,log_variance,constant,2025,353,1.4128957628346561,1.4128957628346561,0.0,-7.468059418836342,-8.038233765329426,log_variance_MSE
BTC,1,log_variance,core_label,all,2136,1.1590879268415624,1.5129870608065503,0.23390757471272072,-7.462072697610588,-7.549221680658921,log_variance_MSE
BTC,1,log_variance,core_label,2020,333,1.101594155021785,1.4722604212591028,0.2517667804452134,-7.498689794536685,-7.3936607385901025,log_variance_MSE
