asset,scenario,model,accounting_max_relative_error,replay_max_relative_error,cancelled_missing_entries,held_stale_marks,ignored_signals,deferred_exits,trades,win_fraction,geometric_break_even_one_way_bps,top5_positive_pnl_share,terminal_multiple_without_top5,combination
BTC,frictionless,unfiltered,3.756063320430797e-16,2.2185278656395553e-16,0.0,0.0,2.0,0.0,50,0.62,2.968529291713967,0.3550858029657568,0.8068817024347139,
ETH,frictionless,unfiltered,2.14452583010216e-16,0.0,0.0,1.0,0.0,0.0,65,0.6307692307692307,56.71524383591913,0.3360982770059255,1.2959376137406615,
MIX,frictionless,unfiltered,,,,,,,115,0.6260869565217392,,0.2604114140939931,1.1630339541375305,"equal initial capital, no sleeve rebalancing"
BTC,frictionless,constant,3.756063320430797e-16,2.2185278656395553e-16,0.0,0.0,2.0,0.0,50,0.62,2.968529291713967,0.3550858029657568,0.8068817024347139,
ETH,frictionless,constant,2.14452583010216e-16,0.0,0.0,1.0,0.0,0.0,65,0.6307692307692307,56.71524383591913,0.3360982770059255,1.2959376137406615,
MIX,frictionless,constant,,,,,,,115,0.6260869565217392,,0.2604114140939931,1.1630339541375305,"equal initial capital, no sleeve rebalancing"
BTC,frictionless,simple_linear,3.756063320430797e-16,2.2172551218897317e-16,0.0,0.0,0.0,0.0,33,0.6060606060606061,29.352426804859235,0.5618790109415199,0.980205175663233,
ETH,frictionless,simple_linear,2.0486929186178724e-16,0.0,0.0,0.0,0.0,0.0,31,0.5806451612903226,45.51177642331099,0.6450728687913091,0.9571661125330096,
MIX,frictionless,simple_linear,,,,,,,64,0.59375,,0.4152577889103551,1.0570033971836323,"equal initial capital, no sleeve rebalancing"
BTC,frictionless,core_label,3.756063320430797e-16,2.2142042257611527e-16,0.0,0.0,0.0,0.0,31,0.5806451612903226,17.782797955534548,0.6307081042113394,0.9110891134458702,
ETH,frictionless,core_label,4.1532586512575734e-16,2.2016118810641813e-16,0.0,0.0,0.0,0.0,39,0.5384615384615384,11.361042675035511,0.6254791405828922,0.7599845005504411,
MIX,frictionless,core_label,,,,,,,70,0.5571428571428572,,0.43336436182824367,0.9200441804102304,"equal initial capital, no sleeve rebalancing"
BTC,frictionless,split_absolute,3.756063320430797e-16,2.220123652031729e-16,0.0,0.0,0.0,0.0,29,0.5862068965517241,14.565420257898598,0.6757878547246705,0.8958062929438665,
ETH,frictionless,split_absolute,3.7354468873010206e-16,2.1786220774834907e-16,0.0,0.0,0.0,0.0,38,0.5263157894736842,8.549542273579759,0.6529006226677729,0.7422294336765985,
MIX,frictionless,split_absolute,,,,,,,67,0.5522388059701493,,0.46283119789947214,0.8974577106421571,"equal initial capital, no sleeve rebalancing"
BTC,frictionless,priority_relative,3.756063320430797e-16,2.2188390729993253e-16,0.0,0.0,0.0,0.0,22,0.6818181818181818,20.50265229270726,0.7059850634005473,0.9434750907005358,
ETH,frictionless,priority_relative,3.9762938859161934e-16,2.2072095159913294e-16,0.0,0.0,0.0,0.0,21,0.42857142857142855,21.318443506264092,0.8092868285805245,0.8795836027974056,
MIX,frictionless,priority_relative,,,,,,,43,0.5581395348837209,,0.5029548666026264,0.9698747143738882,"equal initial capital, no sleeve rebalancing"
BTC,frictionless,split_relative,3.756063320430797e-16,2.2188390729993253e-16,0.0,0.0,0.0,0.0,22,0.6818181818181818,20.50265229270726,0.7059850634005473,0.9434750907005358,
ETH,frictionless,split_relative,3.156001436778218e-16,4.4393991308332067e-16,0.0,0.0,0.0,0.0,24,0.4583333333333333,7.697200073331156,0.7467760234649141,0.8345207317631189,
MIX,frictionless,split_relative,,,,,,,46,0.5652173913043478,,0.47969199221718684,0.9461417405140248,"equal initial capital, no sleeve rebalancing"
BTC,frictionless,full_linear,3.756063320430797e-16,2.214796187863634e-16,0.0,0.0,0.0,0.0,33,0.6363636363636364,40.57358426407743,0.5031471802227315,1.0539797343868251,
ETH,frictionless,full_linear,2.0334704265288098e-16,0.0,0.0,0.0,0.0,0.0,38,0.631578947368421,45.80014045933768,0.5587848100503469,0.9239965461409518,
MIX,frictionless,full_linear,,,,,,,71,0.6338028169014085,,0.368586775452165,1.1030290623406256,"equal initial capital, no sleeve rebalancing"
BTC,frictionless,boosted,3.756063320430797e-16,2.2197215170051597e-16,0.0,0.0,0.0,0.0,37,0.6216216216216216,18.43753110756508,0.4827686893885121,0.9263715617758639,
ETH,frictionless,boosted,2.14452583010216e-16,1.3767247536702705e-16,0.0,0.0,0.0,0.0,33,0.5454545454545454,,0.667106022964336,0.6877956514498663,
MIX,frictionless,boosted,,,,,,,70,0.5857142857142857,,0.3855038985816296,0.8824115382658625,"equal initial capital, no sleeve rebalancing"
BTC,base,unfiltered,1.5497653213938167e-16,3.270241036913114e-16,0.0,0.0,2.0,0.0,50,0.46,2.968529291713967,0.4223332593409659,0.615956447066652,
ETH,base,unfiltered,3.1248382268497724e-16,4.502654890274519e-16,0.0,1.0,0.0,0.0,65,0.5692307692307692,56.71524383591913,0.35799766929271565,0.9041440166905048,
MIX,base,unfiltered,,,,,,,115,0.5217391304347826,,0.28045852281299966,0.8336413108645245,"equal initial capital, no sleeve rebalancing"
BTC,base,constant,1.5497653213938167e-16,3.270241036913114e-16,0.0,0.0,2.0,0.0,50,0.46,2.968529291713967,0.4223332593409659,0.615956447066652,
ETH,base,constant,3.1248382268497724e-16,4.502654890274519e-16,0.0,1.0,0.0,0.0,65,0.5692307692307692,56.71524383591913,0.35799766929271565,0.9041440166905048,
MIX,base,constant,,,,,,,115,0.5217391304347826,,0.28045852281299966,0.8336413108645245,"equal initial capital, no sleeve rebalancing"
BTC,base,simple_linear,4.0064610485153926e-16,4.435567399024308e-16,0.0,0.0,0.0,0.0,33,0.3939393939393939,29.352426804859235,0.656086239240623,0.828619786397931,
ETH,base,simple_linear,3.975147419375609e-16,4.440890567699595e-16,0.0,0.0,0.0,0.0,31,0.5161290322580645,45.51177642331099,0.7293712112892811,0.8189118810363972,
MIX,base,simple_linear,,,,,,,64,0.453125,,0.4949728889415784,0.8853155993007632,"equal initial capital, no sleeve rebalancing"
BTC,base,core_label,1.9131213089323931e-16,2.572553768108199e-16,0.0,0.0,0.0,0.0,31,0.3225806451612903,17.782797955534548,0.7453936025585085,0.7794902994520819,
ETH,base,core_label,2.140921257269661e-16,2.9273755173778026e-16,0.0,0.0,0.0,0.0,39,0.46153846153846156,11.361042675035511,0.7231317200529118,0.6197383836023977,
MIX,base,core_label,,,,,,,70,0.4,,0.5160725083629186,0.758719309318808,"equal initial capital, no sleeve rebalancing"
BTC,base,split_absolute,1.9131213089323931e-16,2.5673960189306115e-16,0.0,0.0,0.0,0.0,29,0.3103448275862069,14.565420257898598,0.8098539198853234,0.775667358604248,
ETH,base,split_absolute,2.0325511104441283e-16,2.979471422095605e-16,0.0,0.0,0.0,0.0,38,0.4473684210526316,8.549542273579759,0.7544998551379096,0.6089022898098264,
MIX,base,split_absolute,,,,,,,67,0.3880597014925373,,0.5537302780204753,0.7471201277107857,"equal initial capital, no sleeve rebalancing"
BTC,base,priority_relative,1.9131213089323931e-16,2.4101773774161077e-16,0.0,0.0,0.0,0.0,22,0.36363636363636365,20.50265229270726,0.8637125612201807,0.8519856274570083,
ETH,base,priority_relative,2.2201435327586308e-16,2.364405702909308e-16,0.0,0.0,0.0,0.0,21,0.42857142857142855,21.318443506264092,0.8724882225669761,0.7990698221321283,
MIX,base,priority_relative,,,,,,,43,0.3953488372093023,,0.6109859235209425,0.8651614433711168,"equal initial capital, no sleeve rebalancing"
BTC,base,split_relative,1.9131213089323931e-16,2.4101773774161077e-16,0.0,0.0,0.0,0.0,22,0.36363636363636365,20.50265229270726,0.8637125612201807,0.8519856274570083,
ETH,base,split_relative,1.1853559176934964e-16,2.5876338435559794e-16,0.0,0.0,0.0,0.0,24,0.4583333333333333,7.697200073331156,0.8248609012943126,0.7446075076072656,
MIX,base,split_relative,,,,,,,46,0.41304347826086957,,0.5893150146606706,0.8368202686504429,"equal initial capital, no sleeve rebalancing"
BTC,base,full_linear,3.286527192191461e-16,4.4246106690373623e-16,0.0,0.0,0.0,0.0,33,0.42424242424242425,40.57358426407743,0.5811758654579775,0.89098536108466,
ETH,base,full_linear,3.4610843228972193e-16,4.4367651386226125e-16,0.0,0.0,0.0,0.0,38,0.5789473684210527,45.80014045933768,0.6254221815669418,0.7580184605919851,
MIX,base,full_linear,,,,,,,71,0.5070422535211268,,0.428430086701393,0.9055219498074372,"equal initial capital, no sleeve rebalancing"
BTC,base,boosted,1.9131213089323931e-16,2.718583217742686e-16,0.0,0.0,0.0,0.0,37,0.40540540540540543,18.43753110756508,0.5600904902621815,0.7645403723312272,
ETH,base,boosted,2.140921257269661e-16,3.2279603555569567e-16,0.0,0.0,0.0,0.0,33,0.48484848484848486,,0.7635332336511912,0.5814303983900002,
MIX,base,boosted,,,,,,,70,0.44285714285714284,,0.46997650465672686,0.7243359476693001,"equal initial capital, no sleeve rebalancing"
BTC,cost_stress,unfiltered,2.3730403863514106e-16,7.944413202058661e-16,0.0,0.0,2.0,0.0,50,0.38,2.968529291713967,0.5440901463883818,0.41082379976827377,
ETH,cost_stress,unfiltered,4.582723097732868e-16,2.2194405932709957e-16,0.0,1.0,0.0,0.0,65,0.4307692307692308,56.71524383591913,0.40801019816416634,0.526880023188083,
MIX,cost_stress,unfiltered,,,,,,,115,0.40869565217391307,,0.32707822996706826,0.5067361381543787,"equal initial capital, no sleeve rebalancing"
BTC,cost_stress,constant,2.3730403863514106e-16,7.944413202058661e-16,0.0,0.0,2.0,0.0,50,0.38,2.968529291713967,0.5440901463883818,0.41082379976827377,
ETH,cost_stress,constant,4.582723097732868e-16,2.2194405932709957e-16,0.0,1.0,0.0,0.0,65,0.4307692307692308,56.71524383591913,0.40801019816416634,0.526880023188083,
MIX,cost_stress,constant,,,,,,,115,0.40869565217391307,,0.32707822996706826,0.5067361381543787,"equal initial capital, no sleeve rebalancing"
BTC,cost_stress,simple_linear,1.891151622547223e-16,0.0,0.0,0.0,0.0,0.0,33,0.3333333333333333,29.352426804859235,0.7922071499352052,0.6440356214641167,
ETH,cost_stress,simple_linear,1.7543564211515994e-16,1.33295019203863e-16,0.0,0.0,0.0,0.0,31,0.3548387096774194,45.51177642331099,0.8649554576338685,0.6480511574757979,
MIX,cost_stress,simple_linear,,,,,,,64,0.34375,,0.6389206725036778,0.678724638771521,"equal initial capital, no sleeve rebalancing"
BTC,cost_stress,core_label,1.891151622547223e-16,1.5969065617942463e-16,0.0,0.0,0.0,0.0,31,0.25806451612903225,17.782797955534548,0.830483471344898,0.6168546366206966,
ETH,cost_stress,core_label,3.572349540104326e-16,2.2138536092219167e-16,0.0,0.0,0.0,0.0,39,0.3076923076923077,11.361042675035511,0.8544506433101554,0.45636296840734586,
MIX,cost_stress,core_label,,,,,,,70,0.2857142857142857,,0.627884770491627,0.5684145852212881,"equal initial capital, no sleeve rebalancing"
BTC,cost_stress,split_absolute,1.891151622547223e-16,1.590171326152555e-16,0.0,0.0,0.0,0.0,29,0.2413793103448276,14.565420257898598,0.8972715127905565,0.6249786245700486,
ETH,cost_stress,split_absolute,3.322893617051768e-16,2.2188025146725924e-16,0.0,0.0,0.0,0.0,38,0.2894736842105263,8.549542273579759,0.8810174343792733,0.4524372699636422,
MIX,cost_stress,split_absolute,,,,,,,67,0.26865671641791045,,0.6691823965789324,0.5678178984953257,"equal initial capital, no sleeve rebalancing"
BTC,cost_stress,priority_relative,1.891151622547223e-16,1.4234841521445322e-16,0.0,0.0,0.0,0.0,22,0.2727272727272727,20.50265229270726,0.960662987339744,0.7311109174487598,
ETH,cost_stress,priority_relative,1.5167618754053106e-16,0.0,0.0,0.0,0.0,0.0,21,0.2857142857142857,21.318443506264092,0.9512178925817161,0.6919018544272982,
MIX,cost_stress,priority_relative,,,,,,,43,0.27906976744186046,,0.760383051270543,0.7289483483113997,"equal initial capital, no sleeve rebalancing"
BTC,cost_stress,split_relative,1.891151622547223e-16,1.4234841521445322e-16,0.0,0.0,0.0,0.0,22,0.2727272727272727,20.50265229270726,0.960662987339744,0.7311109174487598,
ETH,cost_stress,split_relative,1.4959176133924845e-16,1.5783010440119183e-16,0.0,0.0,0.0,0.0,24,0.2916666666666667,7.697200073331156,0.9457524026541391,0.6275681321215529,
MIX,cost_stress,split_relative,,,,,,,46,0.2826086956521739,,0.7553690346319627,0.6960675082753918,"equal initial capital, no sleeve rebalancing"
BTC,cost_stress,full_linear,2.726934795185376e-16,0.0,0.0,0.0,0.0,0.0,33,0.36363636363636365,40.57358426407743,0.697154442051607,0.6925085789177853,
ETH,cost_stress,full_linear,2.1514200147760525e-16,1.5933701822494884e-16,0.0,0.0,0.0,0.0,38,0.39473684210526316,45.80014045933768,0.7438119492982503,0.5632361852332545,
MIX,cost_stress,full_linear,,,,,,,71,0.38028169014084506,,0.529822851040447,0.673585208120981,"equal initial capital, no sleeve rebalancing"
BTC,cost_stress,boosted,1.891151622547223e-16,1.7626735373853177e-16,0.0,0.0,0.0,0.0,37,0.35135135135135137,18.43753110756508,0.6860168771857492,0.5732181779074808,
ETH,cost_stress,boosted,3.572349540104326e-16,4.156180191507509e-16,0.0,0.0,0.0,0.0,33,0.30303030303030304,,0.8955584367242506,0.45191038653933724,
MIX,cost_stress,boosted,,,,,,,70,0.32857142857142857,,0.6139469710285335,0.5389134537505025,"equal initial capital, no sleeve rebalancing"
BTC,delay_stress,unfiltered,2.0637736471241304e-16,3.2582683311905937e-16,0.0,0.0,2.0,0.0,50,0.44,2.7148804492215572,0.47358333193197133,0.604951420987439,
ETH,delay_stress,unfiltered,2.286651631817165e-16,0.0,0.0,1.0,0.0,0.0,65,0.5692307692307692,75.99976728931729,0.3471548324879051,1.12438109292074,
MIX,delay_stress,unfiltered,,,,,,,115,0.5130434782608696,,0.28576601943088736,0.9427932292105662,"equal initial capital, no sleeve rebalancing"
BTC,delay_stress,constant,2.0637736471241304e-16,3.2582683311905937e-16,0.0,0.0,2.0,0.0,50,0.44,2.7148804492215572,0.47358333193197133,0.604951420987439,
ETH,delay_stress,constant,2.286651631817165e-16,0.0,0.0,1.0,0.0,0.0,65,0.5692307692307692,75.99976728931729,0.3471548324879051,1.12438109292074,
MIX,delay_stress,constant,,,,,,,115,0.5130434782608696,,0.28576601943088736,0.9427932292105662,"equal initial capital, no sleeve rebalancing"
BTC,delay_stress,simple_linear,2.027613216790256e-16,4.440610044231316e-16,0.0,0.0,0.0,0.0,33,0.36363636363636365,29.02904677759654,0.6728334382872171,0.8365895183641529,
ETH,delay_stress,simple_linear,2.7867533142783304e-16,4.440180599506821e-16,0.0,0.0,0.0,0.0,31,0.5161290322580645,60.648329388123784,0.7301623971333802,0.8678018103595265,
MIX,delay_stress,simple_linear,,,,,,,64,0.4375,,0.5115400032900833,0.9186064868179703,"equal initial capital, no sleeve rebalancing"
BTC,delay_stress,core_label,3.9690941027355535e-16,4.374092917093847e-16,0.0,0.0,0.0,0.0,31,0.3225806451612903,23.80091203175735,0.8130020033977063,0.7936445062421268,
ETH,delay_stress,core_label,1.960260606695857e-16,2.600377169733705e-16,0.0,0.0,0.0,0.0,39,0.46153846153846156,26.583538687131114,0.7196205052532754,0.6766428726997543,
MIX,delay_stress,core_label,,,,,,,70,0.4,,0.49802576027505036,0.8194687428121616,"equal initial capital, no sleeve rebalancing"
BTC,delay_stress,split_absolute,1.7372102794007254e-16,2.5252798296727076e-16,0.0,0.0,0.0,0.0,29,0.3103448275862069,18.530829085675208,0.8779234391426469,0.7803023852877667,
ETH,delay_stress,split_absolute,2.167955612957009e-16,2.672012697423083e-16,0.0,0.0,0.0,0.0,38,0.4473684210526316,22.917928862412506,0.7619005374833666,0.6585023641273774,
