scenario,asset,regime,entry_year,trades,mean_net_trade_return,median_net_trade_return,win_fraction,geometric_break_even_one_way_bps,top5_positive_pnl_share,terminal_multiple_without_top5
frictionless,BTC,TREND_UP,all,12,0.003686369900727108,0.003207200984983838,0.5833333333333334,16.82734619118491,0.9542221920651176,0.9192053008978103
frictionless,BTC,TREND_UP,2020,3,-0.006638774407660031,-0.009102889088865584,0.3333333333333333,,1.0,0.9354359198158957
frictionless,BTC,TREND_UP,2021,0,,,,,,1.0
frictionless,BTC,TREND_UP,2022,2,0.015694254453099687,0.015694254453099687,1.0,77.4619207933064,1.0,1.0
frictionless,BTC,TREND_UP,2023,4,0.007796043464372099,0.005020209324187785,0.75,38.63543935288973,1.0,0.9987264949351401
frictionless,BTC,TREND_UP,2024,2,-0.011201456276296873,-0.011201456276296873,0.0,,,0.9776213400857652
frictionless,BTC,TREND_UP,2025,1,0.023982991820611366,0.023982991820611366,1.0,118.49403832706334,1.0,1.0
frictionless,BTC,TREND_DOWN,all,15,0.0069822640525238604,0.010512171243355128,0.6666666666666666,33.53238953224173,0.7554737008907492,0.9543023483969281
frictionless,BTC,TREND_DOWN,2020,2,-0.0013229512957995682,-0.0013229512957995682,0.5,,1.0,0.9811318927712244
frictionless,BTC,TREND_DOWN,2021,2,0.015123063604185916,0.015123063604185916,1.0,74.99626479198042,1.0,1.0
frictionless,BTC,TREND_DOWN,2022,2,0.027217288635489556,0.027217288635489556,1.0,134.1682823051115,1.0,1.0
frictionless,BTC,TREND_DOWN,2023,2,0.0005881761410920228,0.0005881761410920228,0.5,2.886360762783982,1.0,0.9959527523958102
frictionless,BTC,TREND_DOWN,2024,4,-0.007038192704935442,-0.015784717252439684,0.25,,1.0,0.9287754412849276
frictionless,BTC,TREND_DOWN,2025,3,0.016558525812554608,0.01854937374986876,1.0,81.72052522943342,1.0,1.0
frictionless,BTC,RANGE,all,3,0.004797195843377455,-0.002246340155651394,0.3333333333333333,18.681791133549993,1.0,0.9499822022747654
frictionless,BTC,RANGE,2020,0,,,,,,1.0
frictionless,BTC,RANGE,2021,0,,,,,,1.0
frictionless,BTC,RANGE,2022,0,,,,,,1.0
frictionless,BTC,RANGE,2023,1,0.06451693779839585,0.06451693779839585,1.0,312.5037950388386,1.0,1.0
frictionless,BTC,RANGE,2024,2,-0.02506267513413174,-0.02506267513413174,0.0,,,0.9499822022747654
frictionless,BTC,RANGE,2025,0,,,,,,1.0
frictionless,BTC,VOL_COMPRESSION,all,5,0.004467855990921676,0.0042814776837669655,0.8,22.242282854097233,1.0,0.9991707291196413
frictionless,BTC,VOL_COMPRESSION,2020,1,-0.0008292708803586679,-0.0008292708803586679,0.0,,,0.9991707291196413
frictionless,BTC,VOL_COMPRESSION,2021,0,,,,,,1.0
frictionless,BTC,VOL_COMPRESSION,2022,1,0.005076065151732978,0.005076065151732978,1.0,25.316072741354326,1.0,1.0
frictionless,BTC,VOL_COMPRESSION,2023,1,0.0042814776837669655,0.0042814776837669655,1.0,21.361658686357885,1.0,1.0
frictionless,BTC,VOL_COMPRESSION,2024,0,,,,,,1.0
frictionless,BTC,VOL_COMPRESSION,2025,2,0.006905503999733553,0.006905503999733553,1.0,34.34079212636981,1.0,1.0
frictionless,BTC,VOL_EXPANSION,all,9,0.010136367698825458,0.02958585708332717,0.7777777777777778,46.22351848325847,0.92096504697469,0.9085511650177227
