scenario,gap_mode,regime_filter,asset,accounting_max_relative_error,replay_max_relative_error,cancelled_missing_entries,held_stale_marks,ignored_signals,deferred_exits,trades,win_fraction,geometric_break_even_one_way_bps,top5_positive_pnl_share,terminal_multiple_without_top5,combination
frictionless,original,ALL,BTC,3.756063320430797e-16,2.2185278656395553e-16,0.0,0.0,2.0,0.0,50,0.62,2.968529291713967,0.3550858029657568,0.8068817024347139,
frictionless,original,ALL,ETH,2.14452583010216e-16,0.0,0.0,1.0,0.0,0.0,65,0.6307692307692307,56.71524383591913,0.3360982770059255,1.2959376137406615,
frictionless,original,ALL,MIX,,,,,,,115,0.6260869565217392,,0.2604114140939931,1.1630339541375305,"equal initial capital, no sleeve rebalancing"
frictionless,original,TREND_UP,BTC,3.756063320430797e-16,2.2132606248551494e-16,0.0,0.0,0.0,0.0,12,0.5833333333333334,16.82734619118491,0.9515231408993289,0.91920530089781,
frictionless,original,TREND_UP,ETH,2.14452583010216e-16,0.0,0.0,0.0,0.0,0.0,8,0.625,46.34688975327458,1.0,0.9483118849286276,
frictionless,original,TREND_UP,MIX,,,,,,,20,0.6,,0.7277094587760629,0.9640959691789108,"equal initial capital, no sleeve rebalancing"
frictionless,original,TREND_DOWN,BTC,2.0539435296368837e-16,0.0,0.0,0.0,0.0,0.0,15,0.6666666666666666,33.53238953224173,0.7480157104762464,0.9543023483969282,
frictionless,original,TREND_DOWN,ETH,2.0642920558516714e-16,0.0,0.0,0.0,0.0,0.0,14,0.6428571428571429,101.29193942128006,0.9111171142052096,0.9646536602290294,
frictionless,original,TREND_DOWN,MIX,,,,,,,29,0.6551724137931034,,0.6408217430671512,1.0231994378954041,"equal initial capital, no sleeve rebalancing"
frictionless,original,RANGE,BTC,1.9752981323840172e-16,0.0,0.0,0.0,0.0,0.0,3,0.3333333333333333,18.681791133549993,1.0,0.9499822022747654,
frictionless,original,RANGE,ETH,1.6889477747619659e-16,0.0,0.0,0.0,0.0,0.0,1,1.0,552.7253895994414,1.0,1.0,
frictionless,original,RANGE,MIX,,,,,,,4,0.5,,1.0,0.9749911011373826,"equal initial capital, no sleeve rebalancing"
frictionless,original,VOL_COMPRESSION,BTC,2.0826769115587871e-16,0.0,0.0,0.0,0.0,0.0,5,0.8,22.242282854097233,1.0,0.9991707291196412,
frictionless,original,VOL_COMPRESSION,ETH,4.2589843846286658e-16,2.202910114509371e-16,0.0,0.0,0.0,0.0,3,0.6666666666666666,21.05115946738846,1.0,0.99723141772001,
frictionless,original,VOL_COMPRESSION,MIX,,,,,,,8,0.75,,0.9564365144259079,0.9990289371950607,"equal initial capital, no sleeve rebalancing"
frictionless,original,VOL_EXPANSION,BTC,3.7167266521149124e-16,2.2178785000505893e-16,0.0,0.0,1.0,0.0,9,0.7777777777777778,46.22351848325847,0.9160894189459052,0.9085511650177225,
frictionless,original,VOL_EXPANSION,ETH,2.0952017469382286e-16,1.3790626318215972e-16,0.0,0.0,0.0,0.0,19,0.5263157894736842,,0.7610773480072693,0.7042549972522953,
frictionless,original,VOL_EXPANSION,MIX,,,,,,,28,0.6071428571428571,,0.5405258801268795,0.866959620573845,"equal initial capital, no sleeve rebalancing"
frictionless,original,HIGH_VOL,BTC,1.332006815483441e-16,0.0,0.0,0.0,0.0,0.0,7,0.42857142857142855,,1.0,0.7362701214239832,
frictionless,original,HIGH_VOL,ETH,2.022236042619516e-16,0.0,0.0,1.0,0.0,0.0,20,0.7,96.19087902232879,0.5838042813152649,1.0193147198365302,
frictionless,original,HIGH_VOL,MIX,,,,,,,27,0.6296296296296297,,0.5167801688129042,0.9249424775289846,"equal initial capital, no sleeve rebalancing"
frictionless,original,UNKNOWN,BTC,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,1.0,
frictionless,original,UNKNOWN,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,1.0,
frictionless,original,UNKNOWN,MIX,,,,,,,0,,,,1.0,"equal initial capital, no sleeve rebalancing"
frictionless,past_gap_clean,ALL,BTC,3.756063320430797e-16,2.2185278656395553e-16,0.0,0.0,2.0,0.0,50,0.62,2.968529291713967,0.3550858029657568,0.8068817024347139,
frictionless,past_gap_clean,ALL,ETH,2.14452583010216e-16,0.0,0.0,1.0,0.0,0.0,65,0.6307692307692307,56.71524383591913,0.3360982770059255,1.2959376137406615,
frictionless,past_gap_clean,ALL,MIX,,,,,,,115,0.6260869565217392,,0.2604114140939931,1.1630339541375305,"equal initial capital, no sleeve rebalancing"
frictionless,past_gap_clean,TREND_UP,BTC,3.756063320430797e-16,2.2132606248551494e-16,0.0,0.0,0.0,0.0,12,0.5833333333333334,16.82734619118491,0.9515231408993289,0.91920530089781,
frictionless,past_gap_clean,TREND_UP,ETH,2.14452583010216e-16,0.0,0.0,0.0,0.0,0.0,8,0.625,46.34688975327458,1.0,0.9483118849286276,
frictionless,past_gap_clean,TREND_UP,MIX,,,,,,,20,0.6,,0.7277094587760629,0.9640959691789108,"equal initial capital, no sleeve rebalancing"
frictionless,past_gap_clean,TREND_DOWN,BTC,2.0539435296368837e-16,0.0,0.0,0.0,0.0,0.0,15,0.6666666666666666,33.53238953224173,0.7480157104762464,0.9543023483969282,
frictionless,past_gap_clean,TREND_DOWN,ETH,2.0642920558516714e-16,0.0,0.0,0.0,0.0,0.0,14,0.6428571428571429,101.29193942128006,0.9111171142052096,0.9646536602290294,
frictionless,past_gap_clean,TREND_DOWN,MIX,,,,,,,29,0.6551724137931034,,0.6408217430671512,1.0231994378954041,"equal initial capital, no sleeve rebalancing"
frictionless,past_gap_clean,RANGE,BTC,1.9752981323840172e-16,0.0,0.0,0.0,0.0,0.0,3,0.3333333333333333,18.681791133549993,1.0,0.9499822022747654,
frictionless,past_gap_clean,RANGE,ETH,1.6889477747619659e-16,0.0,0.0,0.0,0.0,0.0,1,1.0,552.7253895994414,1.0,1.0,
frictionless,past_gap_clean,RANGE,MIX,,,,,,,4,0.5,,1.0,0.9749911011373826,"equal initial capital, no sleeve rebalancing"
frictionless,past_gap_clean,VOL_COMPRESSION,BTC,2.0826769115587871e-16,0.0,0.0,0.0,0.0,0.0,5,0.8,22.242282854097233,1.0,0.9991707291196412,
frictionless,past_gap_clean,VOL_COMPRESSION,ETH,4.2589843846286658e-16,2.202910114509371e-16,0.0,0.0,0.0,0.0,3,0.6666666666666666,21.05115946738846,1.0,0.99723141772001,
frictionless,past_gap_clean,VOL_COMPRESSION,MIX,,,,,,,8,0.75,,0.9564365144259079,0.9990289371950607,"equal initial capital, no sleeve rebalancing"
