asset,timeframe,model,year,observations,log_variance_mse,variance_qlike
BTC,1,boosted_augmented,all,2136,0.8515761049347451,0.5225583262715396
BTC,1,boosted_augmented,2020,333,0.893084079245131,0.8034980516438995
BTC,1,boosted_augmented,2021,365,0.5583987007423872,0.4806639111786827
BTC,1,boosted_augmented,2022,365,0.8255109620915224,0.4738174604118743
BTC,1,boosted_augmented,2023,354,1.2066108868487886,0.5789661487209478
BTC,1,boosted_augmented,2024,366,0.8258973554000424,0.42157810439844423
BTC,1,boosted_augmented,2025,353,0.8130987218037481,0.39938365504529855
BTC,1,boosted_volatility,all,2136,0.9159517426255552,0.5997315626068462
BTC,1,boosted_volatility,2020,333,0.9526851357035693,1.1090145908773714
BTC,1,boosted_volatility,2021,365,0.5919826453368024,0.5044750696857683
BTC,1,boosted_volatility,2022,365,0.8318464223072306,0.49310323904510417
BTC,1,boosted_volatility,2023,354,1.3078634201306862,0.6607496477443292
BTC,1,boosted_volatility,2024,366,0.9130182339330593,0.46322236175621445
BTC,1,boosted_volatility,2025,353,0.9132658300936625,0.40839636423519377
BTC,1,ewma_calibrated,all,2136,0.9060244705434618,0.5656875330389952
BTC,1,ewma_calibrated,2020,333,0.8622805097769768,0.8187406093328463
BTC,1,ewma_calibrated,2021,365,0.5882996158822531,0.5248996425852541
BTC,1,ewma_calibrated,2022,365,0.833002747062674,0.5019651447672635
BTC,1,ewma_calibrated,2023,354,1.3087932853867696,0.6649800967359313
BTC,1,ewma_calibrated,2024,366,0.9368207641390434,0.48743541407935287
BTC,1,ewma_calibrated,2025,353,0.9154795301654284,0.4165948568901537
BTC,1,ewma_raw,all,2136,0.9931821874339497,0.5143192880120887
BTC,1,ewma_raw,2020,333,0.9642331686146735,0.6341853135027438
BTC,1,ewma_raw,2021,365,0.5305327335021268,0.3161091317392501
BTC,1,ewma_raw,2022,365,0.9327390019356706,0.48824358116131705
BTC,1,ewma_raw,2023,354,1.432247368072753,0.7714843268611266
BTC,1,ewma_raw,2024,366,1.0752926922381738,0.46757311090310627
BTC,1,ewma_raw,2025,353,1.0359224649249519,0.4237290064853401
BTC,1,linear_augmented,all,2136,0.8676492873654492,0.5261834041388258
BTC,1,linear_augmented,2020,333,0.889481049248356,0.7548512446184749
BTC,1,linear_augmented,2021,365,0.583192660655464,0.48548767087204164
BTC,1,linear_augmented,2022,365,0.8088798424647005,0.48087390727478513
BTC,1,linear_augmented,2023,354,1.23719471744512,0.6048817426071406
BTC,1,linear_augmented,2024,366,0.8656704320047589,0.4604109001912335
BTC,1,linear_augmented,2025,353,0.8334076959907163,0.38867361021549207
BTC,1,linear_volatility,all,2136,0.8958989157128298,0.5549780968077861
BTC,1,linear_volatility,2020,333,0.8549264645157256,0.8053580259663348
BTC,1,linear_volatility,2021,365,0.585336479883885,0.5186916852142355
BTC,1,linear_volatility,2022,365,0.8242597463826713,0.4914514505644951
BTC,1,linear_volatility,2023,354,1.285655907532514,0.6528887968410609
BTC,1,linear_volatility,2024,366,0.9231864856084475,0.4718882650541558
BTC,1,linear_volatility,2025,353,0.9105906620180536,0.4099518653933382
BTC,4,boosted_augmented,all,2136,0.879446728342385,0.5657340162578002
BTC,4,boosted_augmented,2020,333,0.9229377311779237,0.9127828866982581
BTC,4,boosted_augmented,2021,365,0.5229097738452678,0.4195419752528505
BTC,4,boosted_augmented,2022,365,0.809084141180485,0.48455144632224295
BTC,4,boosted_augmented,2023,354,1.2370806414667466,0.6555282461933644
BTC,4,boosted_augmented,2024,366,0.9230530703259057,0.4970156979302386
BTC,4,boosted_augmented,2025,353,0.8759722307483746,0.45465244755329676
BTC,4,boosted_volatility,all,2136,0.9159517426255552,0.5997315626068462
BTC,4,boosted_volatility,2020,333,0.9526851357035693,1.1090145908773714
BTC,4,boosted_volatility,2021,365,0.5919826453368024,0.5044750696857683
BTC,4,boosted_volatility,2022,365,0.8318464223072306,0.49310323904510417
BTC,4,boosted_volatility,2023,354,1.3078634201306862,0.6607496477443292
BTC,4,boosted_volatility,2024,366,0.9130182339330593,0.46322236175621445
BTC,4,boosted_volatility,2025,353,0.9132658300936625,0.40839636423519377
BTC,4,ewma_calibrated,all,2136,0.9060244705434618,0.5656875330389952
BTC,4,ewma_calibrated,2020,333,0.8622805097769768,0.8187406093328463
BTC,4,ewma_calibrated,2021,365,0.5882996158822531,0.5248996425852541
BTC,4,ewma_calibrated,2022,365,0.833002747062674,0.5019651447672635
BTC,4,ewma_calibrated,2023,354,1.3087932853867696,0.6649800967359313
BTC,4,ewma_calibrated,2024,366,0.9368207641390434,0.48743541407935287
BTC,4,ewma_calibrated,2025,353,0.9154795301654284,0.4165948568901537
BTC,4,ewma_raw,all,2136,0.9931821874339497,0.5143192880120887
BTC,4,ewma_raw,2020,333,0.9642331686146735,0.6341853135027438
BTC,4,ewma_raw,2021,365,0.5305327335021268,0.3161091317392501
BTC,4,ewma_raw,2022,365,0.9327390019356706,0.48824358116131705
BTC,4,ewma_raw,2023,354,1.432247368072753,0.7714843268611266
BTC,4,ewma_raw,2024,366,1.0752926922381738,0.46757311090310627
BTC,4,ewma_raw,2025,353,1.0359224649249519,0.4237290064853401
BTC,4,linear_augmented,all,2136,0.8821646476023582,0.5466228848337458
BTC,4,linear_augmented,2020,333,0.9420494003674688,0.8146317643349023
BTC,4,linear_augmented,2021,365,0.55839381075528,0.45623667992430017
BTC,4,linear_augmented,2022,365,0.8159340375878096,0.4985343570354557
BTC,4,linear_augmented,2023,354,1.2242980471086216,0.613359326977659
BTC,4,linear_augmented,2024,366,0.9017091912770483,0.4970359361407298
BTC,4,linear_augmented,2025,353,0.8655651547512475,0.4214683331825756
BTC,4,linear_volatility,all,2136,0.8958989157128298,0.5549780968077861
BTC,4,linear_volatility,2020,333,0.8549264645157256,0.8053580259663348
BTC,4,linear_volatility,2021,365,0.585336479883885,0.5186916852142355
BTC,4,linear_volatility,2022,365,0.8242597463826713,0.4914514505644951
BTC,4,linear_volatility,2023,354,1.285655907532514,0.6528887968410609
BTC,4,linear_volatility,2024,366,0.9231864856084475,0.4718882650541558
BTC,4,linear_volatility,2025,353,0.9105906620180536,0.4099518653933382
ETH,1,boosted_augmented,all,2136,0.713977078932486,0.4179738478774605
ETH,1,boosted_augmented,2020,333,0.6470918321190057,0.4842593898700797
ETH,1,boosted_augmented,2021,365,0.5284242447733747,0.4068581575262668
ETH,1,boosted_augmented,2022,365,0.6268863098125135,0.3519945577643064
ETH,1,boosted_augmented,2023,354,1.169131241540649,0.4813082969967768
ETH,1,boosted_augmented,2024,366,0.6390678993417275,0.4089837285210225
ETH,1,boosted_augmented,2025,353,0.6802090578352693,0.3809669670903876
ETH,1,boosted_volatility,all,2136,0.7578299595278353,0.4489445229630642
ETH,1,boosted_volatility,2020,333,0.6781711343626607,0.5373796771691199
ETH,1,boosted_volatility,2021,365,0.5393204246536559,0.42479219680508945
ETH,1,boosted_volatility,2022,365,0.6485869552778475,0.3661838794106643
ETH,1,boosted_volatility,2023,354,1.2004838177434787,0.4954247731692865
ETH,1,boosted_volatility,2024,366,0.722213480696568,0.43751870735649384
ETH,1,boosted_volatility,2025,353,0.7648901040157392,0.44130193806978435
ETH,1,ewma_calibrated,all,2136,0.7244723235257865,0.4530096184413831
ETH,1,ewma_calibrated,2020,333,0.6629823410785051,0.5178263718536522
ETH,1,ewma_calibrated,2021,365,0.5004684902415928,0.4069594029037654
ETH,1,ewma_calibrated,2022,365,0.6275483166116315,0.36761590602685507
ETH,1,ewma_calibrated,2023,354,1.0611520859361752,0.534240037417525
ETH,1,ewma_calibrated,2024,366,0.7313052396153762,0.4593724962794209
ETH,1,ewma_calibrated,2025,353,0.7695979400846377,0.439719740849235
ETH,1,ewma_raw,all,2136,0.7810679792751823,0.4425794677360747
ETH,1,ewma_raw,2020,333,0.7557913172349559,0.4550131667685886
ETH,1,ewma_raw,2021,365,0.4653318804408604,0.28569007448640227
ETH,1,ewma_raw,2022,365,0.6881536488397443,0.3542388317323817
ETH,1,ewma_raw,2023,354,1.0731070269456648,0.6838704220524623
ETH,1,ewma_raw,2024,366,0.8304700566987286,0.46362172663103446
ETH,1,ewma_raw,2025,353,0.8833669932425734,0.42062500404229214
ETH,1,linear_augmented,all,2136,0.6931025571977739,0.42170872863082054
ETH,1,linear_augmented,2020,333,0.6399648818506996,0.45647404133424807
ETH,1,linear_augmented,2021,365,0.4685763003224171,0.3674806296611259
ETH,1,linear_augmented,2022,365,0.6236803511136455,0.3631645121704727
