asset,timeframe,model,year,observations,log_variance_mse,variance_qlike
BTC,1,boosted,all,2136,0.8553284608980068,0.5082882274879209
BTC,1,boosted,2020,333,0.9051856049068107,0.7617153786386294
BTC,1,boosted,2021,365,0.5425434388994049,0.44862033593587514
BTC,1,boosted,2022,365,0.8312178887750312,0.47193661771884293
BTC,1,boosted,2023,354,1.2190487505790115,0.5820303933028421
BTC,1,boosted,2024,366,0.8256554045403299,0.4093674485110414
BTC,1,boosted,2025,353,0.8226593928506363,0.39711586220769485
BTC,1,ewma_calibrated,all,2136,0.9060244705434618,0.5656875330389952
BTC,1,ewma_calibrated,2020,333,0.8622805097769768,0.8187406093328463
BTC,1,ewma_calibrated,2021,365,0.5882996158822531,0.5248996425852541
BTC,1,ewma_calibrated,2022,365,0.833002747062674,0.5019651447672635
BTC,1,ewma_calibrated,2023,354,1.3087932853867696,0.6649800967359313
BTC,1,ewma_calibrated,2024,366,0.9368207641390434,0.48743541407935287
BTC,1,ewma_calibrated,2025,353,0.9154795301654284,0.4165948568901537
BTC,1,ewma_raw,all,2136,0.9931821874339497,0.5143192880120887
BTC,1,ewma_raw,2020,333,0.9642331686146735,0.6341853135027438
BTC,1,ewma_raw,2021,365,0.5305327335021268,0.3161091317392501
BTC,1,ewma_raw,2022,365,0.9327390019356706,0.48824358116131705
BTC,1,ewma_raw,2023,354,1.432247368072753,0.7714843268611266
BTC,1,ewma_raw,2024,366,1.0752926922381738,0.46757311090310627
BTC,1,ewma_raw,2025,353,1.0359224649249519,0.4237290064853401
BTC,1,full_linear,all,2136,0.9511229970888889,0.5276477620365494
BTC,1,full_linear,2020,333,1.06390497476137,0.7695199881571866
BTC,1,full_linear,2021,365,0.7041057746727727,0.5438748931437642
BTC,1,full_linear,2022,365,0.8694867294069105,0.4876511675884793
BTC,1,full_linear,2023,354,1.3835769188139844,0.5379921417070525
BTC,1,full_linear,2024,366,0.8344450675859851,0.4450591057221601
BTC,1,full_linear,2025,353,0.871852626630667,0.399313316226205
BTC,1,recent24_calibrated,all,2136,0.9601481480845191,0.5728505717049902
BTC,1,recent24_calibrated,2020,333,0.9216793068458682,0.8661192714270802
BTC,1,recent24_calibrated,2021,365,0.6687824187252276,0.612661916909506
BTC,1,recent24_calibrated,2022,365,0.8733565292103805,0.4840255798544554
BTC,1,recent24_calibrated,2023,354,1.3623171291214902,0.6076519202480953
BTC,1,recent24_calibrated,2024,366,0.9501067430148581,0.4629024870195756
BTC,1,recent24_calibrated,2025,353,0.9945529390365889,0.42597472362834343
BTC,1,recent24_raw,all,2136,1.1901948041917274,0.8203393250539924
BTC,1,recent24_raw,2020,333,1.1301168027456627,0.9170585796880418
BTC,1,recent24_raw,2021,365,0.7008169135798125,0.4713363345556555
BTC,1,recent24_raw,2022,365,1.0885278793831161,0.7267754463440766
BTC,1,recent24_raw,2023,354,1.6497227650746282,1.271685682364978
BTC,1,recent24_raw,2024,366,1.301585109980638,0.782878619025518
BTC,1,recent24_raw,2025,353,1.2816837051513408,0.7729268700574103
BTC,4,boosted,all,2136,0.8810826588687853,0.569029878142941
BTC,4,boosted,2020,333,0.9285573070871408,0.9036908962087483
BTC,4,boosted,2021,365,0.5239725098540496,0.420393381931065
BTC,4,boosted,2022,365,0.8100387478177878,0.49084353411177706
BTC,4,boosted,2023,354,1.2302964211822345,0.6646998466345722
BTC,4,boosted,2024,366,0.9253383423913604,0.5017106267819901
BTC,4,boosted,2025,353,0.8829181320672476,0.4617207983266985
BTC,4,ewma_calibrated,all,2136,0.9060244705434618,0.5656875330389952
BTC,4,ewma_calibrated,2020,333,0.8622805097769768,0.8187406093328463
BTC,4,ewma_calibrated,2021,365,0.5882996158822531,0.5248996425852541
BTC,4,ewma_calibrated,2022,365,0.833002747062674,0.5019651447672635
BTC,4,ewma_calibrated,2023,354,1.3087932853867696,0.6649800967359313
BTC,4,ewma_calibrated,2024,366,0.9368207641390434,0.48743541407935287
BTC,4,ewma_calibrated,2025,353,0.9154795301654284,0.4165948568901537
BTC,4,ewma_raw,all,2136,0.9931821874339497,0.5143192880120887
BTC,4,ewma_raw,2020,333,0.9642331686146735,0.6341853135027438
BTC,4,ewma_raw,2021,365,0.5305327335021268,0.3161091317392501
BTC,4,ewma_raw,2022,365,0.9327390019356706,0.48824358116131705
BTC,4,ewma_raw,2023,354,1.432247368072753,0.7714843268611266
BTC,4,ewma_raw,2024,366,1.0752926922381738,0.46757311090310627
BTC,4,ewma_raw,2025,353,1.0359224649249519,0.4237290064853401
BTC,4,full_linear,all,2136,0.931050807806169,0.5532610568293049
BTC,4,full_linear,2020,333,1.05769104383507,0.8475239983003674
BTC,4,full_linear,2021,365,0.6154263880703145,0.46207422869191445
BTC,4,full_linear,2022,365,0.8529540413383947,0.5149943723564445
BTC,4,full_linear,2023,354,1.3068129251657021,0.5610201607012798
BTC,4,full_linear,2024,366,0.8964553275604894,0.5180751726858506
BTC,4,full_linear,2025,353,0.8777340672717342,0.4382250325196821
BTC,4,recent24_calibrated,all,2136,0.9601481480845191,0.5728505717049902
BTC,4,recent24_calibrated,2020,333,0.9216793068458682,0.8661192714270802
BTC,4,recent24_calibrated,2021,365,0.6687824187252276,0.612661916909506
BTC,4,recent24_calibrated,2022,365,0.8733565292103805,0.4840255798544554
BTC,4,recent24_calibrated,2023,354,1.3623171291214902,0.6076519202480953
BTC,4,recent24_calibrated,2024,366,0.9501067430148581,0.4629024870195756
BTC,4,recent24_calibrated,2025,353,0.9945529390365889,0.42597472362834343
BTC,4,recent24_raw,all,2136,1.1901948041917274,0.8203393250539924
BTC,4,recent24_raw,2020,333,1.1301168027456627,0.9170585796880418
BTC,4,recent24_raw,2021,365,0.7008169135798125,0.4713363345556555
BTC,4,recent24_raw,2022,365,1.0885278793831161,0.7267754463440766
BTC,4,recent24_raw,2023,354,1.6497227650746282,1.271685682364978
BTC,4,recent24_raw,2024,366,1.301585109980638,0.782878619025518
BTC,4,recent24_raw,2025,353,1.2816837051513408,0.7729268700574103
ETH,1,boosted,all,2136,0.7270396951547603,0.40889741490947606
ETH,1,boosted,2020,333,0.6524035926748509,0.45460407867741387
ETH,1,boosted,2021,365,0.5207280721829742,0.3920998389980202
ETH,1,boosted,2022,365,0.6458560704352734,0.35192255126901406
ETH,1,boosted,2023,354,1.2262214675298084,0.4856609048810851
ETH,1,boosted,2024,366,0.6396283255172078,0.39637832775201304
ETH,1,boosted,2025,353,0.6847501807063234,0.37805982808627103
ETH,1,ewma_calibrated,all,2136,0.7244723235257865,0.4530096184413831
ETH,1,ewma_calibrated,2020,333,0.6629823410785051,0.5178263718536522
ETH,1,ewma_calibrated,2021,365,0.5004684902415928,0.4069594029037654
ETH,1,ewma_calibrated,2022,365,0.6275483166116315,0.36761590602685507
ETH,1,ewma_calibrated,2023,354,1.0611520859361752,0.534240037417525
ETH,1,ewma_calibrated,2024,366,0.7313052396153762,0.4593724962794209
ETH,1,ewma_calibrated,2025,353,0.7695979400846377,0.439719740849235
ETH,1,ewma_raw,all,2136,0.7810679792751823,0.4425794677360747
ETH,1,ewma_raw,2020,333,0.7557913172349559,0.4550131667685886
ETH,1,ewma_raw,2021,365,0.4653318804408604,0.28569007448640227
ETH,1,ewma_raw,2022,365,0.6881536488397443,0.3542388317323817
ETH,1,ewma_raw,2023,354,1.0731070269456648,0.6838704220524623
ETH,1,ewma_raw,2024,366,0.8304700566987286,0.46362172663103446
ETH,1,ewma_raw,2025,353,0.8833669932425734,0.42062500404229214
ETH,1,full_linear,all,2136,0.7897083412901773,0.4251741235748285
ETH,1,full_linear,2020,333,0.7244170070940013,0.44223765468440723
ETH,1,full_linear,2021,365,0.5193566794828318,0.3669333544381744
ETH,1,full_linear,2022,365,0.6951853925911782,0.38672929952792656
ETH,1,full_linear,2023,354,1.4487275917887188,0.48597465670150297
ETH,1,full_linear,2024,366,0.6724109686848223,0.4571940063227945
ETH,1,full_linear,2025,353,0.6893096750556692,0.414877862498086
ETH,1,recent24_calibrated,all,2136,0.7928695152937476,0.4573530008007534
ETH,1,recent24_calibrated,2020,333,0.7008373033797238,0.5237744605088136
ETH,1,recent24_calibrated,2021,365,0.5622918514169672,0.46261722583143106
ETH,1,recent24_calibrated,2022,365,0.6726647656009405,0.36436114422642807
ETH,1,recent24_calibrated,2023,354,1.2458381917405639,0.49732898517665364
ETH,1,recent24_calibrated,2024,366,0.7850998145152039,0.44197807933607774
ETH,1,recent24_calibrated,2025,353,0.7961984290134174,0.4612565764881475
ETH,1,recent24_raw,all,2136,0.9463172917593219,0.6546470964117765
ETH,1,recent24_raw,2020,333,0.9022043260638286,0.6317202911474659
ETH,1,recent24_raw,2021,365,0.5909109123414388,0.42112524854191885
ETH,1,recent24_raw,2022,365,0.8143325296835191,0.5007981484906936
ETH,1,recent24_raw,2023,354,1.275430665664131,0.9804961985837526
ETH,1,recent24_raw,2024,366,1.0312644686677894,0.7080174636476403
ETH,1,recent24_raw,2025,353,1.0737693685610021,0.6947061050222676
ETH,4,boosted,all,2136,0.73251427940049,0.431396557221667
ETH,4,boosted,2020,333,0.6428898155182625,0.4851269947088141
ETH,4,boosted,2021,365,0.5469306442532115,0.42307850215445897
ETH,4,boosted,2022,365,0.631391658871658,0.3475190176366047
ETH,4,boosted,2023,354,1.1447868545888122,0.4533181488897316
ETH,4,boosted,2024,366,0.7023723124065837,0.4464787228563565
ETH,4,boosted,2025,353,0.7313250388839614,0.43841876768078136
ETH,4,ewma_calibrated,all,2136,0.7244723235257865,0.4530096184413831
ETH,4,ewma_calibrated,2020,333,0.6629823410785051,0.5178263718536522
