scenario,asset,model,accounting_max_error,replay_max_error,original_trade_slots,positive_weight_trades,combination
frictionless,BTC,fixed_full,3.756063320430797e-16,2.2185278656395553e-16,50.0,50.0,
frictionless,ETH,fixed_full,2.14452583010216e-16,0.0,65.0,65.0,
frictionless,MIX,fixed_full,,,,,"equal initial capital, no sleeve rebalancing"
frictionless,BTC,fixed_half,2.790581143487118e-16,8.6718074232244485e-16,50.0,50.0,
frictionless,ETH,fixed_half,3.1555738610100633e-16,5.952436365472569e-16,65.0,65.0,
frictionless,MIX,fixed_half,,,,,"equal initial capital, no sleeve rebalancing"
frictionless,BTC,recent24_raw,3.756063320430797e-16,6.660620114864889e-16,50.0,50.0,
frictionless,ETH,recent24_raw,3.0781290337805616e-16,4.3812279002560583e-16,65.0,65.0,
frictionless,MIX,recent24_raw,,,,,"equal initial capital, no sleeve rebalancing"
frictionless,BTC,ewma_raw,3.756063320430797e-16,2.533785721135974e-16,50.0,50.0,
frictionless,ETH,ewma_raw,3.141039062855468e-16,4.158744028925917e-16,65.0,65.0,
frictionless,MIX,ewma_raw,,,,,"equal initial capital, no sleeve rebalancing"
frictionless,BTC,recent24_calibrated,3.756063320430797e-16,2.58056623316089e-16,50.0,50.0,
frictionless,ETH,recent24_calibrated,3.0027936234132604e-16,5.662603511370619e-16,65.0,65.0,
frictionless,MIX,recent24_calibrated,,,,,"equal initial capital, no sleeve rebalancing"
frictionless,BTC,ewma_calibrated,3.756063320430797e-16,4.42551575270006e-16,50.0,50.0,
frictionless,ETH,ewma_calibrated,2.7508722586792597e-16,4.1962074278619003e-16,65.0,65.0,
frictionless,MIX,ewma_calibrated,,,,,"equal initial capital, no sleeve rebalancing"
frictionless,BTC,full_linear,3.756063320430797e-16,4.4317884852261705e-16,50.0,50.0,
frictionless,ETH,full_linear,2.8941716687510437e-16,6.078558777491713e-16,65.0,65.0,
frictionless,MIX,full_linear,,,,,"equal initial capital, no sleeve rebalancing"
frictionless,BTC,boosted,3.1915804200538545e-16,4.891264880245131e-16,50.0,50.0,
frictionless,ETH,boosted,3.0140877382454e-16,8.365597566056662e-16,65.0,65.0,
frictionless,MIX,boosted,,,,,"equal initial capital, no sleeve rebalancing"
base,BTC,fixed_full,1.5497653213938167e-16,3.270241036913114e-16,50.0,50.0,
base,ETH,fixed_full,3.1248382268497724e-16,4.502654890274519e-16,65.0,65.0,
base,MIX,fixed_full,,,,,"equal initial capital, no sleeve rebalancing"
base,BTC,fixed_half,1.860574107501139e-16,5.309628244312212e-16,50.0,50.0,
base,ETH,fixed_half,3.0971893621271486e-16,6.378652479936078e-16,65.0,65.0,
base,MIX,fixed_half,,,,,"equal initial capital, no sleeve rebalancing"
